Criado como novo conjunto de dados;"0307_DANIEL.spp","72365.8 Secs"
cm-1;Abs
10000.000000;0.580906
9999.000000;0.580142
9998.000000;0.579684
9997.000000;0.579382
9996.000000;0.578776
9995.000000;0.577660
9994.000000;0.576303
9993.000000;0.575231
9992.000000;0.574683
9991.000000;0.574434
9990.000000;0.574033
9989.000000;0.573203
9988.000000;0.572012
9987.000000;0.570762
9986.000000;0.569749
9985.000000;0.569097
9984.000000;0.568728
9983.000000;0.568419
9982.000000;0.567933
9981.000000;0.567184
9980.000000;0.566316
9979.000000;0.565560
9978.000000;0.564975
9977.000000;0.564404
9976.000000;0.563709
9975.000000;0.562953
9974.000000;0.562254
9973.000000;0.561556
9972.000000;0.560669
9971.000000;0.559525
9970.000000;0.558265
9969.000000;0.557084
9968.000000;0.556059
9967.000000;0.555125
9966.000000;0.554145
9965.000000;0.553034
9964.000000;0.551872
9963.000000;0.550870
9962.000000;0.550133
9961.000000;0.549501
9960.000000;0.548730
9959.000000;0.547786
9958.000000;0.546830
9957.000000;0.545951
9956.000000;0.545080
9955.000000;0.544190
9954.000000;0.543417
9953.000000;0.542871
9952.000000;0.542403
9951.000000;0.541703
9950.000000;0.540599
9949.000000;0.539258
9948.000000;0.538061
9947.000000;0.537254
9946.000000;0.536711
9945.000000;0.536063
9944.000000;0.535118
9943.000000;0.534082
9942.000000;0.533275
9941.000000;0.532711
9940.000000;0.532103
9939.000000;0.531234
9938.000000;0.530176
9937.000000;0.529146
9936.000000;0.528298
9935.000000;0.527661
9934.000000;0.527103
9933.000000;0.526350
9932.000000;0.525217
9931.000000;0.523876
9930.000000;0.522714
9929.000000;0.521846
9928.000000;0.520972
9927.000000;0.519823
9926.000000;0.518584
9925.000000;0.517678
9924.000000;0.517223
9923.000000;0.516898
9922.000000;0.516311
9921.000000;0.515343
9920.000000;0.514127
9919.000000;0.512855
9918.000000;0.511635
9917.000000;0.510465
9916.000000;0.509268
9915.000000;0.508012
9914.000000;0.506815
9913.000000;0.505906
9912.000000;0.505414
9911.000000;0.505196
9910.000000;0.504856
9909.000000;0.504010
9908.000000;0.502606
9907.000000;0.501014
9906.000000;0.499701
9905.000000;0.498820
9904.000000;0.498143
9903.000000;0.497392
9902.000000;0.496531
9901.000000;0.495669
9900.000000;0.494799
9899.000000;0.493799
9898.000000;0.492638
9897.000000;0.491483
9896.000000;0.490516
9895.000000;0.489715
9894.000000;0.488877
9893.000000;0.487856
9892.000000;0.486772
9891.000000;0.485883
9890.000000;0.485241
9889.000000;0.484552
9888.000000;0.483494
9887.000000;0.482129
