Criado como novo conjunto de dados;"0307_DANIEL.spp","10262.5 Secs"
cm-1;Abs
10000.000000;0.526703
9999.000000;0.525714
9998.000000;0.524545
9997.000000;0.523237
9996.000000;0.521933
9995.000000;0.520705
9994.000000;0.519539
9993.000000;0.518378
9992.000000;0.517294
9991.000000;0.516362
9990.000000;0.515470
9989.000000;0.514380
9988.000000;0.513024
9987.000000;0.511585
9986.000000;0.510243
9985.000000;0.508988
9984.000000;0.507765
9983.000000;0.506639
9982.000000;0.505700
9981.000000;0.504876
9980.000000;0.503979
9979.000000;0.502897
9978.000000;0.501661
9977.000000;0.500366
9976.000000;0.499103
9975.000000;0.497932
9974.000000;0.496854
9973.000000;0.495815
9972.000000;0.494756
9971.000000;0.493643
9970.000000;0.492459
9969.000000;0.491218
9968.000000;0.489994
9967.000000;0.488873
9966.000000;0.487848
9965.000000;0.486836
9964.000000;0.485802
9963.000000;0.484768
9962.000000;0.483701
9961.000000;0.482492
9960.000000;0.481105
9959.000000;0.479664
9958.000000;0.478327
9957.000000;0.477148
9956.000000;0.476092
9955.000000;0.475114
9954.000000;0.474131
9953.000000;0.473014
9952.000000;0.471692
9951.000000;0.470229
9950.000000;0.468760
9949.000000;0.467356
9948.000000;0.466027
9947.000000;0.464776
9946.000000;0.463583
9945.000000;0.462395
9944.000000;0.461196
9943.000000;0.460066
9942.000000;0.459081
9941.000000;0.458175
9940.000000;0.457166
9939.000000;0.455938
9938.000000;0.454558
9937.000000;0.453209
9936.000000;0.452020
9935.000000;0.450970
9934.000000;0.449902
9933.000000;0.448674
9932.000000;0.447280
9931.000000;0.445849
9930.000000;0.444504
9929.000000;0.443274
9928.000000;0.442112
9927.000000;0.440951
9926.000000;0.439718
9925.000000;0.438362
9924.000000;0.436927
9923.000000;0.435538
9922.000000;0.434274
9921.000000;0.433086
9920.000000;0.431898
9919.000000;0.430716
9918.000000;0.429575
9917.000000;0.428415
9916.000000;0.427138
9915.000000;0.425779
9914.000000;0.424524
9913.000000;0.423494
9912.000000;0.422575
9911.000000;0.421522
9910.000000;0.420210
9909.000000;0.418735
9908.000000;0.417263
9907.000000;0.415853
9906.000000;0.414449
9905.000000;0.413006
9904.000000;0.411567
9903.000000;0.410227
9902.000000;0.409054
9901.000000;0.408028
9900.000000;0.407033
9899.000000;0.405899
9898.000000;0.404510
9897.000000;0.402887
9896.000000;0.401176
9895.000000;0.399535
9894.000000;0.398058
9893.000000;0.396771
9892.000000;0.395633
9891.000000;0.394529
9890.000000;0.393343
9889.000000;0.392066
9888.000000;0.390773
9887.000000;0.389473
9886.000000;0.388060
9885.000000;0.386486
9884.000000;0.384908
9883.000000;0.383558
9882.000000;0.382493
9881.000000;0.381533
9880.000000;0.380438
9879.000000;0.379081
9878.000000;0.377511
9877.000000;0.375897
9876.000000;0.374414
9875.000000;0.373113
9874.000000;0.371910
