Criado como novo conjunto de dados;"0307_DANIEL.spp","40503.9 Secs"
cm-1;Abs
10000.000000;1.041402
9999.000000;1.039910
9998.000000;1.038773
9997.000000;1.037996
9996.000000;1.037101
9995.000000;1.035670
9994.000000;1.033823
9993.000000;1.032186
9992.000000;1.031158
9991.000000;1.030421
9990.000000;1.029361
9989.000000;1.027901
9988.000000;1.026593
9987.000000;1.025824
9986.000000;1.025295
9985.000000;1.024463
9984.000000;1.023219
9983.000000;1.021891
9982.000000;1.020748
9981.000000;1.019782
9980.000000;1.018855
9979.000000;1.017783
9978.000000;1.016360
9977.000000;1.014616
9976.000000;1.012983
9975.000000;1.011926
9974.000000;1.011369
9973.000000;1.010724
9972.000000;1.009531
9971.000000;1.007862
9970.000000;1.006094
9969.000000;1.004535
9968.000000;1.003319
9967.000000;1.002389
9966.000000;1.001434
9965.000000;1.000063
9964.000000;0.998230
9963.000000;0.996341
9962.000000;0.994809
9961.000000;0.993666
9960.000000;0.992714
9959.000000;0.991812
9958.000000;0.990851
9957.000000;0.989636
9956.000000;0.988103
9955.000000;0.986553
9954.000000;0.985370
9953.000000;0.984479
9952.000000;0.983364
9951.000000;0.981698
9950.000000;0.979781
9949.000000;0.978232
9948.000000;0.977365
9947.000000;0.976950
9946.000000;0.976506
9945.000000;0.975667
9944.000000;0.974334
9943.000000;0.972614
9942.000000;0.970736
9941.000000;0.969007
9940.000000;0.967692
9939.000000;0.966812
9938.000000;0.966068
9937.000000;0.965078
9936.000000;0.963728
9935.000000;0.962214
9934.000000;0.960724
9933.000000;0.959199
9932.000000;0.957486
9931.000000;0.955650
9930.000000;0.953989
9929.000000;0.952728
9928.000000;0.951777
9927.000000;0.950831
9926.000000;0.949685
9925.000000;0.948444
9924.000000;0.947389
9923.000000;0.946592
9922.000000;0.945730
9921.000000;0.944407
9920.000000;0.942690
9919.000000;0.941109
9918.000000;0.940037
9917.000000;0.939215
9916.000000;0.938068
9915.000000;0.936412
9914.000000;0.934635
9913.000000;0.933223
9912.000000;0.932278
9911.000000;0.931519
9910.000000;0.930578
9909.000000;0.929271
9908.000000;0.927710
9907.000000;0.926219
9906.000000;0.925035
9905.000000;0.924066
9904.000000;0.923038
9903.000000;0.921831
9902.000000;0.920520
9901.000000;0.919102
9900.000000;0.917409
9899.000000;0.915406
9898.000000;0.913400
9897.000000;0.911809
9896.000000;0.910735
9895.000000;0.909866
9894.000000;0.908757
9893.000000;0.907205
9892.000000;0.905429
9891.000000;0.903887
9890.000000;0.902809
9889.000000;0.901898
9888.000000;0.900628
9887.000000;0.898882
9886.000000;0.897106
9885.000000;0.895748
9884.000000;0.894743
9883.000000;0.893703
9882.000000;0.892416
9881.000000;0.890917
9880.000000;0.889220
9879.000000;0.887328
9878.000000;0.885526
9877.000000;0.884291
9876.000000;0.883733
9875.000000;0.883313
9874.000000;0.882323
9873.000000;0.880554
9872.000000;0.878374
9871.000000;0.876250
9870.000000;0.874370
9869.000000;0.872700
9868.000000;0.871239
9867.000000;0.870070
9866.000000;0.869167
9865.000000;0.868239
9864.000000;0.866890
9863.000000;0.865008
9862.000000;0.862952
9861.000000;0.861193
9860.000000;0.859804
9859.000000;0.858457
9858.000000;0.856946
9857.000000;0.855488
9856.000000;0.854329
9855.000000;0.853248
9854.000000;0.851793
9853.000000;0.849959
9852.000000;0.848308
9851.000000;0.847257
9850.000000;0.846482
9849.000000;0.845286
9848.000000;0.843441
9847.000000;0.841435
9846.000000;0.839864
9845.000000;0.838812
9844.000000;0.837897
9843.000000;0.836758
9842.000000;0.835368
9841.000000;0.833922
9840.000000;0.832578
9839.000000;0.831313
9838.000000;0.829956
9837.000000;0.828335
9836.000000;0.826450
9835.000000;0.824511
9834.000000;0.822779
9833.000000;0.821344
9832.000000;0.820050
9831.000000;0.818618
9830.000000;0.816850
9829.000000;0.814783
9828.000000;0.812715
9827.000000;0.810990
9826.000000;0.809656
9825.000000;0.808400
9824.000000;0.806938
9823.000000;0.805450
9822.000000;0.804394
9821.000000;0.803846
9820.000000;0.803238
9819.000000;0.801932
9818.000000;0.799910
9817.000000;0.797720
9816.000000;0.795829
9815.000000;0.794244
9814.000000;0.792711
9813.000000;0.791043
9812.000000;0.789190
9811.000000;0.787211
9810.000000;0.785318
9809.000000;0.783806
9808.000000;0.782785
9807.000000;0.782009
9806.000000;0.781051
9805.000000;0.779630
9804.000000;0.777763
9803.000000;0.775678
9802.000000;0.773641
9801.000000;0.771793
9800.000000;0.770077
9799.000000;0.768330
9798.000000;0.766475
9797.000000;0.764603
9796.000000;0.762841
9795.000000;0.761215
9794.000000;0.759684
9793.000000;0.758228
9792.000000;0.756814
9791.000000;0.755337
9790.000000;0.753678
9789.000000;0.751812
9788.000000;0.749845
9787.000000;0.747960
9786.000000;0.746329
9785.000000;0.744975
9784.000000;0.743706
9783.000000;0.742245
9782.000000;0.740485
9781.000000;0.738575
9780.000000;0.736734
9779.000000;0.735072
9778.000000;0.733616
9777.000000;0.732385
9776.000000;0.731327
9775.000000;0.730252
9774.000000;0.728923
9773.000000;0.727210
9772.000000;0.725122
9771.000000;0.722786
9770.000000;0.720491
9769.000000;0.718603
9768.000000;0.717254
9767.000000;0.716124
9766.000000;0.714689
9765.000000;0.712720
9764.000000;0.710449
9763.000000;0.708273
9762.000000;0.706400
9761.000000;0.704801
9760.000000;0.703354
9759.000000;0.701932
9758.000000;0.700448
9757.000000;0.698888
9756.000000;0.697278
9755.000000;0.695593
9754.000000;0.693742
9753.000000;0.691689
9752.000000;0.689556
9751.000000;0.687562
9750.000000;0.685840
9749.000000;0.684298
9748.000000;0.682650
9747.000000;0.680653
9746.000000;0.678385
9745.000000;0.676245
9744.000000;0.674594
9743.000000;0.673398
9742.000000;0.672289
9741.000000;0.670930
9740.000000;0.669203
9739.000000;0.667096
9738.000000;0.664613
9737.000000;0.661912
9736.000000;0.659401
9735.000000;0.657495
9734.000000;0.656232
9733.000000;0.655202
9732.000000;0.653912
9731.000000;0.652192
9730.000000;0.650231
9729.000000;0.648216
9728.000000;0.646066
9727.000000;0.643603
9726.000000;0.640912
9725.000000;0.638363
9724.000000;0.636253
9723.000000;0.634558
9722.000000;0.633116
9721.000000;0.631885
9720.000000;0.630861
9719.000000;0.629865
9718.000000;0.628620
9717.000000;0.627004
9716.000000;0.625073
9715.000000;0.622880
9714.000000;0.620493
9713.000000;0.618159
9712.000000;0.616206
9711.000000;0.614698
9710.000000;0.613351
9709.000000;0.611864
9708.000000;0.610161
9707.000000;0.608271
9706.000000;0.606158
9705.000000;0.603810
9704.000000;0.601355
9703.000000;0.598961
9702.000000;0.596743
9701.000000;0.594785
9700.000000;0.593096
9699.000000;0.591434
9698.000000;0.589433
9697.000000;0.587100
9696.000000;0.584973
9695.000000;0.583509
9694.000000;0.582421
9693.000000;0.580941
9692.000000;0.578713
9691.000000;0.576135
9690.000000;0.573733
9689.000000;0.571550
9688.000000;0.569299
9687.000000;0.566917
