Criado como novo conjunto de dados;"0307_DANIEL.spp","55985.0 Secs"
cm-1;Abs
10000.000000;0.263943
9999.000000;0.263458
9998.000000;0.262973
9997.000000;0.262489
9996.000000;0.262006
9995.000000;0.261523
9994.000000;0.261040
9993.000000;0.260558
9992.000000;0.260077
9991.000000;0.259596
9990.000000;0.259118
9989.000000;0.258618
9988.000000;0.258035
9987.000000;0.257332
9986.000000;0.256493
9985.000000;0.255541
9984.000000;0.254598
9983.000000;0.253840
9982.000000;0.253328
9981.000000;0.252936
9980.000000;0.252479
9979.000000;0.251876
9978.000000;0.251147
9977.000000;0.250319
9976.000000;0.249417
9975.000000;0.248509
9974.000000;0.247662
9973.000000;0.246824
9972.000000;0.245875
9971.000000;0.244806
9970.000000;0.243782
9969.000000;0.242957
9968.000000;0.242289
9967.000000;0.241617
9966.000000;0.240877
9965.000000;0.240152
9964.000000;0.239519
9963.000000;0.238929
9962.000000;0.238273
9961.000000;0.237516
9960.000000;0.236695
9959.000000;0.235836
9958.000000;0.234937
9957.000000;0.234039
9956.000000;0.233241
9955.000000;0.232595
9954.000000;0.232025
9953.000000;0.231384
9952.000000;0.230576
9951.000000;0.229608
9950.000000;0.228567
9949.000000;0.227573
9948.000000;0.226718
9947.000000;0.225983
9946.000000;0.225226
9945.000000;0.224333
9944.000000;0.223377
9943.000000;0.222543
9942.000000;0.221886
9941.000000;0.221242
9940.000000;0.220426
9939.000000;0.219460
9938.000000;0.218502
9937.000000;0.217625
9936.000000;0.216759
9935.000000;0.215851
9934.000000;0.214959
9933.000000;0.214158
9932.000000;0.213415
9931.000000;0.212622
9930.000000;0.211715
9929.000000;0.210735
9928.000000;0.209790
9927.000000;0.208960
9926.000000;0.208242
9925.000000;0.207548
9924.000000;0.206796
9923.000000;0.206001
9922.000000;0.205257
9921.000000;0.204626
9920.000000;0.204062
9919.000000;0.203436
9918.000000;0.202645
9917.000000;0.201678
9916.000000;0.200633
9915.000000;0.199666
9914.000000;0.198873
9913.000000;0.198196
9912.000000;0.197460
9911.000000;0.196531
9910.000000;0.195436
9909.000000;0.194315
9908.000000;0.193269
9907.000000;0.192290
9906.000000;0.191306
9905.000000;0.190275
9904.000000;0.189232
9903.000000;0.188261
9902.000000;0.187429
9901.000000;0.186719
9900.000000;0.186039
9899.000000;0.185299
9898.000000;0.184485
9897.000000;0.183642
9896.000000;0.182773
9895.000000;0.181795
9894.000000;0.180619
9893.000000;0.179283
9892.000000;0.177987
9891.000000;0.176940
9890.000000;0.176154
9889.000000;0.175420
9888.000000;0.174521
9887.000000;0.173459
9886.000000;0.172406
9885.000000;0.171461
9884.000000;0.170535
9883.000000;0.169523
9882.000000;0.168486
9881.000000;0.167589
9880.000000;0.166880
9879.000000;0.166220
9878.000000;0.165440
9877.000000;0.164496
9876.000000;0.163472
9875.000000;0.162497
9874.000000;0.161670
9873.000000;0.160983
9872.000000;0.160260
9871.000000;0.159238
9870.000000;0.157819
9869.000000;0.156216
9868.000000;0.154788
9867.000000;0.153720
9866.000000;0.152886
9865.000000;0.152042
9864.000000;0.151087
9863.000000;0.150114
9862.000000;0.149247
9861.000000;0.148504
9860.000000;0.147792
9859.000000;0.147012
9858.000000;0.146132
9857.000000;0.145172
9856.000000;0.144152
9855.000000;0.143071
9854.000000;0.141927
9853.000000;0.140754
9852.000000;0.139637
9851.000000;0.138669
9850.000000;0.137881
9849.000000;0.137163
9848.000000;0.136273
9847.000000;0.135004
9846.000000;0.133389
9845.000000;0.131721
9844.000000;0.130307
9843.000000;0.129208
9842.000000;0.128257
9841.000000;0.127311
9840.000000;0.126387
9839.000000;0.125529
9838.000000;0.124652
9837.000000;0.123629
9836.000000;0.122477
9835.000000;0.121353
9834.000000;0.120362
9833.000000;0.119450
9832.000000;0.118514
9831.000000;0.117515
9830.000000;0.116454
9829.000000;0.115297
9828.000000;0.114014
9827.000000;0.112655
9826.000000;0.111332
9825.000000;0.110134
9824.000000;0.109087
9823.000000;0.108182
9822.000000;0.107360
9821.000000;0.106491
9820.000000;0.105465
9819.000000;0.104310
9818.000000;0.103156
9817.000000;0.102061
9816.000000;0.100932
9815.000000;0.099665
9814.000000;0.098299
9813.000000;0.096957
9812.000000;0.095671
9811.000000;0.094365
9810.000000;0.093009
9809.000000;0.091707
9808.000000;0.090585
9807.000000;0.089666
9806.000000;0.088864
9805.000000;0.088074
9804.000000;0.087215
9803.000000;0.086245
9802.000000;0.085175
9801.000000;0.084044
9800.000000;0.082862
9799.000000;0.081571
9798.000000;0.080131
9797.000000;0.078604
9796.000000;0.077131
9795.000000;0.075837
9794.000000;0.074768
9793.000000;0.073891
9792.000000;0.073086
9791.000000;0.072175
9790.000000;0.071028
9789.000000;0.069669
9788.000000;0.068235
9787.000000;0.066834
9786.000000;0.065486
9785.000000;0.064175
9784.000000;0.062896
9783.000000;0.061617
9782.000000;0.060291
9781.000000;0.058931
9780.000000;0.057624
9779.000000;0.056436
9778.000000;0.055327
9777.000000;0.054197
9776.000000;0.052977
9775.000000;0.051656
9774.000000;0.050243
9773.000000;0.048772
9772.000000;0.047306
9771.000000;0.045912
9770.000000;0.044617
9769.000000;0.043402
9768.000000;0.042229
9767.000000;0.041046
9766.000000;0.039813
9765.000000;0.038543
9764.000000;0.037304
9763.000000;0.036156
9762.000000;0.035103
9761.000000;0.034118
9760.000000;0.033149
9759.000000;0.032088
9758.000000;0.030823
9757.000000;0.029366
9756.000000;0.027880
9755.000000;0.026495
9754.000000;0.025149
9753.000000;0.023701
9752.000000;0.022164
9751.000000;0.020699
9750.000000;0.019391
9749.000000;0.018136
9748.000000;0.016798
9747.000000;0.015366
9746.000000;0.013892
