Criado como novo conjunto de dados;"0307_DANIEL.spp","19802.6 Secs"
cm-1;Abs
10000.000000;0.971450
9999.000000;0.971206
9998.000000;0.970986
9997.000000;0.970721
9996.000000;0.970606
9995.000000;0.970166
9994.000000;0.968767
9993.000000;0.966703
9992.000000;0.964731
9991.000000;0.963424
9990.000000;0.962717
9989.000000;0.962176
9988.000000;0.961445
9987.000000;0.960490
9986.000000;0.959480
9985.000000;0.958459
9984.000000;0.957217
9983.000000;0.955583
9982.000000;0.953767
9981.000000;0.952232
9980.000000;0.951214
9979.000000;0.950485
9978.000000;0.949641
9977.000000;0.948450
9976.000000;0.946942
9975.000000;0.945327
9974.000000;0.943835
9973.000000;0.942494
9972.000000;0.941105
9971.000000;0.939576
9970.000000;0.938182
9969.000000;0.937238
9968.000000;0.936582
9967.000000;0.935721
9966.000000;0.934479
9965.000000;0.933166
9964.000000;0.932037
9963.000000;0.930953
9962.000000;0.929698
9961.000000;0.928302
9960.000000;0.926870
9959.000000;0.925397
9958.000000;0.923949
9957.000000;0.922791
9956.000000;0.922073
9955.000000;0.921546
9954.000000;0.920762
9953.000000;0.919479
9952.000000;0.917784
9951.000000;0.916009
9950.000000;0.914567
9949.000000;0.913666
9948.000000;0.913027
9947.000000;0.912111
9946.000000;0.910710
9945.000000;0.909137
9944.000000;0.907737
9943.000000;0.906478
9942.000000;0.905193
9941.000000;0.903935
9940.000000;0.902861
9939.000000;0.901938
9938.000000;0.901017
9937.000000;0.900048
9936.000000;0.899027
9935.000000;0.897843
9934.000000;0.896383
9933.000000;0.894722
9932.000000;0.893038
9931.000000;0.891398
9930.000000;0.889768
9929.000000;0.888166
9928.000000;0.886684
9927.000000;0.885398
9926.000000;0.884322
9925.000000;0.883366
9924.000000;0.882317
9923.000000;0.880984
9922.000000;0.879426
9921.000000;0.877937
9920.000000;0.876710
9919.000000;0.875641
9918.000000;0.874512
9917.000000;0.873269
9916.000000;0.872039
9915.000000;0.870933
9914.000000;0.869870
9913.000000;0.868601
9912.000000;0.866980
9911.000000;0.865275
9910.000000;0.864034
9909.000000;0.863425
9908.000000;0.862877
9907.000000;0.861690
9906.000000;0.859911
9905.000000;0.858206
9904.000000;0.856915
9903.000000;0.855705
9902.000000;0.854258
9901.000000;0.852806
9900.000000;0.851692
9899.000000;0.850753
9898.000000;0.849494
9897.000000;0.847688
9896.000000;0.845564
9895.000000;0.843518
9894.000000;0.841829
9893.000000;0.840548
9892.000000;0.839495
9891.000000;0.838452
9890.000000;0.837390
9889.000000;0.836364
