Criado como novo conjunto de dados;"1909daniel.spp","-4249063.1 Secs"
cm-1;Abs
10000.000000;1.735811
9999.000000;1.734532
9998.000000;1.733712
9997.000000;1.734156
9996.000000;1.734570
9995.000000;1.732930
9994.000000;1.728829
9993.000000;1.723772
9992.000000;1.719776
9991.000000;1.718040
9990.000000;1.718207
9989.000000;1.718800
9988.000000;1.718913
9987.000000;1.719214
9986.000000;1.720509
9985.000000;1.721755
9984.000000;1.720950
9983.000000;1.718080
9982.000000;1.715505
9981.000000;1.714778
9980.000000;1.714610
9979.000000;1.712938
9978.000000;1.709896
9977.000000;1.707613
9976.000000;1.707773
9975.000000;1.710236
9974.000000;1.713521
9973.000000;1.715863
9972.000000;1.716036
9971.000000;1.714091
9970.000000;1.711454
9969.000000;1.709805
9968.000000;1.709677
9967.000000;1.710307
9966.000000;1.710712
9965.000000;1.710485
9964.000000;1.709539
9963.000000;1.707680
9962.000000;1.704888
9961.000000;1.701948
9960.000000;1.700341
9959.000000;1.700996
9958.000000;1.703053
9957.000000;1.704269
9956.000000;1.703186
9955.000000;1.700689
9954.000000;1.698875
9953.000000;1.698598
9952.000000;1.698811
9951.000000;1.698261
9950.000000;1.696881
9949.000000;1.695143
9948.000000;1.693130
9947.000000;1.691138
9946.000000;1.690444
9945.000000;1.692165
9944.000000;1.695387
9943.000000;1.697378
9942.000000;1.695960
9941.000000;1.691256
9940.000000;1.685113
9939.000000;1.679660
9938.000000;1.676687
9937.000000;1.677318
9936.000000;1.681046
9935.000000;1.685289
9934.000000;1.687054
9933.000000;1.685523
9932.000000;1.682482
9931.000000;1.680063
9930.000000;1.678734
9929.000000;1.677680
9928.000000;1.676499
9927.000000;1.675809
9926.000000;1.676307
9925.000000;1.677912
9924.000000;1.679957
9923.000000;1.681695
9922.000000;1.682381
9921.000000;1.681324
9920.000000;1.678516
9919.000000;1.675205
9918.000000;1.673271
9917.000000;1.673678
9916.000000;1.675501
9915.000000;1.676680
9914.000000;1.676046
9913.000000;1.674551
9912.000000;1.674102
9911.000000;1.675191
9910.000000;1.676088
9909.000000;1.674772
9908.000000;1.671384
9907.000000;1.668001
9906.000000;1.666270
9905.000000;1.666118
9904.000000;1.666603
9903.000000;1.666926
9902.000000;1.666280
9901.000000;1.663820
9900.000000;1.659807
9899.000000;1.656210
9898.000000;1.655133
9897.000000;1.656854
9896.000000;1.659919
9895.000000;1.662773
9894.000000;1.664596
9893.000000;1.664869
9892.000000;1.663330
9891.000000;1.660653
9890.000000;1.658218
9889.000000;1.656708
9888.000000;1.655498
9887.000000;1.653772
9886.000000;1.651642
9885.000000;1.649769
9884.000000;1.648443
9883.000000;1.647685
9882.000000;1.647829
9881.000000;1.649269
9880.000000;1.651533
9879.000000;1.653143
9878.000000;1.652834
9877.000000;1.650753
9876.000000;1.648250
9875.000000;1.646644
9874.000000;1.646287
9873.000000;1.646538
9872.000000;1.646417
9871.000000;1.645341
9870.000000;1.643477
9869.000000;1.641691
9868.000000;1.641135
9867.000000;1.642414
9866.000000;1.644761
9865.000000;1.646129
9864.000000;1.644674
9863.000000;1.640581
9862.000000;1.636116
9861.000000;1.633493
9860.000000;1.632889
9859.000000;1.632760
9858.000000;1.631914
9857.000000;1.630867
9856.000000;1.630927
9855.000000;1.632309
9854.000000;1.633634
9853.000000;1.633416
9852.000000;1.631668
9851.000000;1.629592
9850.000000;1.627864
9849.000000;1.625891
9848.000000;1.622973
9847.000000;1.619894
9846.000000;1.618677
9845.000000;1.620551
9844.000000;1.624500
9843.000000;1.628107
9842.000000;1.629812
9841.000000;1.629949
9840.000000;1.629545
9839.000000;1.628795
9838.000000;1.627121
9837.000000;1.624218
9836.000000;1.620542
9835.000000;1.617076
9834.000000;1.615093
9833.000000;1.615813
9832.000000;1.619328
9831.000000;1.623609
9830.000000;1.625508
9829.000000;1.623540
9828.000000;1.619230
9827.000000;1.615221
9826.000000;1.612628
9825.000000;1.610689
9824.000000;1.608353
9823.000000;1.605459
9822.000000;1.602562
9821.000000;1.600405
9820.000000;1.599669
9819.000000;1.600603
9818.000000;1.602671
9817.000000;1.604940
9816.000000;1.606823
9815.000000;1.608093
9814.000000;1.608358
9813.000000;1.607273
9812.000000;1.605268
9811.000000;1.603323
9810.000000;1.601935
9809.000000;1.600976
9808.000000;1.600591
9807.000000;1.601215
9806.000000;1.602408
9805.000000;1.602629
9804.000000;1.600984
9803.000000;1.598543
9802.000000;1.597040
9801.000000;1.596729
9800.000000;1.596384
9799.000000;1.595119
9798.000000;1.593302
9797.000000;1.591804
9796.000000;1.591160
9795.000000;1.591452
9794.000000;1.592406
9793.000000;1.593436
9792.000000;1.593910
9791.000000;1.593494
9790.000000;1.592080
9789.000000;1.589694
9788.000000;1.586876
9787.000000;1.584674
9786.000000;1.583584
9785.000000;1.582796
9784.000000;1.581102
9783.000000;1.578547
9782.000000;1.576492
9781.000000;1.575945
9780.000000;1.576508
9779.000000;1.577133
9778.000000;1.577319
9777.000000;1.577224
9776.000000;1.577032
9775.000000;1.576647
9774.000000;1.575855
9773.000000;1.574546
9772.000000;1.572837
9771.000000;1.570990
9770.000000;1.569077
9769.000000;1.566886
9768.000000;1.564475
9767.000000;1.562704
9766.000000;1.562725
9765.000000;1.564795
9764.000000;1.567839
9763.000000;1.570220
9762.000000;1.570738
9761.000000;1.569019
9760.000000;1.565610
9759.000000;1.562022
9758.000000;1.560124
9757.000000;1.560826
9756.000000;1.563286
9755.000000;1.565634
9754.000000;1.566489
9753.000000;1.565659
9752.000000;1.563687
9751.000000;1.561199
9750.000000;1.558765
9749.000000;1.557045
9748.000000;1.556672
9747.000000;1.557659
9746.000000;1.558914
9745.000000;1.558764
9744.000000;1.556394
9743.000000;1.552669
9742.000000;1.549226
9741.000000;1.547017
9740.000000;1.546170
9739.000000;1.546747
9738.000000;1.548697
9737.000000;1.550964
9736.000000;1.551697
9735.000000;1.550080
9734.000000;1.547440
9733.000000;1.545884
9732.000000;1.546195
9731.000000;1.547458
9730.000000;1.548303
9729.000000;1.548029
9728.000000;1.546726
9727.000000;1.544874
9726.000000;1.542991
9725.000000;1.541360
9724.000000;1.539916
9723.000000;1.538492
9722.000000;1.537207
9721.000000;1.536532
9720.000000;1.536982
9719.000000;1.538595
9718.000000;1.540452
9717.000000;1.540894
9716.000000;1.538928
9715.000000;1.535667
9714.000000;1.533681
9713.000000;1.534504
9712.000000;1.537083
9711.000000;1.538936
9710.000000;1.538596
9709.000000;1.536552
9708.000000;1.534196
9707.000000;1.532649
9706.000000;1.532356
9705.000000;1.532823
9704.000000;1.532659
9703.000000;1.530704
9702.000000;1.527399
9701.000000;1.524409
9700.000000;1.522727
9699.000000;1.521781
9698.000000;1.520622
9697.000000;1.519362
9696.000000;1.518939
9695.000000;1.519825
9694.000000;1.521455
9693.000000;1.522759
9692.000000;1.522895
9691.000000;1.521610
9690.000000;1.519310
9689.000000;1.516783
9688.000000;1.514661
9687.000000;1.513163
9686.000000;1.512380
9685.000000;1.512506
9684.000000;1.513503
9683.000000;1.514759
9682.000000;1.515477
9681.000000;1.515407
9680.000000;1.514844
9679.000000;1.513909
9678.000000;1.512289
9677.000000;1.509844
9676.000000;1.507076
9675.000000;1.504719
9674.000000;1.503174
9673.000000;1.502589
9672.000000;1.503148
9671.000000;1.504770
9670.000000;1.506629
9669.000000;1.507554
9668.000000;1.507150
9667.000000;1.506236
9666.000000;1.505907
9665.000000;1.506379
9664.000000;1.507057
9663.000000;1.507346
9662.000000;1.506926
9661.000000;1.505535
9660.000000;1.503070
9659.000000;1.500003
9658.000000;1.497291
9657.000000;1.495492
