Criado como novo conjunto de dados;"1909daniel.spp","-4281284.6 Secs"
cm-1;Abs
10000.000000;1.223558
9999.000000;1.223192
9998.000000;1.222817
9997.000000;1.221945
9996.000000;1.220634
9995.000000;1.219102
9994.000000;1.217414
9993.000000;1.215749
9992.000000;1.214637
9991.000000;1.214495
9990.000000;1.214968
9989.000000;1.215166
9988.000000;1.214663
9987.000000;1.213962
9986.000000;1.213746
9985.000000;1.213952
9984.000000;1.213863
9983.000000;1.213056
9982.000000;1.211886
9981.000000;1.210944
9980.000000;1.210280
9979.000000;1.209403
9978.000000;1.207975
9977.000000;1.206276
9976.000000;1.204916
9975.000000;1.204228
9974.000000;1.204084
9973.000000;1.204156
9972.000000;1.204133
9971.000000;1.203702
9970.000000;1.202627
9969.000000;1.201049
9968.000000;1.199510
9967.000000;1.198446
9966.000000;1.197776
9965.000000;1.197176
9964.000000;1.196645
9963.000000;1.196487
9962.000000;1.196738
9961.000000;1.196961
9960.000000;1.196746
9959.000000;1.196088
9958.000000;1.195130
9957.000000;1.193887
9956.000000;1.192529
9955.000000;1.191622
9954.000000;1.191633
9953.000000;1.192233
9952.000000;1.192462
9951.000000;1.191713
9950.000000;1.190334
9949.000000;1.189171
9948.000000;1.188705
9947.000000;1.188688
9946.000000;1.188449
9945.000000;1.187466
9944.000000;1.185740
9943.000000;1.183767
9942.000000;1.182226
9941.000000;1.181584
9940.000000;1.181786
9939.000000;1.182167
9938.000000;1.181784
9937.000000;1.180212
9936.000000;1.178153
9935.000000;1.176960
9934.000000;1.177327
9933.000000;1.178564
9932.000000;1.179279
9931.000000;1.178679
9930.000000;1.177035
9929.000000;1.175085
9928.000000;1.173359
9927.000000;1.172054
9926.000000;1.171164
9925.000000;1.170568
9924.000000;1.170102
9923.000000;1.169605
9922.000000;1.168882
9921.000000;1.167779
9920.000000;1.166509
9919.000000;1.165719
9918.000000;1.165863
9917.000000;1.166480
9916.000000;1.166458
9915.000000;1.165155
9914.000000;1.163003
9913.000000;1.160943
9912.000000;1.159586
9911.000000;1.159029
9910.000000;1.159050
9909.000000;1.159190
9908.000000;1.158872
9907.000000;1.157804
9906.000000;1.156286
9905.000000;1.154940
9904.000000;1.154182
9903.000000;1.154012
9902.000000;1.154109
9901.000000;1.153949
9900.000000;1.153031
9899.000000;1.151297
9898.000000;1.149358
9897.000000;1.148076
9896.000000;1.147802
9895.000000;1.148088
9894.000000;1.148150
9893.000000;1.147577
9892.000000;1.146606
9891.000000;1.145774
9890.000000;1.145358
9889.000000;1.145152
9888.000000;1.144772
9887.000000;1.144055
9886.000000;1.143098
9885.000000;1.142031
9884.000000;1.140971
9883.000000;1.140144
9882.000000;1.139776
9881.000000;1.139727
9880.000000;1.139452
9879.000000;1.138486
9878.000000;1.136910
9877.000000;1.135231
9876.000000;1.133935
9875.000000;1.133270
9874.000000;1.133267
9873.000000;1.133720
9872.000000;1.134150
9871.000000;1.134036
9870.000000;1.133247
9869.000000;1.132210
9868.000000;1.131562
9867.000000;1.131588
9866.000000;1.131922
9865.000000;1.131804
9864.000000;1.130726
9863.000000;1.128887
9862.000000;1.126954
9861.000000;1.125417
9860.000000;1.124246
9859.000000;1.123092
9858.000000;1.121682
9857.000000;1.120063
9856.000000;1.118611
9855.000000;1.117783
9854.000000;1.117683
9853.000000;1.117847
9852.000000;1.117667
9851.000000;1.117039
9850.000000;1.116376
9849.000000;1.115981
9848.000000;1.115692
9847.000000;1.115246
9846.000000;1.114682
9845.000000;1.114151
9844.000000;1.113601
9843.000000;1.112944
9842.000000;1.112357
9841.000000;1.112072
9840.000000;1.111955
9839.000000;1.111584
9838.000000;1.110687
9837.000000;1.109298
9836.000000;1.107618
9835.000000;1.106009
9834.000000;1.104987
9833.000000;1.104820
9832.000000;1.105112
9831.000000;1.105136
9830.000000;1.104619
9829.000000;1.103889
9828.000000;1.103199
9827.000000;1.102333
9826.000000;1.101072
9825.000000;1.099697
9824.000000;1.098676
9823.000000;1.098005
9822.000000;1.097185
9821.000000;1.095859
9820.000000;1.094218
9819.000000;1.092755
9818.000000;1.091806
9817.000000;1.091402
9816.000000;1.091391
9815.000000;1.091536
9814.000000;1.091567
9813.000000;1.091312
9812.000000;1.090881
9811.000000;1.090559
9810.000000;1.090405
9809.000000;1.090044
9808.000000;1.089073
9807.000000;1.087658
9806.000000;1.086460
9805.000000;1.085808
9804.000000;1.085247
9803.000000;1.084189
9802.000000;1.082823
9801.000000;1.081966
9800.000000;1.082029
9799.000000;1.082461
