Criado como novo conjunto de dados;"1909daniel.spp","-4221161.6 Secs"
cm-1;Abs
10000.000000;1.472341
9999.000000;1.473301
9998.000000;1.474262
9997.000000;1.475226
9996.000000;1.476193
9995.000000;1.477160
9994.000000;1.478134
9993.000000;1.479102
9992.000000;1.480083
9991.000000;1.481045
9990.000000;1.482060
9989.000000;1.482770
9988.000000;1.482480
9987.000000;1.480959
9986.000000;1.478579
9985.000000;1.476415
9984.000000;1.475657
9983.000000;1.476434
9982.000000;1.477482
9981.000000;1.477481
9980.000000;1.476549
9979.000000;1.475787
9978.000000;1.475549
9977.000000;1.475022
9976.000000;1.473706
9975.000000;1.472465
9974.000000;1.472520
9973.000000;1.473855
9972.000000;1.475100
9971.000000;1.474810
9970.000000;1.472615
9969.000000;1.469408
9968.000000;1.466818
9967.000000;1.466276
9966.000000;1.468036
9965.000000;1.470896
9964.000000;1.473025
9963.000000;1.473253
9962.000000;1.471660
9961.000000;1.469171
9960.000000;1.466797
9959.000000;1.465106
9958.000000;1.464014
9957.000000;1.463055
9956.000000;1.461955
9955.000000;1.460895
9954.000000;1.460143
9953.000000;1.459579
9952.000000;1.458789
9951.000000;1.457591
9950.000000;1.456289
9949.000000;1.455358
9948.000000;1.454918
9947.000000;1.454576
9946.000000;1.453829
9945.000000;1.452704
9944.000000;1.451894
9943.000000;1.452046
9942.000000;1.452924
9941.000000;1.453581
9940.000000;1.453404
9939.000000;1.452644
9938.000000;1.451848
9937.000000;1.451201
9936.000000;1.450653
9935.000000;1.450284
9934.000000;1.450141
9933.000000;1.449944
9932.000000;1.449403
9931.000000;1.448691
9930.000000;1.448182
9929.000000;1.447686
9928.000000;1.446445
9927.000000;1.444076
9926.000000;1.441256
9925.000000;1.439212
9924.000000;1.438616
9923.000000;1.439064
9922.000000;1.439517
9921.000000;1.439166
9920.000000;1.437971
9919.000000;1.436527
9918.000000;1.435438
9917.000000;1.434805
9916.000000;1.434244
9915.000000;1.433366
9914.000000;1.432209
9913.000000;1.431207
9912.000000;1.430810
9911.000000;1.431144
9910.000000;1.431974
9909.000000;1.432872
9908.000000;1.433386
9907.000000;1.433140
9906.000000;1.431947
9905.000000;1.429951
9904.000000;1.427662
9903.000000;1.425809
9902.000000;1.424942
9901.000000;1.425043
9900.000000;1.425513
9899.000000;1.425664
9898.000000;1.425326
9897.000000;1.424884
9896.000000;1.424656
9895.000000;1.424404
9894.000000;1.423707
9893.000000;1.422683
9892.000000;1.421996
9891.000000;1.422120
9890.000000;1.422860
9889.000000;1.423609
9888.000000;1.423762
9887.000000;1.422836
9886.000000;1.420637
9885.000000;1.417627
9884.000000;1.414800
9883.000000;1.412893
9882.000000;1.411841
9881.000000;1.411164
9880.000000;1.410647
9879.000000;1.410415
9878.000000;1.410599
9877.000000;1.411190
9876.000000;1.412031
9875.000000;1.412722
9874.000000;1.412776
9873.000000;1.412132
9872.000000;1.411263
9871.000000;1.410473
9870.000000;1.409473
9869.000000;1.408078
9868.000000;1.406842
9867.000000;1.406350
9866.000000;1.406239
9865.000000;1.405670
9864.000000;1.404605
9863.000000;1.403791
9862.000000;1.403508
9861.000000;1.403234
9860.000000;1.402638
9859.000000;1.402029
9858.000000;1.401495
9857.000000;1.400446
9856.000000;1.398540
9855.000000;1.396434
9854.000000;1.394991
9853.000000;1.394229
9852.000000;1.393664
9851.000000;1.393303
9850.000000;1.393608
9849.000000;1.394640
9848.000000;1.395810
9847.000000;1.396501
9846.000000;1.396488
9845.000000;1.395721
9844.000000;1.394117
9843.000000;1.391764
9842.000000;1.389170
9841.000000;1.387184
9840.000000;1.386652
9839.000000;1.387850
9838.000000;1.389965
9837.000000;1.391312
9836.000000;1.390563
9835.000000;1.387917
9834.000000;1.384882
9833.000000;1.382904
9832.000000;1.382311
9831.000000;1.382459
9830.000000;1.382607
9829.000000;1.382580
9828.000000;1.382647
9827.000000;1.382893
9826.000000;1.382902
9825.000000;1.382290
9824.000000;1.381384
9823.000000;1.380994
9822.000000;1.381466
9821.000000;1.382274
9820.000000;1.382621
9819.000000;1.382144
9818.000000;1.380882
9817.000000;1.379017
9816.000000;1.376978
9815.000000;1.375420
9814.000000;1.374699
9813.000000;1.374515
9812.000000;1.374306
9811.000000;1.373761
9810.000000;1.372789
9809.000000;1.371334
9808.000000;1.369648
9807.000000;1.368405
9806.000000;1.367974
9805.000000;1.367690
9804.000000;1.366437
9803.000000;1.364055
9802.000000;1.361647
9801.000000;1.360381
9800.000000;1.360429
9799.000000;1.361172
9798.000000;1.362031
9797.000000;1.362817
9796.000000;1.363474
9795.000000;1.363761
9794.000000;1.363252
9793.000000;1.361668
9792.000000;1.359347
9791.000000;1.357255
9790.000000;1.356172
9789.000000;1.355880
9788.000000;1.355469
9787.000000;1.354528
9786.000000;1.353623
9785.000000;1.353423
9784.000000;1.353833
9783.000000;1.354327
9782.000000;1.354738
9781.000000;1.355209
9780.000000;1.355602
9779.000000;1.355520
9778.000000;1.354892
9777.000000;1.353993
9776.000000;1.352855
9775.000000;1.351217
9774.000000;1.349180
9773.000000;1.347427
9772.000000;1.346497
9771.000000;1.346192
9770.000000;1.345984
9769.000000;1.345708
9768.000000;1.345522
9767.000000;1.345377
9766.000000;1.344936
9765.000000;1.344014
9764.000000;1.342804
9763.000000;1.341613
9762.000000;1.340627
9761.000000;1.339936
9760.000000;1.339484
9759.000000;1.339016
9758.000000;1.338394
9757.000000;1.337954
9756.000000;1.338131
9755.000000;1.338758
9754.000000;1.339155
9753.000000;1.338996
9752.000000;1.338734
9751.000000;1.338854
9750.000000;1.339030
9749.000000;1.338451
9748.000000;1.336801
9747.000000;1.334558
9746.000000;1.332437
9745.000000;1.330924
9744.000000;1.330237
9743.000000;1.330230
9742.000000;1.330239
9741.000000;1.329467
9740.000000;1.327808
9739.000000;1.326039
9738.000000;1.325037
9737.000000;1.324969
9736.000000;1.325323
9735.000000;1.325474
9734.000000;1.325026
9733.000000;1.323904
9732.000000;1.322456
9731.000000;1.321345
9730.000000;1.321017
9729.000000;1.321275
9728.000000;1.321613
9727.000000;1.321916
9726.000000;1.322443
9725.000000;1.323026
9724.000000;1.322775
9723.000000;1.321012
9722.000000;1.318262
9721.000000;1.315768
9720.000000;1.314115
9719.000000;1.312887
9718.000000;1.311813
9717.000000;1.311613
9716.000000;1.313158
9715.000000;1.316011
9714.000000;1.318403
9713.000000;1.318844
9712.000000;1.317470
9711.000000;1.315636
9710.000000;1.314503
9709.000000;1.314219
9708.000000;1.314143
9707.000000;1.313561
9706.000000;1.312297
9705.000000;1.310773
9704.000000;1.309419
9703.000000;1.308121
9702.000000;1.306450
9701.000000;1.304458
9700.000000;1.302856
9699.000000;1.302160
9698.000000;1.301959
9697.000000;1.301374
9696.000000;1.300083
9695.000000;1.298611
9694.000000;1.297699
9693.000000;1.297671
9692.000000;1.298318
9691.000000;1.299065
9690.000000;1.299305
9689.000000;1.298868
9688.000000;1.298212
9687.000000;1.297945
9686.000000;1.298108
9685.000000;1.298125
9684.000000;1.297456
9683.000000;1.296123
9682.000000;1.294583
9681.000000;1.293305
9680.000000;1.292540
9679.000000;1.292301
9678.000000;1.292368
9677.000000;1.292309
9676.000000;1.291578
9675.000000;1.289784
9674.000000;1.287122
9673.000000;1.284592
9672.000000;1.283480
9671.000000;1.284313
9670.000000;1.286328
9669.000000;1.288128
9668.000000;1.288838
9667.000000;1.288485
9666.000000;1.287445
9665.000000;1.285968
9664.000000;1.284305
9663.000000;1.282882
9662.000000;1.282060
9661.000000;1.281822
9660.000000;1.281811
9659.000000;1.281596
9658.000000;1.280913
9657.000000;1.279806
9656.000000;1.278617
9655.000000;1.277640
9654.000000;1.276711
9653.000000;1.275365
9652.000000;1.273512
9651.000000;1.271747
9650.000000;1.270772
9649.000000;1.270637
9648.000000;1.270784
9647.000000;1.270727
9646.000000;1.270439
9645.000000;1.270078
9644.000000;1.269659
9643.000000;1.269182
9642.000000;1.268810
9641.000000;1.268636
9640.000000;1.268366
9639.000000;1.267519
9638.000000;1.265974
9637.000000;1.264133
9636.000000;1.262486
9635.000000;1.261255
9634.000000;1.260550
9633.000000;1.260525
9632.000000;1.261084
9631.000000;1.261679
9630.000000;1.261795
9629.000000;1.261550
9628.000000;1.261515
9627.000000;1.261989
9626.000000;1.262753
9625.000000;1.263505
9624.000000;1.264067
9623.000000;1.264114
9622.000000;1.263240
9621.000000;1.261544
9620.000000;1.259747
9619.000000;1.258486
9618.000000;1.257818
9617.000000;1.257590
9616.000000;1.257815
9615.000000;1.258347
9614.000000;1.258559
9613.000000;1.257882
9612.000000;1.256493
9611.000000;1.255037
9610.000000;1.253829
9609.000000;1.252749
9608.000000;1.251767
9607.000000;1.251117
9606.000000;1.250977
9605.000000;1.251213
