Criado como novo conjunto de dados;"1909daniel.spp","-4267243.8 Secs"
cm-1;Abs
10000.000000;1.561467
9999.000000;1.559907
9998.000000;1.559059
9997.000000;1.558442
9996.000000;1.557261
9995.000000;1.555991
9994.000000;1.555706
9993.000000;1.556567
9992.000000;1.557515
9991.000000;1.557574
9990.000000;1.556689
9989.000000;1.555335
9988.000000;1.553950
9987.000000;1.552963
9986.000000;1.552779
9985.000000;1.553320
9984.000000;1.553888
9983.000000;1.553838
9982.000000;1.553215
9981.000000;1.552444
9980.000000;1.551637
9979.000000;1.550603
9978.000000;1.549450
9977.000000;1.548625
9976.000000;1.548138
9975.000000;1.547177
9974.000000;1.545029
9973.000000;1.542262
9972.000000;1.540407
9971.000000;1.540286
9970.000000;1.541051
9969.000000;1.541140
9968.000000;1.539929
9967.000000;1.538106
9966.000000;1.536619
9965.000000;1.535742
9964.000000;1.535154
9963.000000;1.534507
9962.000000;1.533689
9961.000000;1.532827
9960.000000;1.532274
9959.000000;1.532364
9958.000000;1.532997
9957.000000;1.533602
9956.000000;1.533649
9955.000000;1.533047
9954.000000;1.532058
9953.000000;1.531086
9952.000000;1.530542
9951.000000;1.530534
9950.000000;1.530512
9949.000000;1.529476
9948.000000;1.526910
9947.000000;1.523440
9946.000000;1.520394
9945.000000;1.518732
9944.000000;1.518378
9943.000000;1.518415
9942.000000;1.517979
9941.000000;1.517113
9940.000000;1.516674
9939.000000;1.517312
9938.000000;1.518688
9937.000000;1.519871
9936.000000;1.520348
9935.000000;1.520259
9934.000000;1.519747
9933.000000;1.518717
9932.000000;1.517310
9931.000000;1.515944
9930.000000;1.514628
9929.000000;1.512804
9928.000000;1.510235
9927.000000;1.507663
9926.000000;1.506168
9925.000000;1.506134
9924.000000;1.507080
9923.000000;1.508211
9922.000000;1.508850
9921.000000;1.508658
9920.000000;1.507872
9919.000000;1.507180
9918.000000;1.507053
9917.000000;1.507398
9916.000000;1.507909
9915.000000;1.508211
9914.000000;1.507469
9913.000000;1.504701
9912.000000;1.500183
9911.000000;1.495999
9910.000000;1.494255
9909.000000;1.494903
9908.000000;1.495931
9907.000000;1.495638
9906.000000;1.494138
9905.000000;1.492701
9904.000000;1.492427
9903.000000;1.493664
9902.000000;1.495834
9901.000000;1.497429
9900.000000;1.496882
9899.000000;1.494040
9898.000000;1.490516
9897.000000;1.488223
9896.000000;1.487747
9895.000000;1.488265
9894.000000;1.488629
9893.000000;1.488323
9892.000000;1.487595
9891.000000;1.486995
9890.000000;1.486814
9889.000000;1.486840
9888.000000;1.486616
9887.000000;1.485917
9886.000000;1.484916
9885.000000;1.483926
9884.000000;1.483114
9883.000000;1.482418
9882.000000;1.481621
9881.000000;1.480559
9880.000000;1.479413
9879.000000;1.478662
9878.000000;1.478505
9877.000000;1.478563
9876.000000;1.478435
9875.000000;1.478283
9874.000000;1.478388
9873.000000;1.478346
9872.000000;1.477319
9871.000000;1.475171
9870.000000;1.472859
9869.000000;1.471450
9868.000000;1.471125
9867.000000;1.471351
9866.000000;1.471624
9865.000000;1.471706
9864.000000;1.471450
9863.000000;1.470781
9862.000000;1.469736
9861.000000;1.468321
9860.000000;1.466466
9859.000000;1.464262
9858.000000;1.462066
9857.000000;1.460119
9856.000000;1.458238
9855.000000;1.456211
9854.000000;1.454468
9853.000000;1.453997
9852.000000;1.455331
9851.000000;1.457603
9850.000000;1.458906
9849.000000;1.457971
9848.000000;1.455504
9847.000000;1.453547
9846.000000;1.453489
9845.000000;1.454941
9844.000000;1.456479
9843.000000;1.457033
9842.000000;1.456284
9841.000000;1.454283
9840.000000;1.451486
9839.000000;1.449026
9838.000000;1.448119
9837.000000;1.448914
9836.000000;1.450377
9835.000000;1.451466
9834.000000;1.451921
9833.000000;1.451740
9832.000000;1.450570
9831.000000;1.448215
9830.000000;1.445395
9829.000000;1.443352
9828.000000;1.442722
9827.000000;1.443013
9826.000000;1.443108
9825.000000;1.442175
9824.000000;1.440278
9823.000000;1.438308
9822.000000;1.437190
9821.000000;1.437019
9820.000000;1.437070
9819.000000;1.436724
9818.000000;1.436183
9817.000000;1.436101
9816.000000;1.436727
9815.000000;1.437621
9814.000000;1.438086
9813.000000;1.437667
