Criado como novo conjunto de dados;"1909daniel.spp","-4265624.0 Secs"
cm-1;Abs
10000.000000;1.660846
9999.000000;1.660352
9998.000000;1.659021
9997.000000;1.656342
9996.000000;1.653851
9995.000000;1.653017
9994.000000;1.653592
9993.000000;1.654432
9992.000000;1.655130
9991.000000;1.655994
9990.000000;1.656905
9989.000000;1.657191
9988.000000;1.656543
9987.000000;1.655343
9986.000000;1.654041
9985.000000;1.652723
9984.000000;1.651270
9983.000000;1.649432
9982.000000;1.646878
9981.000000;1.643744
9980.000000;1.641085
9979.000000;1.640104
9978.000000;1.640766
9977.000000;1.641609
9976.000000;1.641258
9975.000000;1.639875
9974.000000;1.638807
9973.000000;1.639029
9972.000000;1.640357
9971.000000;1.641973
9970.000000;1.643213
9969.000000;1.643719
9968.000000;1.643215
9967.000000;1.641551
9966.000000;1.638999
9965.000000;1.636315
9964.000000;1.634375
9963.000000;1.633677
9962.000000;1.634042
9961.000000;1.634710
9960.000000;1.634826
9959.000000;1.634085
9958.000000;1.632943
9957.000000;1.632166
9956.000000;1.632150
9955.000000;1.632663
9954.000000;1.633205
9953.000000;1.633486
9952.000000;1.633350
9951.000000;1.632423
9950.000000;1.630361
9949.000000;1.627434
9948.000000;1.624472
9947.000000;1.622165
9946.000000;1.620705
9945.000000;1.620161
9944.000000;1.620628
9943.000000;1.621678
9942.000000;1.622180
9941.000000;1.621296
9940.000000;1.619527
9939.000000;1.618197
9938.000000;1.617992
9937.000000;1.618517
9936.000000;1.619174
9935.000000;1.619704
9934.000000;1.619637
9933.000000;1.618060
9932.000000;1.614615
9931.000000;1.610396
9930.000000;1.607140
9929.000000;1.605598
9928.000000;1.605168
9927.000000;1.605104
9926.000000;1.605486
9925.000000;1.606683
9924.000000;1.608235
9923.000000;1.608821
9922.000000;1.607474
9921.000000;1.604668
9920.000000;1.602116
9919.000000;1.601560
9918.000000;1.603578
9917.000000;1.607103
9916.000000;1.609856
9915.000000;1.609685
9914.000000;1.606151
9913.000000;1.600930
9912.000000;1.596553
9911.000000;1.594654
9910.000000;1.595172
9909.000000;1.596866
9908.000000;1.598279
9907.000000;1.598422
9906.000000;1.597084
9905.000000;1.594795
9904.000000;1.592393
9903.000000;1.590435
9902.000000;1.589090
9901.000000;1.588575
9900.000000;1.589330
9899.000000;1.591371
9898.000000;1.593618
9897.000000;1.594373
9896.000000;1.592781
9895.000000;1.589706
9894.000000;1.587046
9893.000000;1.586261
9892.000000;1.587378
9891.000000;1.589018
9890.000000;1.589369
9889.000000;1.587581
9888.000000;1.584518
9887.000000;1.582022
9886.000000;1.581296
9885.000000;1.582004
9884.000000;1.582851
9883.000000;1.582826
9882.000000;1.581907
9881.000000;1.580841
9880.000000;1.580402
9879.000000;1.580675
9878.000000;1.580802
9877.000000;1.579634
9876.000000;1.576965
9875.000000;1.573940
9874.000000;1.571929
9873.000000;1.571166
9872.000000;1.570842
9871.000000;1.570431
9870.000000;1.570300
9869.000000;1.570753
9868.000000;1.571104
9867.000000;1.570292
9866.000000;1.568245
9865.000000;1.566100
9864.000000;1.565000
9863.000000;1.565083
9862.000000;1.565747
9861.000000;1.566470
9860.000000;1.567039
9859.000000;1.567202
9858.000000;1.566589
9857.000000;1.565020
9856.000000;1.562629
9855.000000;1.559689
9854.000000;1.556554
9853.000000;1.553821
9852.000000;1.552264
9851.000000;1.552303
9850.000000;1.553466
9849.000000;1.554583
9848.000000;1.554660
9847.000000;1.553584
9846.000000;1.552048
9845.000000;1.550939
9844.000000;1.550771
9843.000000;1.551461
9842.000000;1.552402
9841.000000;1.552758
9840.000000;1.551887
9839.000000;1.549750
9838.000000;1.547047
9837.000000;1.544846
9836.000000;1.543914
9835.000000;1.544204
9834.000000;1.544867
9833.000000;1.544830
9832.000000;1.543591
9831.000000;1.541665
9830.000000;1.540230
9829.000000;1.540147
9828.000000;1.541161
9827.000000;1.542042
9826.000000;1.541610
9825.000000;1.539705
9824.000000;1.537229
9823.000000;1.535343
9822.000000;1.534617
9821.000000;1.534738
9820.000000;1.534908
9819.000000;1.534572
9818.000000;1.533872
9817.000000;1.533378
9816.000000;1.533394
9815.000000;1.533598
9814.000000;1.533427
9813.000000;1.532685
9812.000000;1.531712
9811.000000;1.530989
9810.000000;1.530629
9809.000000;1.530208
9808.000000;1.529151
9807.000000;1.527486
9806.000000;1.526103
9805.000000;1.525922
9804.000000;1.526799
9803.000000;1.527640
9802.000000;1.527699
9801.000000;1.527227
9800.000000;1.526546
9799.000000;1.525210
9798.000000;1.522843
9797.000000;1.520365
9796.000000;1.519322
9795.000000;1.519968
9794.000000;1.520854
9793.000000;1.520580
9792.000000;1.519231
9791.000000;1.517687
9790.000000;1.516216
9789.000000;1.514441
9788.000000;1.512304
9787.000000;1.510381
9786.000000;1.509226
9785.000000;1.508845
9784.000000;1.508884
9783.000000;1.509147
9782.000000;1.509829
9781.000000;1.511137
9780.000000;1.512549
9779.000000;1.512698
9778.000000;1.510576
9777.000000;1.506920
9776.000000;1.503785
9775.000000;1.502543
9774.000000;1.502734
9773.000000;1.503020
9772.000000;1.502660
9771.000000;1.501675
9770.000000;1.500259
9769.000000;1.498819
9768.000000;1.498172
9767.000000;1.498865
9766.000000;1.500331
9765.000000;1.501357
9764.000000;1.501337
9763.000000;1.500581
9762.000000;1.499540
9761.000000;1.498484
9760.000000;1.497805
9759.000000;1.497754
9758.000000;1.497721
9757.000000;1.496687
9756.000000;1.494707
9755.000000;1.493157
9754.000000;1.493040
9753.000000;1.493690
9752.000000;1.493624
9751.000000;1.492228
9750.000000;1.490070
9749.000000;1.488008
9748.000000;1.486669
9747.000000;1.486426
9746.000000;1.487074
9745.000000;1.487625
9744.000000;1.487132
9743.000000;1.485778
9742.000000;1.484558
9741.000000;1.483780
9740.000000;1.482576
9739.000000;1.480285
9738.000000;1.477769
9737.000000;1.476716
9736.000000;1.477788
9735.000000;1.479919
9734.000000;1.481458
9733.000000;1.481669
9732.000000;1.480988
9731.000000;1.480106
9730.000000;1.479204
9729.000000;1.478052
9728.000000;1.476492
9727.000000;1.474599
9726.000000;1.472624
9725.000000;1.471052
9724.000000;1.470447
9723.000000;1.470946
9722.000000;1.471910
9721.000000;1.472154
9720.000000;1.470771
9719.000000;1.467930
9718.000000;1.464894
9717.000000;1.463146
9716.000000;1.463320
9715.000000;1.464882
9714.000000;1.466667
9713.000000;1.467724
9712.000000;1.467804
9711.000000;1.467162
9710.000000;1.466046
9709.000000;1.464537
9708.000000;1.462759
9707.000000;1.461034
9706.000000;1.459752
9705.000000;1.459131
9704.000000;1.459080
9703.000000;1.459254
9702.000000;1.459311
9701.000000;1.459135
9700.000000;1.458755
9699.000000;1.458076
9698.000000;1.456937
9697.000000;1.455532
9696.000000;1.454406
9695.000000;1.453771
9694.000000;1.453059
9693.000000;1.451653
9692.000000;1.449936
9691.000000;1.449018
9690.000000;1.449215
9689.000000;1.449346
9688.000000;1.447985
9687.000000;1.445180
9686.000000;1.442440
9685.000000;1.441055
9684.000000;1.440916
9683.000000;1.441103
9682.000000;1.441226
9681.000000;1.441776
9680.000000;1.443154
9679.000000;1.444750
9678.000000;1.445240
9677.000000;1.443794
9676.000000;1.440855
9675.000000;1.437738
9674.000000;1.435731
9673.000000;1.435504
9672.000000;1.436851
9671.000000;1.438607
9670.000000;1.439187
9669.000000;1.437825
9668.000000;1.435410
9667.000000;1.433770
9666.000000;1.433881
9665.000000;1.434908
9664.000000;1.435160
9663.000000;1.433900
9662.000000;1.431978
9661.000000;1.430730
9660.000000;1.430615
9659.000000;1.431048
9658.000000;1.431256
9657.000000;1.430947
9656.000000;1.430216
9655.000000;1.429213
9654.000000;1.428140
9653.000000;1.427312
9652.000000;1.426878
9651.000000;1.426495
9650.000000;1.425567
9649.000000;1.423861
9648.000000;1.421729
9647.000000;1.419728
9646.000000;1.418263
9645.000000;1.417542
9644.000000;1.417526
9643.000000;1.417806
9642.000000;1.417923
9641.000000;1.417926
9640.000000;1.418262
9639.000000;1.418994
9638.000000;1.419490
9637.000000;1.419068
9636.000000;1.417632
9635.000000;1.415482
9634.000000;1.412982
9633.000000;1.410785
9632.000000;1.409802
9631.000000;1.410224
9630.000000;1.410941
9629.000000;1.410726
9628.000000;1.409784
9627.000000;1.409310
9626.000000;1.409635
9625.000000;1.409719
9624.000000;1.408563
9623.000000;1.406303
9622.000000;1.403710
9621.000000;1.401478
9620.000000;1.400316
9619.000000;1.400772
9618.000000;1.402326
9617.000000;1.403316
9616.000000;1.402610
9615.000000;1.400986
9614.000000;1.400103
9613.000000;1.400436
9612.000000;1.400983
9611.000000;1.400823
9610.000000;1.400140
9609.000000;1.399582
9608.000000;1.399279
9607.000000;1.398881
9606.000000;1.398157
9605.000000;1.397151
9604.000000;1.395958
9603.000000;1.394608
9602.000000;1.393180
9601.000000;1.391929
9600.000000;1.391232
9599.000000;1.391239
9598.000000;1.391569
9597.000000;1.391583
9596.000000;1.391065
9595.000000;1.390420
9594.000000;1.390062
9593.000000;1.389911
9592.000000;1.389693
9591.000000;1.389375
9590.000000;1.388951
9589.000000;1.388180
9588.000000;1.387045
9587.000000;1.386187
9586.000000;1.386187
9585.000000;1.386510
9584.000000;1.385857
9583.000000;1.383761
9582.000000;1.381257
9581.000000;1.379623
9580.000000;1.378858
9579.000000;1.377845
9578.000000;1.375887
9577.000000;1.373672
9576.000000;1.372641
9575.000000;1.373509
9574.000000;1.375423
9573.000000;1.376607
9572.000000;1.375947
9571.000000;1.373872
9570.000000;1.371630
9569.000000;1.370067
9568.000000;1.369383
9567.000000;1.369674
9566.000000;1.371000
9565.000000;1.372787
9564.000000;1.373767
9563.000000;1.372972
9562.000000;1.370677
9561.000000;1.368152
9560.000000;1.366560
9559.000000;1.366216
9558.000000;1.366632
9557.000000;1.366976
9556.000000;1.366608
9555.000000;1.365496
9554.000000;1.364178
9553.000000;1.363341
9552.000000;1.363351
9551.000000;1.363910
9550.000000;1.363975
9549.000000;1.362354
9548.000000;1.358942
9547.000000;1.355288
9546.000000;1.353425
9545.000000;1.354073
9544.000000;1.356288
9543.000000;1.358694
9542.000000;1.360505
9541.000000;1.361175
9540.000000;1.359925
9539.000000;1.356531
9538.000000;1.352288
9537.000000;1.349339
9536.000000;1.348917
9535.000000;1.350513
9534.000000;1.352561
9533.000000;1.353734
9532.000000;1.353684
9531.000000;1.352904
9530.000000;1.352008
9529.000000;1.351059
9528.000000;1.349583
9527.000000;1.347288
9526.000000;1.344669
9525.000000;1.342714
9524.000000;1.342097
9523.000000;1.342814
9522.000000;1.344333
9521.000000;1.345723
9520.000000;1.345881
9519.000000;1.344285
9518.000000;1.341638
9517.000000;1.339401
9516.000000;1.338559
9515.000000;1.339021
9514.000000;1.340185
9513.000000;1.341686
9512.000000;1.343387
9511.000000;1.344995
9510.000000;1.346095
9509.000000;1.346413
9508.000000;1.345742
9507.000000;1.343798
9506.000000;1.340605
9505.000000;1.336996
9504.000000;1.334270
9503.000000;1.333143
9502.000000;1.333200
9501.000000;1.333438
9500.000000;1.333222
9499.000000;1.332611
9498.000000;1.331919
9497.000000;1.331155
9496.000000;1.330030
9495.000000;1.328526
9494.000000;1.327246
9493.000000;1.326933
9492.000000;1.327560
9491.000000;1.328188
9490.000000;1.327899
9489.000000;1.326690
9488.000000;1.325185
9487.000000;1.323761
9486.000000;1.322380
9485.000000;1.321142
9484.000000;1.320383
9483.000000;1.320124
9482.000000;1.319953
9481.000000;1.319686
9480.000000;1.319726
9479.000000;1.320391
9478.000000;1.321231
9477.000000;1.321422
9476.000000;1.320676
9475.000000;1.319425
9474.000000;1.318252
9473.000000;1.317460
9472.000000;1.317041
9471.000000;1.316705
9470.000000;1.316044
9469.000000;1.314952
9468.000000;1.313816
9467.000000;1.313057
9466.000000;1.312671
9465.000000;1.312470
9464.000000;1.312501
9463.000000;1.312747
9462.000000;1.312633
9461.000000;1.311489
9460.000000;1.309562
9459.000000;1.307959
9458.000000;1.307419
9457.000000;1.307665
9456.000000;1.308085
9455.000000;1.308467
9454.000000;1.308721
9453.000000;1.308416
9452.000000;1.307173
9451.000000;1.305317
9450.000000;1.303678
9449.000000;1.302771
9448.000000;1.302487
9447.000000;1.302431
9446.000000;1.302242
9445.000000;1.301719
9444.000000;1.301012
9443.000000;1.300620
9442.000000;1.300873
9441.000000;1.301413
