Criado como novo conjunto de dados;"1909daniel.spp","-4213240.7 Secs"
cm-1;Abs
10000.000000;1.143273
9999.000000;1.142216
9998.000000;1.140863
9997.000000;1.138953
9996.000000;1.136783
9995.000000;1.135359
9994.000000;1.135461
9993.000000;1.136631
9992.000000;1.137624
9991.000000;1.137634
9990.000000;1.136823
9989.000000;1.135721
9988.000000;1.134631
9987.000000;1.133599
9986.000000;1.132575
9985.000000;1.131498
9984.000000;1.130400
9983.000000;1.129436
9982.000000;1.128713
9981.000000;1.128155
9980.000000;1.127645
9979.000000;1.127108
9978.000000;1.126374
9977.000000;1.125200
9976.000000;1.123611
9975.000000;1.122032
9974.000000;1.120887
9973.000000;1.120211
9972.000000;1.119796
9971.000000;1.119475
9970.000000;1.119165
9969.000000;1.118857
9968.000000;1.118692
9967.000000;1.118779
9966.000000;1.118864
9965.000000;1.118494
9964.000000;1.117594
9963.000000;1.116488
9962.000000;1.115288
9961.000000;1.113790
9960.000000;1.112157
9959.000000;1.111037
9958.000000;1.110650
9957.000000;1.110297
9956.000000;1.109308
9955.000000;1.108040
9954.000000;1.107391
9953.000000;1.107637
9952.000000;1.108255
9951.000000;1.108568
9950.000000;1.108117
9949.000000;1.106693
9948.000000;1.104554
9947.000000;1.102458
9946.000000;1.101020
9945.000000;1.100193
9944.000000;1.099640
9943.000000;1.099301
9942.000000;1.099158
9941.000000;1.098756
9940.000000;1.097607
9939.000000;1.095965
9938.000000;1.094692
9937.000000;1.094364
9936.000000;1.094834
9935.000000;1.095536
9934.000000;1.095841
9933.000000;1.095283
9932.000000;1.093907
9931.000000;1.092381
9930.000000;1.091428
9929.000000;1.091124
9928.000000;1.090884
9927.000000;1.090081
9926.000000;1.088496
9925.000000;1.086371
9924.000000;1.084332
9923.000000;1.083084
9922.000000;1.082848
9921.000000;1.083170
9920.000000;1.083452
9919.000000;1.083458
9918.000000;1.083189
9917.000000;1.082598
9916.000000;1.081738
9915.000000;1.080890
9914.000000;1.080199
9913.000000;1.079420
9912.000000;1.078353
9911.000000;1.077252
9910.000000;1.076498
9909.000000;1.076115
9908.000000;1.075879
9907.000000;1.075582
9906.000000;1.074947
9905.000000;1.073667
9904.000000;1.071890
9903.000000;1.070315
9902.000000;1.069410
9901.000000;1.068875
9900.000000;1.068219
9899.000000;1.067487
9898.000000;1.067023
9897.000000;1.066895
9896.000000;1.067020
9895.000000;1.067442
9894.000000;1.067927
9893.000000;1.067690
9892.000000;1.066234
9891.000000;1.064196
9890.000000;1.062669
9889.000000;1.061901
9888.000000;1.061273
9887.000000;1.060390
9886.000000;1.059477
9885.000000;1.058792
9884.000000;1.058314
9883.000000;1.058017
9882.000000;1.057847
9881.000000;1.057412
9880.000000;1.056255
9879.000000;1.054552
9878.000000;1.053085
9877.000000;1.052427
9876.000000;1.052527
9875.000000;1.053013
9874.000000;1.053437
9873.000000;1.053241
9872.000000;1.052043
9871.000000;1.050112
9870.000000;1.048237
9869.000000;1.046991
9868.000000;1.046327
9867.000000;1.045840
9866.000000;1.045150
9865.000000;1.044136
9864.000000;1.043100
9863.000000;1.042579
9862.000000;1.042699
9861.000000;1.042866
9860.000000;1.042442
9859.000000;1.041565
9858.000000;1.040829
9857.000000;1.040334
9856.000000;1.039562
9855.000000;1.038174
9854.000000;1.036441
9853.000000;1.034893
9852.000000;1.033959
9851.000000;1.033924
9850.000000;1.034691
9849.000000;1.035539
9848.000000;1.035563
9847.000000;1.034522
9846.000000;1.032961
9845.000000;1.031503
9844.000000;1.030380
9843.000000;1.029589
9842.000000;1.029039
9841.000000;1.028481
9840.000000;1.027707
9839.000000;1.026914
9838.000000;1.026521
9837.000000;1.026557
9836.000000;1.026565
9835.000000;1.026141
9834.000000;1.025226
9833.000000;1.023853
9832.000000;1.022054
9831.000000;1.020164
9830.000000;1.018806
9829.000000;1.018325
9828.000000;1.018446
9827.000000;1.018598
9826.000000;1.018376
9825.000000;1.017657
9824.000000;1.016579
9823.000000;1.015539
9822.000000;1.014939
9821.000000;1.014736
9820.000000;1.014448
9819.000000;1.013696
9818.000000;1.012579
9817.000000;1.011392
9816.000000;1.010217
9815.000000;1.008982
9814.000000;1.007818
9813.000000;1.007086
9812.000000;1.007001
9811.000000;1.007270
9810.000000;1.007212
9809.000000;1.006320
9808.000000;1.004743
9807.000000;1.003111
9806.000000;1.001862
9805.000000;1.000892
9804.000000;0.999917
9803.000000;0.998971
9802.000000;0.998376
9801.000000;0.998352
9800.000000;0.998821
9799.000000;0.999472
9798.000000;0.999829
9797.000000;0.999414
9796.000000;0.998099
9795.000000;0.996283
9794.000000;0.994568
9793.000000;0.993317
9792.000000;0.992591
9791.000000;0.992309
9790.000000;0.992250
9789.000000;0.992031
9788.000000;0.991351
9787.000000;0.990269
9786.000000;0.989091
9785.000000;0.988050
9784.000000;0.987245
9783.000000;0.986728
9782.000000;0.986460
9781.000000;0.986272
9780.000000;0.986021
9779.000000;0.985716
9778.000000;0.985335
9777.000000;0.984691
