Criado como novo conjunto de dados;"e2410_daniel_v2.spp","84426.5 Secs"
cm-1;Abs
10000.000000;1.168362
9999.000000;1.168452
9998.000000;1.167915
9997.000000;1.166777
9996.000000;1.165429
9995.000000;1.163998
9994.000000;1.162442
9993.000000;1.160836
9992.000000;1.159656
9991.000000;1.159312
9990.000000;1.159705
9989.000000;1.160325
9988.000000;1.160769
9987.000000;1.160956
9986.000000;1.160875
9985.000000;1.160401
9984.000000;1.159500
9983.000000;1.158470
9982.000000;1.157741
9981.000000;1.157399
9980.000000;1.157123
9979.000000;1.156726
9978.000000;1.156545
9977.000000;1.156997
9976.000000;1.157784
9975.000000;1.157927
9974.000000;1.156771
9973.000000;1.154705
9972.000000;1.152694
9971.000000;1.151362
9970.000000;1.150728
9969.000000;1.150561
9968.000000;1.150591
9967.000000;1.150496
9966.000000;1.150070
9965.000000;1.149461
9964.000000;1.149008
9963.000000;1.148767
9962.000000;1.148387
9961.000000;1.147506
9960.000000;1.146145
9959.000000;1.144703
9958.000000;1.143676
9957.000000;1.143316
9956.000000;1.143437
9955.000000;1.143566
9954.000000;1.143342
9953.000000;1.142720
9952.000000;1.141798
9951.000000;1.140709
9950.000000;1.139774
9949.000000;1.139402
9948.000000;1.139559
9947.000000;1.139579
9946.000000;1.138888
9945.000000;1.137762
9944.000000;1.136975
9943.000000;1.136801
9942.000000;1.136808
9941.000000;1.136604
9940.000000;1.136296
9939.000000;1.136130
9938.000000;1.136067
9937.000000;1.135910
9936.000000;1.135594
9935.000000;1.135159
9934.000000;1.134604
9933.000000;1.133853
9932.000000;1.132754
9931.000000;1.131185
9930.000000;1.129342
9929.000000;1.127884
9928.000000;1.127474
9927.000000;1.128067
9926.000000;1.128814
9925.000000;1.128801
9924.000000;1.127839
9923.000000;1.126562
9922.000000;1.125873
9921.000000;1.126184
9920.000000;1.127027
9919.000000;1.127440
9918.000000;1.126918
9917.000000;1.125860
9916.000000;1.124894
9915.000000;1.124035
9914.000000;1.122921
9913.000000;1.121652
9912.000000;1.120810
9911.000000;1.120577
9910.000000;1.120362
9909.000000;1.119539
9908.000000;1.118236
9907.000000;1.117160
9906.000000;1.116865
9905.000000;1.117354
9904.000000;1.118163
9903.000000;1.118693
9902.000000;1.118620
9901.000000;1.118096
9900.000000;1.117468
9899.000000;1.116843
9898.000000;1.116066
9897.000000;1.115045
9896.000000;1.113861
9895.000000;1.112581
9894.000000;1.111265
9893.000000;1.110088
9892.000000;1.109213
9891.000000;1.108601
9890.000000;1.108241
9889.000000;1.108397
9888.000000;1.109175
9887.000000;1.109939
9886.000000;1.109751
9885.000000;1.108544
9884.000000;1.107331
9883.000000;1.107016
9882.000000;1.107428
9881.000000;1.107746
9880.000000;1.107425
9879.000000;1.106417
9878.000000;1.104926
9877.000000;1.103408
9876.000000;1.102497
9875.000000;1.102425
9874.000000;1.102663
9873.000000;1.102462
9872.000000;1.101681
9871.000000;1.100774
9870.000000;1.100144
9869.000000;1.099878
9868.000000;1.099975
9867.000000;1.100364
9866.000000;1.100685
9865.000000;1.100434
9864.000000;1.099483
9863.000000;1.098215
9862.000000;1.097086
9861.000000;1.096251
9860.000000;1.095624
9859.000000;1.095061
9858.000000;1.094365
9857.000000;1.093360
9856.000000;1.092175
9855.000000;1.091353
9854.000000;1.091401
9853.000000;1.092163
9852.000000;1.092806
9851.000000;1.092560
9850.000000;1.091455
9849.000000;1.090180
9848.000000;1.089252
9847.000000;1.088534
9846.000000;1.087625
9845.000000;1.086514
9844.000000;1.085610
9843.000000;1.085200
9842.000000;1.085142
9841.000000;1.085139
9840.000000;1.085104
9839.000000;1.085102
9838.000000;1.085070
9837.000000;1.084743
9836.000000;1.083930
9835.000000;1.082814
9834.000000;1.081876
9833.000000;1.081464
9832.000000;1.081439
9831.000000;1.081334
9830.000000;1.080881
9829.000000;1.080218
9828.000000;1.079560
9827.000000;1.078908
9826.000000;1.078227
9825.000000;1.077673
9824.000000;1.077371
9823.000000;1.077106
9822.000000;1.076538
9821.000000;1.075655
9820.000000;1.074724
9819.000000;1.073842
9818.000000;1.072894
9817.000000;1.071967
9816.000000;1.071401
9815.000000;1.071304
9814.000000;1.071289
9813.000000;1.070924
9812.000000;1.070289
9811.000000;1.069875
9810.000000;1.069979
9809.000000;1.070325
9808.000000;1.070290
9807.000000;1.069506
9806.000000;1.068253
9805.000000;1.067219
9804.000000;1.066818
9803.000000;1.066821
9802.000000;1.066734
9801.000000;1.066383
9800.000000;1.065943
9799.000000;1.065551
9798.000000;1.065188
9797.000000;1.064863
9796.000000;1.064589
9795.000000;1.064195
9794.000000;1.063452
9793.000000;1.062427
9792.000000;1.061411
9791.000000;1.060503
9790.000000;1.059566
9789.000000;1.058624
9788.000000;1.057967
9787.000000;1.057724
9786.000000;1.057645
9785.000000;1.057467
9784.000000;1.057201
9783.000000;1.056893
9782.000000;1.056394
9781.000000;1.055637
9780.000000;1.054915
9779.000000;1.054609
9778.000000;1.054718
9777.000000;1.054884
9776.000000;1.054798
9775.000000;1.054431
9774.000000;1.053902
9773.000000;1.053262
9772.000000;1.052430
9771.000000;1.051312
9770.000000;1.050040
9769.000000;1.049068
9768.000000;1.048807
9767.000000;1.049129
9766.000000;1.049424
9765.000000;1.049259
9764.000000;1.048769
9763.000000;1.048286
9762.000000;1.047814
9761.000000;1.047102
9760.000000;1.046080
9759.000000;1.044974
9758.000000;1.044048
9757.000000;1.043383
9756.000000;1.042885
9755.000000;1.042367
9754.000000;1.041686
9753.000000;1.040916
9752.000000;1.040330
9751.000000;1.040120
9750.000000;1.040194
9749.000000;1.040326
9748.000000;1.040366
9747.000000;1.040227
9746.000000;1.039817
9745.000000;1.039137
9744.000000;1.038354
9743.000000;1.037603
9742.000000;1.036829
9741.000000;1.035995
9740.000000;1.035331
9739.000000;1.035126
9738.000000;1.035278
9737.000000;1.035299
9736.000000;1.034844
9735.000000;1.034077
9734.000000;1.033395
9733.000000;1.032913
9732.000000;1.032380
9731.000000;1.031565
9730.000000;1.030590
9729.000000;1.029836
9728.000000;1.029544
9727.000000;1.029573
9726.000000;1.029540
9725.000000;1.029187
9724.000000;1.028617
9723.000000;1.028152
9722.000000;1.027978
9721.000000;1.027932
9720.000000;1.027666
9719.000000;1.027027
9718.000000;1.026208
9717.000000;1.025463
9716.000000;1.024777
9715.000000;1.023948
9714.000000;1.022992
9713.000000;1.022232
9712.000000;1.021843
9711.000000;1.021518
9710.000000;1.020805
9709.000000;1.019710
9708.000000;1.018742
9707.000000;1.018328
9706.000000;1.018393
9705.000000;1.018542
9704.000000;1.018482
9703.000000;1.018203
9702.000000;1.017859
9701.000000;1.017589
9700.000000;1.017376
9699.000000;1.017052
9698.000000;1.016486
9697.000000;1.015765
9696.000000;1.015100
9695.000000;1.014573
9694.000000;1.014106
9693.000000;1.013669
9692.000000;1.013320
9691.000000;1.012992
9690.000000;1.012440
9689.000000;1.011559
9688.000000;1.010613
9687.000000;1.009982
9686.000000;1.009765
9685.000000;1.009768
9684.000000;1.009797
9683.000000;1.009744
9682.000000;1.009454
9681.000000;1.008747
9680.000000;1.007698
9679.000000;1.006704
9678.000000;1.006107
9677.000000;1.005794
9676.000000;1.005330
9675.000000;1.004501
9674.000000;1.003592
9673.000000;1.003080
9672.000000;1.003147
9671.000000;1.003558
9670.000000;1.003879
9669.000000;1.003733
9668.000000;1.002949
9667.000000;1.001667
9666.000000;1.000308
9665.000000;0.999269
9664.000000;0.998606
9663.000000;0.998119
9662.000000;0.997731
9661.000000;0.997614
9660.000000;0.997869
9659.000000;0.998229
9658.000000;0.998239
9657.000000;0.997675
9656.000000;0.996707
9655.000000;0.995686
9654.000000;0.994841
9653.000000;0.994149
