Criado como novo conjunto de dados;"e2410_daniel_v2.spp","60485.1 Secs"
cm-1;Abs
10000.000000;1.164393
9999.000000;1.164471
9998.000000;1.164557
9997.000000;1.164628
9996.000000;1.164725
9995.000000;1.164771
9994.000000;1.164963
9993.000000;1.165570
9992.000000;1.165947
9991.000000;1.165665
9990.000000;1.164776
9989.000000;1.163700
9988.000000;1.162672
9987.000000;1.161772
9986.000000;1.161220
9985.000000;1.161235
9984.000000;1.161561
9983.000000;1.161550
9982.000000;1.160859
9981.000000;1.159836
9980.000000;1.159052
9979.000000;1.158681
9978.000000;1.158449
9977.000000;1.158025
9976.000000;1.157330
9975.000000;1.156515
9974.000000;1.155776
9973.000000;1.155182
9972.000000;1.154673
9971.000000;1.154161
9970.000000;1.153601
9969.000000;1.152976
9968.000000;1.152326
9967.000000;1.151798
9966.000000;1.151533
9965.000000;1.151418
9964.000000;1.151117
9963.000000;1.150471
9962.000000;1.149723
9961.000000;1.149230
9960.000000;1.149016
9959.000000;1.148797
9958.000000;1.148377
9957.000000;1.147834
9956.000000;1.147280
9955.000000;1.146672
9954.000000;1.145968
9953.000000;1.145338
9952.000000;1.145010
9951.000000;1.144903
9950.000000;1.144584
9949.000000;1.143752
9948.000000;1.142684
9947.000000;1.141963
9946.000000;1.141746
9945.000000;1.141551
9944.000000;1.140890
9943.000000;1.139875
9942.000000;1.138974
9941.000000;1.138373
9940.000000;1.137920
9939.000000;1.137521
9938.000000;1.137224
9937.000000;1.136949
9936.000000;1.136524
9935.000000;1.136001
9934.000000;1.135605
9933.000000;1.135345
9932.000000;1.134983
9931.000000;1.134438
9930.000000;1.133898
9929.000000;1.133468
9928.000000;1.133033
9927.000000;1.132524
9926.000000;1.132016
9925.000000;1.131492
9924.000000;1.130849
9923.000000;1.130217
9922.000000;1.129906
9921.000000;1.129914
9920.000000;1.129845
9919.000000;1.129416
9918.000000;1.128715
9917.000000;1.127870
9916.000000;1.126888
9915.000000;1.125927
9914.000000;1.125276
9913.000000;1.124840
9912.000000;1.124117
9911.000000;1.122982
