Criado como novo conjunto de dados;"e2410_daniel_v2.spp","52025.0 Secs"
cm-1;Abs
10000.000000;1.053106
9999.000000;1.052807
9998.000000;1.052509
9997.000000;1.052211
9996.000000;1.051914
9995.000000;1.051615
9994.000000;1.051320
9993.000000;1.051018
9992.000000;1.050730
9991.000000;1.050418
9990.000000;1.050157
9989.000000;1.049633
9988.000000;1.048554
9987.000000;1.047318
9986.000000;1.046496
9985.000000;1.046231
9984.000000;1.046093
9983.000000;1.045647
9982.000000;1.044804
9981.000000;1.043726
9980.000000;1.042675
9979.000000;1.041936
9978.000000;1.041602
9977.000000;1.041395
9976.000000;1.040923
9975.000000;1.040135
9974.000000;1.039317
9973.000000;1.038669
9972.000000;1.038143
9971.000000;1.037700
9970.000000;1.037484
9969.000000;1.037625
9968.000000;1.038008
9967.000000;1.038254
9966.000000;1.037902
9965.000000;1.036734
9964.000000;1.035087
9963.000000;1.033773
9962.000000;1.033408
9961.000000;1.033803
9960.000000;1.034157
9959.000000;1.033845
9958.000000;1.032920
9957.000000;1.031853
9956.000000;1.031003
9955.000000;1.030401
9954.000000;1.029866
9953.000000;1.029252
9952.000000;1.028587
9951.000000;1.028049
9950.000000;1.027784
9949.000000;1.027752
9948.000000;1.027760
9947.000000;1.027611
9946.000000;1.027224
9945.000000;1.026641
9944.000000;1.025923
9943.000000;1.025026
9942.000000;1.023901
9941.000000;1.022773
9940.000000;1.022155
9939.000000;1.022305
9938.000000;1.022769
9937.000000;1.022783
9936.000000;1.022161
9935.000000;1.021445
9934.000000;1.021089
9933.000000;1.020843
9932.000000;1.020146
9931.000000;1.018881
9930.000000;1.017517
9929.000000;1.016634
9928.000000;1.016447
9927.000000;1.016665
9926.000000;1.016738
9925.000000;1.016375
9924.000000;1.015862
9923.000000;1.015688
9922.000000;1.015873
9921.000000;1.015934
9920.000000;1.015510
9919.000000;1.014671
9918.000000;1.013574
9917.000000;1.012258
9916.000000;1.010948
9915.000000;1.010104
9914.000000;1.009877
9913.000000;1.009814
9912.000000;1.009419
9911.000000;1.008741
9910.000000;1.008141
9909.000000;1.007720
9908.000000;1.007316
9907.000000;1.006848
9906.000000;1.006340
9905.000000;1.005759
9904.000000;1.005114
9903.000000;1.004551
9902.000000;1.004107
9901.000000;1.003550
9900.000000;1.002739
9899.000000;1.001940
9898.000000;1.001481
9897.000000;1.001240
9896.000000;1.000814
9895.000000;1.000097
9894.000000;0.999358
9893.000000;0.998823
9892.000000;0.998477
9891.000000;0.998267
9890.000000;0.998227
9889.000000;0.998344
9888.000000;0.998468
9887.000000;0.998374
9886.000000;0.997855
9885.000000;0.996864
9884.000000;0.995693
9883.000000;0.994851
9882.000000;0.994588
9881.000000;0.994614
9880.000000;0.994446
9879.000000;0.993893
9878.000000;0.993044
9877.000000;0.992004
9876.000000;0.990876
9875.000000;0.989899
9874.000000;0.989301
9873.000000;0.989060
9872.000000;0.988964
9871.000000;0.988852
9870.000000;0.988631
9869.000000;0.988203
9868.000000;0.987623
9867.000000;0.987183
9866.000000;0.987114
9865.000000;0.987238
9864.000000;0.987175
9863.000000;0.986827
9862.000000;0.986437
9861.000000;0.986142
9860.000000;0.985712
9859.000000;0.984825
9858.000000;0.983479
9857.000000;0.982044
9856.000000;0.980953
9855.000000;0.980337
9854.000000;0.979950
9853.000000;0.979467
9852.000000;0.978839
9851.000000;0.978273
9850.000000;0.977905
9849.000000;0.977654
9848.000000;0.977411
9847.000000;0.977184
9846.000000;0.976967
9845.000000;0.976660
9844.000000;0.976205
9843.000000;0.975682
9842.000000;0.975207
9841.000000;0.974846
9840.000000;0.974614
9839.000000;0.974352
9838.000000;0.973629
9837.000000;0.972125
9836.000000;0.970214
9835.000000;0.968835
9834.000000;0.968557
9833.000000;0.969046
9832.000000;0.969574
9831.000000;0.969796
9830.000000;0.969790
9829.000000;0.969618
9828.000000;0.969219
9827.000000;0.968591
9826.000000;0.967793
9825.000000;0.966858
9824.000000;0.965922
9823.000000;0.965294
9822.000000;0.965128
9821.000000;0.965123
9820.000000;0.964804
9819.000000;0.964040
9818.000000;0.963089
9817.000000;0.962219
9816.000000;0.961516
9815.000000;0.961006
9814.000000;0.960744
9813.000000;0.960742
9812.000000;0.960922
9811.000000;0.961100
9810.000000;0.961004
9809.000000;0.960444
9808.000000;0.959546
9807.000000;0.958671
9806.000000;0.958016
9805.000000;0.957450
9804.000000;0.956798
9803.000000;0.956145
9802.000000;0.955707
9801.000000;0.955564
9800.000000;0.955605
9799.000000;0.955586
9798.000000;0.955193
9797.000000;0.954285
9796.000000;0.953178
9795.000000;0.952433
9794.000000;0.952226
9793.000000;0.952197
9792.000000;0.952027
9791.000000;0.951823
9790.000000;0.951718
9789.000000;0.951459
9788.000000;0.950753
9787.000000;0.949751
9786.000000;0.948820
9785.000000;0.948016
9784.000000;0.947160
9783.000000;0.946298
9782.000000;0.945676
9781.000000;0.945323
9780.000000;0.944997
9779.000000;0.944558
9778.000000;0.944135
9777.000000;0.943893
9776.000000;0.943834
9775.000000;0.943810
9774.000000;0.943578
9773.000000;0.942937
9772.000000;0.941984
9771.000000;0.941137
9770.000000;0.940693
9769.000000;0.940467
9768.000000;0.940077
9767.000000;0.939457
9766.000000;0.938825
9765.000000;0.938227
9764.000000;0.937467
9763.000000;0.936482
9762.000000;0.935528
9761.000000;0.934904
9760.000000;0.934678
9759.000000;0.934725
9758.000000;0.934873
9757.000000;0.934980
9756.000000;0.934975
9755.000000;0.934860
9754.000000;0.934626
9753.000000;0.934242
9752.000000;0.933796
9751.000000;0.933520
9750.000000;0.933515
9749.000000;0.933518
9748.000000;0.933129
9747.000000;0.932249
9746.000000;0.931165
9745.000000;0.930251
9744.000000;0.929673
9743.000000;0.929339
9742.000000;0.929004
9741.000000;0.928500
9740.000000;0.927941
9739.000000;0.927621
9738.000000;0.927603
9737.000000;0.927497
9736.000000;0.926838
9735.000000;0.925622
9734.000000;0.924364
9733.000000;0.923611
9732.000000;0.923515
9731.000000;0.923778
9730.000000;0.923915
9729.000000;0.923604
9728.000000;0.922890
9727.000000;0.922047
9726.000000;0.921258
9725.000000;0.920529
9724.000000;0.919872
9723.000000;0.919387
9722.000000;0.919094
9721.000000;0.918846
9720.000000;0.918516
9719.000000;0.918117
9718.000000;0.917645
9717.000000;0.916994
9716.000000;0.916174
9715.000000;0.915457
9714.000000;0.915123
9713.000000;0.915150
9712.000000;0.915240
9711.000000;0.915093
9710.000000;0.914562
9709.000000;0.913705
9708.000000;0.912776
9707.000000;0.912045
9706.000000;0.911527
9705.000000;0.911027
9704.000000;0.910494
9703.000000;0.910144
9702.000000;0.910083
9701.000000;0.910037
9700.000000;0.909632
9699.000000;0.908822
9698.000000;0.907857
9697.000000;0.906974
9696.000000;0.906295
9695.000000;0.905880
9694.000000;0.905665
9693.000000;0.905425
9692.000000;0.904985
9691.000000;0.904429
9690.000000;0.903994
9689.000000;0.903814
9688.000000;0.903849
9687.000000;0.903967
9686.000000;0.903983
9685.000000;0.903767
9684.000000;0.903389
9683.000000;0.903055
9682.000000;0.902805
9681.000000;0.902428
9680.000000;0.901759
9679.000000;0.900888
9678.000000;0.899997
9677.000000;0.899166
9676.000000;0.898463
9675.000000;0.898012
9674.000000;0.897789
9673.000000;0.897527
9672.000000;0.897002
9671.000000;0.896305
9670.000000;0.895705
9669.000000;0.895331
9668.000000;0.895110
9667.000000;0.894897
9666.000000;0.894569
9665.000000;0.894096
9664.000000;0.893574
9663.000000;0.893057
9662.000000;0.892386
9661.000000;0.891428
9660.000000;0.890499
9659.000000;0.890173
9658.000000;0.890535
9657.000000;0.890939
9656.000000;0.890733
9655.000000;0.889932
9654.000000;0.888968
9653.000000;0.888098
9652.000000;0.887387
9651.000000;0.886980
9650.000000;0.886972
9649.000000;0.887178
9648.000000;0.887349
9647.000000;0.887475
9646.000000;0.887556
9645.000000;0.887277
9644.000000;0.886329
9643.000000;0.884994
9642.000000;0.883960
9641.000000;0.883553
9640.000000;0.883452
9639.000000;0.883203
9638.000000;0.882695
9637.000000;0.882060
9636.000000;0.881395
9635.000000;0.880743
9634.000000;0.880174
9633.000000;0.879745
9632.000000;0.879419
9631.000000;0.879099
9630.000000;0.878714
9629.000000;0.878265
9628.000000;0.877820
9627.000000;0.877415
9626.000000;0.876968
9625.000000;0.876400
9624.000000;0.875843
9623.000000;0.875557
9622.000000;0.875530
9621.000000;0.875353
9620.000000;0.874670
9619.000000;0.873625
9618.000000;0.872700
9617.000000;0.872197
9616.000000;0.872028
9615.000000;0.871904
9614.000000;0.871595
9613.000000;0.871070
9612.000000;0.870526
9611.000000;0.870199
9610.000000;0.870061
9609.000000;0.869811
9608.000000;0.869234
9607.000000;0.868435
9606.000000;0.867648
9605.000000;0.866992
9604.000000;0.866562
9603.000000;0.866481
9602.000000;0.866664
9601.000000;0.866714
9600.000000;0.866309
