Criado como novo conjunto de dados;"e2410_daniel_v2.spp","72005.6 Secs"
cm-1;Abs
10000.000000;1.391341
9999.000000;1.391796
9998.000000;1.392267
9997.000000;1.392712
9996.000000;1.393205
9995.000000;1.393601
9994.000000;1.394281
9993.000000;1.395832
9992.000000;1.397183
9991.000000;1.397520
9990.000000;1.396760
9989.000000;1.395752
9988.000000;1.395155
9987.000000;1.394805
9986.000000;1.394167
9985.000000;1.393156
9984.000000;1.392130
9983.000000;1.391355
9982.000000;1.390885
9981.000000;1.390799
9980.000000;1.391124
9979.000000;1.391526
9978.000000;1.391468
9977.000000;1.390729
9976.000000;1.389509
9975.000000;1.388038
9974.000000;1.386428
9973.000000;1.384977
9972.000000;1.384243
9971.000000;1.384530
9970.000000;1.385494
9969.000000;1.386428
9968.000000;1.386845
9967.000000;1.386692
9966.000000;1.386205
9965.000000;1.385682
9964.000000;1.385233
9963.000000;1.384679
9962.000000;1.383830
9961.000000;1.382869
9960.000000;1.382225
9959.000000;1.381976
9958.000000;1.381609
9957.000000;1.380557
9956.000000;1.378879
9955.000000;1.377253
9954.000000;1.376351
9953.000000;1.376330
9952.000000;1.376808
9951.000000;1.377221
9950.000000;1.377239
9949.000000;1.376913
9948.000000;1.376481
9947.000000;1.376076
9946.000000;1.375734
9945.000000;1.375567
9944.000000;1.375591
9943.000000;1.375382
9942.000000;1.374364
9941.000000;1.372642
9940.000000;1.371173
9939.000000;1.370735
9938.000000;1.370954
9937.000000;1.370731
9936.000000;1.369560
9935.000000;1.368034
9934.000000;1.367014
9933.000000;1.366670
9932.000000;1.366474
9931.000000;1.365833
9930.000000;1.364566
9929.000000;1.362940
9928.000000;1.361496
9927.000000;1.360788
9926.000000;1.361098
9925.000000;1.362254
9924.000000;1.363689
9923.000000;1.364696
9922.000000;1.364768
9921.000000;1.363895
9920.000000;1.362568
9919.000000;1.361358
9918.000000;1.360456
9917.000000;1.359706
9916.000000;1.359057
9915.000000;1.358730
9914.000000;1.358821
9913.000000;1.358974
9912.000000;1.358650
9911.000000;1.357688
9910.000000;1.356445
9909.000000;1.355426
9908.000000;1.354814
9907.000000;1.354317
9906.000000;1.353428
9905.000000;1.351982
9904.000000;1.350549
9903.000000;1.350073
9902.000000;1.350875
9901.000000;1.352109
9900.000000;1.352462
9899.000000;1.351436
9898.000000;1.349718
9897.000000;1.348346
9896.000000;1.347807
9895.000000;1.347945
9894.000000;1.348353
9893.000000;1.348624
9892.000000;1.348450
9891.000000;1.347788
9890.000000;1.346924
9889.000000;1.346252
9888.000000;1.345950
9887.000000;1.345883
9886.000000;1.345700
9885.000000;1.345061
9884.000000;1.343915
9883.000000;1.342651
9882.000000;1.341814
9881.000000;1.341555
9880.000000;1.341483
9879.000000;1.341143
9878.000000;1.340511
9877.000000;1.339916
9876.000000;1.339601
9875.000000;1.339497
9874.000000;1.339356
9873.000000;1.338970
9872.000000;1.338322
9871.000000;1.337592
9870.000000;1.336935
9869.000000;1.336291
9868.000000;1.335583
9867.000000;1.335064
9866.000000;1.335110
9865.000000;1.335538
9864.000000;1.335481
9863.000000;1.334249
9862.000000;1.332120
9861.000000;1.330022
9860.000000;1.328639
9859.000000;1.328042
9858.000000;1.327922
9857.000000;1.327857
9856.000000;1.327513
9855.000000;1.326977
9854.000000;1.326741
9853.000000;1.327017
9852.000000;1.327286
9851.000000;1.326923
9850.000000;1.326043
9849.000000;1.325218
9848.000000;1.324581
9847.000000;1.323847
9846.000000;1.323133
9845.000000;1.322992
9844.000000;1.323504
9843.000000;1.324002
9842.000000;1.323957
9841.000000;1.323550
9840.000000;1.323059
9839.000000;1.322278
9838.000000;1.321016
9837.000000;1.319681
9836.000000;1.318830
9835.000000;1.318464
9834.000000;1.318210
9833.000000;1.317877
9832.000000;1.317403
9831.000000;1.316546
9830.000000;1.315208
9829.000000;1.313888
9828.000000;1.313265
9827.000000;1.313360
9826.000000;1.313619
9825.000000;1.313790
9824.000000;1.314176
9823.000000;1.314897
9822.000000;1.315432
9821.000000;1.315214
9820.000000;1.314389
9819.000000;1.313631
9818.000000;1.313356
9817.000000;1.313360
9816.000000;1.313171
9815.000000;1.312497
9814.000000;1.311296
9813.000000;1.309653
9812.000000;1.307784
9811.000000;1.306111
9810.000000;1.305109
9809.000000;1.304923
9808.000000;1.305196
9807.000000;1.305412
9806.000000;1.305353
9805.000000;1.305099
9804.000000;1.304678
9803.000000;1.304068
9802.000000;1.303547
9801.000000;1.303627
9800.000000;1.304393
9799.000000;1.305181
9798.000000;1.305188
9797.000000;1.304266
9796.000000;1.302882
9795.000000;1.301488
9794.000000;1.300239
9793.000000;1.299208
9792.000000;1.298504
9791.000000;1.298141
9790.000000;1.297978
9789.000000;1.297854
9788.000000;1.297643
9787.000000;1.297227
9786.000000;1.296564
9785.000000;1.295826
9784.000000;1.295299
9783.000000;1.295101
9782.000000;1.295064
9781.000000;1.294897
9780.000000;1.294405
9779.000000;1.293617
9778.000000;1.292776
9777.000000;1.292144
9776.000000;1.291709
9775.000000;1.291122
9774.000000;1.290009
9773.000000;1.288306
9772.000000;1.286329
9771.000000;1.284664
9770.000000;1.283947
9769.000000;1.284467
9768.000000;1.285796
9767.000000;1.286976
9766.000000;1.287323
9765.000000;1.286946
9764.000000;1.286382
9763.000000;1.285936
9762.000000;1.285552
9761.000000;1.285082
9760.000000;1.284413
9759.000000;1.283439
9758.000000;1.282196
9757.000000;1.280967
9756.000000;1.280059
9755.000000;1.279478
9754.000000;1.279022
9753.000000;1.278592
9752.000000;1.278211
9751.000000;1.277877
9750.000000;1.277615
9749.000000;1.277537
9748.000000;1.277608
9747.000000;1.277518
9746.000000;1.277066
9745.000000;1.276532
9744.000000;1.276285
9743.000000;1.276125
9742.000000;1.275428
9741.000000;1.274011
9740.000000;1.272452
9739.000000;1.271469
9738.000000;1.271320
9737.000000;1.271868
9736.000000;1.272821
9735.000000;1.273684
9734.000000;1.273844
9733.000000;1.273093
9732.000000;1.271947
9731.000000;1.271165
9730.000000;1.270974
9729.000000;1.270962
9728.000000;1.270700
9727.000000;1.270257
9726.000000;1.270037
9725.000000;1.270230
9724.000000;1.270568
9723.000000;1.270639
9722.000000;1.270288
9721.000000;1.269600
9720.000000;1.268575
9719.000000;1.267083
9718.000000;1.265246
9717.000000;1.263571
9716.000000;1.262517
9715.000000;1.262076
9714.000000;1.261956
9713.000000;1.261974
9712.000000;1.262001
9711.000000;1.261720
9710.000000;1.260862
9709.000000;1.259671
9708.000000;1.258770
9707.000000;1.258464
9706.000000;1.258467
9705.000000;1.258357
9704.000000;1.258015
9703.000000;1.257581
9702.000000;1.257256
9701.000000;1.257231
9700.000000;1.257517
9699.000000;1.257735
9698.000000;1.257373
9697.000000;1.256433
9696.000000;1.255534
9695.000000;1.255190
9694.000000;1.255223
9693.000000;1.255088
9692.000000;1.254516
9691.000000;1.253592
9690.000000;1.252419
9689.000000;1.251060
9688.000000;1.249723
9687.000000;1.248724
9686.000000;1.248242
9685.000000;1.248291
9684.000000;1.248819
9683.000000;1.249610
9682.000000;1.250136
9681.000000;1.249853
9680.000000;1.248754
9679.000000;1.247440
9678.000000;1.246550
9677.000000;1.246216
9676.000000;1.246076
9675.000000;1.245695
9674.000000;1.244946
9673.000000;1.244084
9672.000000;1.243522
9671.000000;1.243475
9670.000000;1.243768
9669.000000;1.243995
9668.000000;1.243883
9667.000000;1.243446
9666.000000;1.242815
9665.000000;1.242028
9664.000000;1.241052
9663.000000;1.239979
9662.000000;1.239070
9661.000000;1.238547
9660.000000;1.238333
9659.000000;1.238072
9658.000000;1.237509
9657.000000;1.236832
9656.000000;1.236489
9655.000000;1.236608
9654.000000;1.236759
9653.000000;1.236460
9652.000000;1.235820
9651.000000;1.235458
9650.000000;1.235770
9649.000000;1.236453
9648.000000;1.236785
9647.000000;1.236243
9646.000000;1.234807
9645.000000;1.232860
9644.000000;1.230980
9643.000000;1.229725
9642.000000;1.229384
9641.000000;1.229829
9640.000000;1.230643
9639.000000;1.231401
9638.000000;1.231832
9637.000000;1.231806
9636.000000;1.231294
9635.000000;1.230374
9634.000000;1.229209
9633.000000;1.227981
9632.000000;1.226876
9631.000000;1.226069
9630.000000;1.225587
9629.000000;1.225192
9628.000000;1.224554
9627.000000;1.223601
9626.000000;1.222647
9625.000000;1.222072
9624.000000;1.221954
9623.000000;1.222000
9622.000000;1.221798
9621.000000;1.221104
9620.000000;1.220017
9619.000000;1.218949
9618.000000;1.218339
9617.000000;1.218303
9616.000000;1.218564
9615.000000;1.218743
9614.000000;1.218622
9613.000000;1.218132
9612.000000;1.217280
9611.000000;1.216223
9610.000000;1.215239
9609.000000;1.214496
9608.000000;1.213931
9607.000000;1.213501
9606.000000;1.213365
9605.000000;1.213632
9604.000000;1.214052
9603.000000;1.214225
9602.000000;1.214028
9601.000000;1.213606
9600.000000;1.213042
9599.000000;1.212344
9598.000000;1.211678
9597.000000;1.211232
9596.000000;1.210860
9595.000000;1.210270
9594.000000;1.209608
9593.000000;1.209417
9592.000000;1.209859
9591.000000;1.210406
9590.000000;1.210527
9589.000000;1.210311
9588.000000;1.210060
9587.000000;1.209649
9586.000000;1.208786
9585.000000;1.207687
9584.000000;1.206904
9583.000000;1.206503
9582.000000;1.205897
9581.000000;1.204604
9580.000000;1.202848
9579.000000;1.201303
9578.000000;1.200525
9577.000000;1.200653
9576.000000;1.201333
9575.000000;1.201813
9574.000000;1.201478
9573.000000;1.200506
9572.000000;1.199762
9571.000000;1.199812
9570.000000;1.200240
9569.000000;1.200148
9568.000000;1.199201
9567.000000;1.197914
9566.000000;1.196986
9565.000000;1.196636
9564.000000;1.196598
9563.000000;1.196499
9562.000000;1.196124
9561.000000;1.195458
9560.000000;1.194650
9559.000000;1.193902
9558.000000;1.193337
9557.000000;1.192982
9556.000000;1.192843
9555.000000;1.192871
9554.000000;1.192810
9553.000000;1.192256
9552.000000;1.191101
9551.000000;1.189853
9550.000000;1.189269
9549.000000;1.189569
9548.000000;1.190188
9547.000000;1.190442
9546.000000;1.190295
9545.000000;1.190239
9544.000000;1.190515
9543.000000;1.190762
9542.000000;1.190506
9541.000000;1.189735
9540.000000;1.188857
9539.000000;1.188213
9538.000000;1.187804
9537.000000;1.187441
9536.000000;1.187014
9535.000000;1.186592
9534.000000;1.186307
9533.000000;1.186169
9532.000000;1.185978
9531.000000;1.185462
9530.000000;1.184511
9529.000000;1.183320
9528.000000;1.182323
9527.000000;1.181928
9526.000000;1.182179
9525.000000;1.182618
9524.000000;1.182644
9523.000000;1.182123
9522.000000;1.181490
9521.000000;1.181097
9520.000000;1.180676
9519.000000;1.179768
9518.000000;1.178536
9517.000000;1.177708
9516.000000;1.177705
9515.000000;1.178194
9514.000000;1.178600
9513.000000;1.178653
9512.000000;1.178305
9511.000000;1.177496
9510.000000;1.176372
9509.000000;1.175439
9508.000000;1.175125
9507.000000;1.175268
9506.000000;1.175293
9505.000000;1.174823
9504.000000;1.173926
9503.000000;1.172910
9502.000000;1.172090
9501.000000;1.171656
9500.000000;1.171513
9499.000000;1.171345
9498.000000;1.171048
9497.000000;1.170960
9496.000000;1.171368
9495.000000;1.171911
9494.000000;1.171844
9493.000000;1.170885
9492.000000;1.169487
9491.000000;1.168216
9490.000000;1.167192
9489.000000;1.166248
9488.000000;1.165378
9487.000000;1.164810
9486.000000;1.164736
9485.000000;1.165094
9484.000000;1.165590
9483.000000;1.165881
9482.000000;1.165821
9481.000000;1.165540
9480.000000;1.165248
9479.000000;1.165010
9478.000000;1.164772
9477.000000;1.164519
9476.000000;1.164273
9475.000000;1.163930
9474.000000;1.163285
9473.000000;1.162310
9472.000000;1.161249
9471.000000;1.160382
9470.000000;1.159777
9469.000000;1.159314
9468.000000;1.158888
9467.000000;1.158558
9466.000000;1.158501
9465.000000;1.158735
9464.000000;1.158886
9463.000000;1.158403
9462.000000;1.157170
9461.000000;1.155785
9460.000000;1.154994
9459.000000;1.154936
9458.000000;1.155164
9457.000000;1.155328
9456.000000;1.155500
9455.000000;1.155816
9454.000000;1.156106
9453.000000;1.156085
9452.000000;1.155721
9451.000000;1.155185
9450.000000;1.154547
9449.000000;1.153733
9448.000000;1.152757
9447.000000;1.151811
9446.000000;1.151102
9445.000000;1.150692
9444.000000;1.150516
9443.000000;1.150486
9442.000000;1.150542
9441.000000;1.150626
9440.000000;1.150662
9439.000000;1.150611
9438.000000;1.150517
9437.000000;1.150419
9436.000000;1.150214
9435.000000;1.149721
9434.000000;1.148933
9433.000000;1.148063
9432.000000;1.147296
9431.000000;1.146632
9430.000000;1.146060
9429.000000;1.145701
9428.000000;1.145590
9427.000000;1.145434
9426.000000;1.144886
9425.000000;1.144029
9424.000000;1.143362
9423.000000;1.143328
9422.000000;1.143988
9421.000000;1.145055
9420.000000;1.145990
9419.000000;1.146154
9418.000000;1.145251
9417.000000;1.143726
9416.000000;1.142438
9415.000000;1.141819
9414.000000;1.141550
9413.000000;1.141143
9412.000000;1.140576
9411.000000;1.140172
9410.000000;1.140064
9409.000000;1.140014
9408.000000;1.139720
9407.000000;1.139096
9406.000000;1.138275
9405.000000;1.137474
9404.000000;1.136904
9403.000000;1.136706
9402.000000;1.136926
9401.000000;1.137500
9400.000000;1.138160
9399.000000;1.138344
9398.000000;1.137473
9397.000000;1.135537
9396.000000;1.133353
9395.000000;1.132012
9394.000000;1.131992
9393.000000;1.132848
9392.000000;1.133676
9391.000000;1.133805
9390.000000;1.133101
9389.000000;1.131857
9388.000000;1.130593
9387.000000;1.129874
9386.000000;1.130063
9385.000000;1.131041
9384.000000;1.132157
9383.000000;1.132602
9382.000000;1.131984
9381.000000;1.130597
9380.000000;1.129158
9379.000000;1.128223
9378.000000;1.127805
9377.000000;1.127460
9376.000000;1.126740
9375.000000;1.125679
9374.000000;1.124858
9373.000000;1.124890
9372.000000;1.125775
9371.000000;1.126806
9370.000000;1.127181
9369.000000;1.126718
9368.000000;1.125902
9367.000000;1.125305
9366.000000;1.125047
9365.000000;1.124796
9364.000000;1.124180
9363.000000;1.123210
9362.000000;1.122337
9361.000000;1.122037
9360.000000;1.122273
9359.000000;1.122444
9358.000000;1.122015
9357.000000;1.121160
9356.000000;1.120587
9355.000000;1.120676
9354.000000;1.121005
9353.000000;1.120837
9352.000000;1.120005
9351.000000;1.119107
9350.000000;1.118799
9349.000000;1.119072
9348.000000;1.119355
9347.000000;1.119257
9346.000000;1.118970
9345.000000;1.118839
9344.000000;1.118754
9343.000000;1.118263
9342.000000;1.117248
9341.000000;1.116144
9340.000000;1.115401
9339.000000;1.114988
9338.000000;1.114596
9337.000000;1.114091
9336.000000;1.113530
9335.000000;1.112951
9334.000000;1.112447
9333.000000;1.112308
9332.000000;1.112739
9331.000000;1.113448
9330.000000;1.113820
9329.000000;1.113554
9328.000000;1.112894
9327.000000;1.112205
9326.000000;1.111602
9325.000000;1.111087
9324.000000;1.110791
9323.000000;1.110862
9322.000000;1.111201
9321.000000;1.111473
9320.000000;1.111380
9319.000000;1.110894
9318.000000;1.110286
9317.000000;1.109878
9316.000000;1.109695
9315.000000;1.109407
9314.000000;1.108743
9313.000000;1.107935
9312.000000;1.107538
9311.000000;1.107776
9310.000000;1.108250
9309.000000;1.108358
9308.000000;1.107878
9307.000000;1.107111
9306.000000;1.106559
9305.000000;1.106480
9304.000000;1.106607
9303.000000;1.106308
9302.000000;1.105187
9301.000000;1.103579
9300.000000;1.102259
9299.000000;1.101652
9298.000000;1.101528
9297.000000;1.101474
9296.000000;1.101383
9295.000000;1.101318
9294.000000;1.101200
9293.000000;1.100886
9292.000000;1.100432
9291.000000;1.100029
9290.000000;1.099738
9289.000000;1.099478
9288.000000;1.099201
9287.000000;1.098928
9286.000000;1.098645
9285.000000;1.098343
9284.000000;1.098089
9283.000000;1.097939
9282.000000;1.097802
9281.000000;1.097568
9280.000000;1.097344
9279.000000;1.097354
9278.000000;1.097583
9277.000000;1.097672
9276.000000;1.097277
9275.000000;1.096426
9274.000000;1.095488
9273.000000;1.094863
9272.000000;1.094728
9271.000000;1.095000
9270.000000;1.095420
9269.000000;1.095680
9268.000000;1.095583
9267.000000;1.095155
9266.000000;1.094587
9265.000000;1.094052
9264.000000;1.093593
9263.000000;1.093177
9262.000000;1.092789
9261.000000;1.092396
9260.000000;1.091871
9259.000000;1.091135
9258.000000;1.090401
9257.000000;1.090100
9256.000000;1.090394
9255.000000;1.090869
9254.000000;1.090938
9253.000000;1.090476
9252.000000;1.089811
9251.000000;1.089125
9250.000000;1.088249
9249.000000;1.087163
9248.000000;1.086345
9247.000000;1.086293
9246.000000;1.086851
9245.000000;1.087314
9244.000000;1.087163
9243.000000;1.086500
9242.000000;1.085797
9241.000000;1.085413
9240.000000;1.085361
9239.000000;1.085351
9238.000000;1.085026
9237.000000;1.084300
9236.000000;1.083475
9235.000000;1.082914
9234.000000;1.082634
9233.000000;1.082359
9232.000000;1.081963
9231.000000;1.081660
9230.000000;1.081691
9229.000000;1.081985
9228.000000;1.082264
9227.000000;1.082378
9226.000000;1.082412
9225.000000;1.082482
9224.000000;1.082544
9223.000000;1.082421
9222.000000;1.081968
9221.000000;1.081240
9220.000000;1.080496
9219.000000;1.080044
9218.000000;1.080013
9217.000000;1.080275
9216.000000;1.080575
9215.000000;1.080710
