Criado como novo conjunto de dados;"e2410_daniel_v2.spp","77766.1 Secs"
cm-1;Abs
10000.000000;1.280961
9999.000000;1.281083
9998.000000;1.282052
9997.000000;1.282825
9996.000000;1.282875
9995.000000;1.282352
9994.000000;1.281649
9993.000000;1.281134
9992.000000;1.280999
9991.000000;1.281061
9990.000000;1.280892
9989.000000;1.280321
9988.000000;1.279618
9987.000000;1.279086
9986.000000;1.278780
9985.000000;1.278675
9984.000000;1.278744
9983.000000;1.278857
9982.000000;1.278927
9981.000000;1.279080
9980.000000;1.279311
9979.000000;1.279142
9978.000000;1.278170
9977.000000;1.276811
9976.000000;1.275869
9975.000000;1.275398
9974.000000;1.274676
9973.000000;1.273375
9972.000000;1.272044
9971.000000;1.271279
9970.000000;1.271012
9969.000000;1.270771
9968.000000;1.270122
9967.000000;1.268848
9966.000000;1.267265
9965.000000;1.266252
9964.000000;1.266297
9963.000000;1.266630
9962.000000;1.266072
9961.000000;1.264721
9960.000000;1.263843
9959.000000;1.264033
9958.000000;1.264499
9957.000000;1.264397
9956.000000;1.263857
9955.000000;1.263311
9954.000000;1.262736
9953.000000;1.262088
9952.000000;1.261670
9951.000000;1.261588
9950.000000;1.261442
9949.000000;1.260920
9948.000000;1.260134
9947.000000;1.259166
9946.000000;1.258006
9945.000000;1.257103
9944.000000;1.257080
9943.000000;1.257604
9942.000000;1.257462
9941.000000;1.256155
9940.000000;1.254500
9939.000000;1.253262
9938.000000;1.252170
9937.000000;1.250812
9936.000000;1.249613
9935.000000;1.249158
9934.000000;1.249269
9933.000000;1.249414
9932.000000;1.249435
9931.000000;1.249309
9930.000000;1.248795
9929.000000;1.247942
9928.000000;1.247370
9927.000000;1.247401
9926.000000;1.247446
9925.000000;1.246800
9924.000000;1.245581
9923.000000;1.244379
9922.000000;1.243498
9921.000000;1.243020
9920.000000;1.243059
9919.000000;1.243403
9918.000000;1.243386
9917.000000;1.242730
9916.000000;1.242091
9915.000000;1.242196
9914.000000;1.242826
9913.000000;1.243123
9912.000000;1.242557
9911.000000;1.241200
9910.000000;1.239510
9909.000000;1.238241
9908.000000;1.238051
9907.000000;1.238761
9906.000000;1.239363
9905.000000;1.239112
9904.000000;1.238238
9903.000000;1.237303
9902.000000;1.236473
9901.000000;1.235750
9900.000000;1.235309
9899.000000;1.235142
9898.000000;1.234908
9897.000000;1.234502
9896.000000;1.234236
9895.000000;1.234115
9894.000000;1.233605
9893.000000;1.232533
9892.000000;1.231502
9891.000000;1.230900
9890.000000;1.230242
9889.000000;1.229131
9888.000000;1.228195
9887.000000;1.228219
9886.000000;1.228853
9885.000000;1.228989
9884.000000;1.228134
9883.000000;1.226746
9882.000000;1.225409
9881.000000;1.224309
9880.000000;1.223409
9879.000000;1.222603
9878.000000;1.221754
9877.000000;1.220926
9876.000000;1.220398
9875.000000;1.220214
9874.000000;1.219977
9873.000000;1.219354
