Criado como novo conjunto de dados;"Jao_teste_celulas.spp","4802.8 Secs"
cm-1;Abs
10000.000000;1.048125
9999.000000;1.047688
9998.000000;1.046914
9997.000000;1.045863
9996.000000;1.044916
9995.000000;1.044516
9994.000000;1.044790
9993.000000;1.045219
9992.000000;1.045145
9991.000000;1.044463
9990.000000;1.043667
9989.000000;1.043147
9988.000000;1.042787
9987.000000;1.042338
9986.000000;1.041856
9985.000000;1.041553
9984.000000;1.041414
9983.000000;1.041231
9982.000000;1.040886
9981.000000;1.040385
9980.000000;1.039701
9979.000000;1.038795
9978.000000;1.037748
9977.000000;1.036699
9976.000000;1.035686
9975.000000;1.034704
9974.000000;1.033895
9973.000000;1.033478
9972.000000;1.033487
9971.000000;1.033728
9970.000000;1.034010
9969.000000;1.034249
9968.000000;1.034300
9967.000000;1.033886
9966.000000;1.032876
9965.000000;1.031587
9964.000000;1.030663
9963.000000;1.030583
9962.000000;1.031271
9961.000000;1.032141
9960.000000;1.032524
9959.000000;1.032176
9958.000000;1.031458
9957.000000;1.030958
9956.000000;1.030873
9955.000000;1.030829
9954.000000;1.030337
9953.000000;1.029329
9952.000000;1.028136
9951.000000;1.027035
9950.000000;1.026035
9949.000000;1.025120
9948.000000;1.024465
9947.000000;1.024254
9946.000000;1.024395
9945.000000;1.024578
9944.000000;1.024596
9943.000000;1.024472
9942.000000;1.024295
9941.000000;1.024061
9940.000000;1.023716
9939.000000;1.023262
9938.000000;1.022777
9937.000000;1.022351
9936.000000;1.022034
9935.000000;1.021810
9934.000000;1.021605
9933.000000;1.021353
9932.000000;1.021046
9931.000000;1.020679
9930.000000;1.020179
9929.000000;1.019459
9928.000000;1.018567
9927.000000;1.017720
9926.000000;1.017173
9925.000000;1.017039
9924.000000;1.017173
9923.000000;1.017193
9922.000000;1.016703
9921.000000;1.015664
9920.000000;1.014517
9919.000000;1.013791
9918.000000;1.013571
9917.000000;1.013440
9916.000000;1.012974
9915.000000;1.012182
9914.000000;1.011414
9913.000000;1.010993
9912.000000;1.010979
9911.000000;1.011165
9910.000000;1.011211
9909.000000;1.010910
9908.000000;1.010393
9907.000000;1.009998
9906.000000;1.009855
9905.000000;1.009717
9904.000000;1.009302
9903.000000;1.008661
9902.000000;1.008078
9901.000000;1.007693
9900.000000;1.007404
9899.000000;1.007051
9898.000000;1.006540
9897.000000;1.005846
9896.000000;1.005090
9895.000000;1.004600
9894.000000;1.004689
9893.000000;1.005280
9892.000000;1.005862
9891.000000;1.005886
9890.000000;1.005196
9889.000000;1.004102
9888.000000;1.003099
9887.000000;1.002491
9886.000000;1.002164
9885.000000;1.001709
9884.000000;1.000855
9883.000000;0.999767
9882.000000;0.998824
9881.000000;0.998172
9880.000000;0.997656
9879.000000;0.997185
9878.000000;0.996948
9877.000000;0.997169
9876.000000;0.997768
9875.000000;0.998379
9874.000000;0.998653
9873.000000;0.998464
9872.000000;0.997892
9871.000000;0.997120
9870.000000;0.996317
9869.000000;0.995550
9868.000000;0.994802
9867.000000;0.994066
9866.000000;0.993393
9865.000000;0.992883
9864.000000;0.992650
9863.000000;0.992743
9862.000000;0.992983
9861.000000;0.992929
9860.000000;0.992228
9859.000000;0.991076
9858.000000;0.990158
9857.000000;0.989979
9856.000000;0.990351
9855.000000;0.990650
9854.000000;0.990511
9853.000000;0.990108
9852.000000;0.989780
9851.000000;0.989588
9850.000000;0.989296
9849.000000;0.988697
9848.000000;0.987840
9847.000000;0.986962
9846.000000;0.986253
9845.000000;0.985706
9844.000000;0.985188
9843.000000;0.984627
9842.000000;0.984114
9841.000000;0.983797
9840.000000;0.983707
9839.000000;0.983707
9838.000000;0.983605
9837.000000;0.983289
9836.000000;0.982789
9835.000000;0.982264
9834.000000;0.981883
9833.000000;0.981650
9832.000000;0.981343
