Criado como novo conjunto de dados;"Jao_teste_celulas.spp","9063.7 Secs"
cm-1;Abs
10000.000000;1.348369
9999.000000;1.348022
9998.000000;1.347687
9997.000000;1.347329
9996.000000;1.347013
9995.000000;1.346616
9994.000000;1.346452
9993.000000;1.347004
9992.000000;1.347519
9991.000000;1.347549
9990.000000;1.347000
9989.000000;1.346266
9988.000000;1.345710
9987.000000;1.345370
9986.000000;1.344955
9985.000000;1.344079
9984.000000;1.342529
9983.000000;1.340581
9982.000000;1.339074
9981.000000;1.338807
9980.000000;1.339704
9979.000000;1.340803
9978.000000;1.341281
9977.000000;1.341212
9976.000000;1.341065
9975.000000;1.340833
9974.000000;1.340118
9973.000000;1.338898
9972.000000;1.337658
9971.000000;1.336757
9970.000000;1.336108
9969.000000;1.335580
9968.000000;1.335278
9967.000000;1.335239
9966.000000;1.335234
9965.000000;1.335113
9964.000000;1.335046
9963.000000;1.335124
9962.000000;1.334988
9961.000000;1.334233
9960.000000;1.333031
9959.000000;1.331969
9958.000000;1.331298
9957.000000;1.330713
9956.000000;1.329940
9955.000000;1.329166
9954.000000;1.328675
9953.000000;1.328327
9952.000000;1.327729
9951.000000;1.326847
9950.000000;1.326127
9949.000000;1.325954
9948.000000;1.326177
9947.000000;1.326304
9946.000000;1.326022
9945.000000;1.325425
9944.000000;1.324801
9943.000000;1.324385
9942.000000;1.324306
9941.000000;1.324563
9940.000000;1.324953
9939.000000;1.325100
9938.000000;1.324676
9937.000000;1.323627
9936.000000;1.322175
9935.000000;1.320663
9934.000000;1.319452
9933.000000;1.318835
9932.000000;1.318838
9931.000000;1.319070
9930.000000;1.318956
9929.000000;1.318301
9928.000000;1.317569
9927.000000;1.317385
9926.000000;1.317702
9925.000000;1.317683
9924.000000;1.316619
9923.000000;1.314912
9922.000000;1.313819
9921.000000;1.314166
9920.000000;1.315542
9919.000000;1.316847
9918.000000;1.317398
9917.000000;1.317233
9916.000000;1.316556
9915.000000;1.315410
9914.000000;1.313994
9913.000000;1.312815
9912.000000;1.312173
9911.000000;1.311771
9910.000000;1.311204
9909.000000;1.310649
9908.000000;1.310648
9907.000000;1.311249
9906.000000;1.311831
9905.000000;1.311870
9904.000000;1.311459
9903.000000;1.310855
9902.000000;1.309900
9901.000000;1.308369
9900.000000;1.306638
9899.000000;1.305490
9898.000000;1.305185
9897.000000;1.305165
9896.000000;1.304866
9895.000000;1.304502
9894.000000;1.304683
9893.000000;1.305446
9892.000000;1.306059
9891.000000;1.305807
9890.000000;1.304689
9889.000000;1.303249
9888.000000;1.302024
9887.000000;1.301308
9886.000000;1.301166
9885.000000;1.301345
9884.000000;1.301332
9883.000000;1.300850
9882.000000;1.300270
9881.000000;1.300170
9880.000000;1.300495
9879.000000;1.300535
9878.000000;1.299869
9877.000000;1.298918
9876.000000;1.298267
9875.000000;1.297772
9874.000000;1.296823
9873.000000;1.295356
9872.000000;1.294102
9871.000000;1.293749
9870.000000;1.294193
9869.000000;1.294742
9868.000000;1.294794
9867.000000;1.294229
9866.000000;1.293408
9865.000000;1.292981
9864.000000;1.293419
9863.000000;1.294431
9862.000000;1.294974
9861.000000;1.294208
9860.000000;1.292426
9859.000000;1.290788
9858.000000;1.290128
9857.000000;1.290268
9856.000000;1.290498
9855.000000;1.290449
9854.000000;1.290328
9853.000000;1.290400
9852.000000;1.290474
9851.000000;1.289990
9850.000000;1.288597
9849.000000;1.286581
9848.000000;1.284662
9847.000000;1.283346
9846.000000;1.282599
9845.000000;1.282170
9844.000000;1.282021
9843.000000;1.282219
9842.000000;1.282510
9841.000000;1.282390
9840.000000;1.281741
9839.000000;1.281038
9838.000000;1.280684
9837.000000;1.280411
9836.000000;1.279667
9835.000000;1.278464
9834.000000;1.277455
9833.000000;1.277159
9832.000000;1.277447
9831.000000;1.277878
9830.000000;1.278204
9829.000000;1.278355
9828.000000;1.278186
9827.000000;1.277588
9826.000000;1.276799
9825.000000;1.276327
9824.000000;1.276492
9823.000000;1.277094
9822.000000;1.277493
9821.000000;1.277022
9820.000000;1.275542
9819.000000;1.273720
9818.000000;1.272563
9817.000000;1.272464
9816.000000;1.272793
9815.000000;1.272625
9814.000000;1.271789
9813.000000;1.270894
9812.000000;1.270438
9811.000000;1.270326
9810.000000;1.270278
9809.000000;1.270222
9808.000000;1.270080
9807.000000;1.269555
9806.000000;1.268455
9805.000000;1.267054
9804.000000;1.265828
9803.000000;1.264993
9802.000000;1.264553
9801.000000;1.264605
9800.000000;1.265212
9799.000000;1.266012
9798.000000;1.266312
9797.000000;1.265686
9796.000000;1.264334
9795.000000;1.262825
