Criado como novo conjunto de dados;"Jao_teste_celulas.spp","11224.5 Secs"
cm-1;Abs
10000.000000;1.953289
9999.000000;1.948232
9998.000000;1.943247
9997.000000;1.938298
9996.000000;1.933441
9995.000000;1.928555
9994.000000;1.924044
9993.000000;1.922004
9992.000000;1.923357
9991.000000;1.926474
9990.000000;1.929093
9989.000000;1.929730
9988.000000;1.928191
9987.000000;1.925307
9986.000000;1.922266
9985.000000;1.919954
9984.000000;1.918776
9983.000000;1.918657
9982.000000;1.918996
9981.000000;1.919040
9980.000000;1.918690
9979.000000;1.918682
9978.000000;1.919617
9977.000000;1.921229
9976.000000;1.923061
9975.000000;1.925277
9974.000000;1.927899
9973.000000;1.929557
9972.000000;1.928267
9971.000000;1.923815
9970.000000;1.918276
9969.000000;1.913735
9968.000000;1.910677
9967.000000;1.908921
9966.000000;1.908784
9965.000000;1.910471
9964.000000;1.912984
9963.000000;1.914586
9962.000000;1.914397
9961.000000;1.913192
9960.000000;1.912649
9959.000000;1.913939
9958.000000;1.916680
9957.000000;1.919031
9956.000000;1.919379
9955.000000;1.918199
9954.000000;1.917628
9953.000000;1.918907
9952.000000;1.920900
9951.000000;1.921471
9950.000000;1.919716
9949.000000;1.916339
9948.000000;1.912336
9947.000000;1.908322
9946.000000;1.905138
9945.000000;1.904010
9944.000000;1.905524
9943.000000;1.908821
9942.000000;1.911927
9941.000000;1.912761
9940.000000;1.910419
9939.000000;1.906080
9938.000000;1.902396
9937.000000;1.901426
9936.000000;1.902812
9935.000000;1.904092
9934.000000;1.903303
9933.000000;1.901206
9932.000000;1.900446
9931.000000;1.902567
9930.000000;1.906149
9929.000000;1.908020
9928.000000;1.906545
9927.000000;1.903514
9926.000000;1.902312
9925.000000;1.904287
9924.000000;1.907108
9923.000000;1.906722
9922.000000;1.901071
9921.000000;1.892018
9920.000000;1.883925
9919.000000;1.880665
9918.000000;1.883253
9917.000000;1.889126
9916.000000;1.893830
9915.000000;1.894604
9914.000000;1.892588
9913.000000;1.891094
9912.000000;1.892089
9911.000000;1.894816
9910.000000;1.897278
9909.000000;1.898327
9908.000000;1.898394
9907.000000;1.898700
9906.000000;1.899940
9905.000000;1.901440
9904.000000;1.901478
9903.000000;1.898947
9902.000000;1.894778
9901.000000;1.891067
9900.000000;1.888856
9899.000000;1.887539
9898.000000;1.886534
9897.000000;1.886477
9896.000000;1.887965
9895.000000;1.889965
9894.000000;1.890667
9893.000000;1.889697
9892.000000;1.888345
9891.000000;1.887580
9890.000000;1.887000
9889.000000;1.886166
9888.000000;1.885832
9887.000000;1.886763
9886.000000;1.887992
9885.000000;1.887490
9884.000000;1.884649
9883.000000;1.881098
9882.000000;1.878701
9881.000000;1.877617
9880.000000;1.876806
9879.000000;1.875744
9878.000000;1.874929
9877.000000;1.875006
9876.000000;1.876159
9875.000000;1.878251
9874.000000;1.880776
9873.000000;1.882608
9872.000000;1.882641
9871.000000;1.881091
9870.000000;1.879484
9869.000000;1.878849
9868.000000;1.878456
9867.000000;1.877005
9866.000000;1.874712
9865.000000;1.873249
9864.000000;1.873621
9863.000000;1.874810
