Criado como novo conjunto de dados;"2706_e01_daniel.spp","103867.3 Secs"
cm-1;Abs
10000.000000;0.865528
9999.000000;0.865115
9998.000000;0.864936
9997.000000;0.865089
9996.000000;0.865329
9995.000000;0.865504
9994.000000;0.865768
9993.000000;0.866229
9992.000000;0.866644
9991.000000;0.866740
9990.000000;0.866604
9989.000000;0.866468
9988.000000;0.866287
9987.000000;0.865846
9986.000000;0.865157
9985.000000;0.864459
9984.000000;0.863885
9983.000000;0.863386
9982.000000;0.862954
9981.000000;0.862692
9980.000000;0.862644
9979.000000;0.862743
9978.000000;0.862936
9977.000000;0.863179
9976.000000;0.863352
9975.000000;0.863367
9974.000000;0.863392
9973.000000;0.863755
9972.000000;0.864521
9971.000000;0.865287
9970.000000;0.865489
9969.000000;0.864946
9968.000000;0.864075
9967.000000;0.863568
9966.000000;0.863809
9965.000000;0.864527
9964.000000;0.865020
9963.000000;0.864767
9962.000000;0.863861
9961.000000;0.862828
9960.000000;0.862142
9959.000000;0.861926
9958.000000;0.861999
9957.000000;0.862064
9956.000000;0.861916
9955.000000;0.861618
9954.000000;0.861467
9953.000000;0.861669
9952.000000;0.862053
9951.000000;0.862235
9950.000000;0.862065
9949.000000;0.861772
9948.000000;0.861632
9947.000000;0.861639
9946.000000;0.861564
9945.000000;0.861230
9944.000000;0.860623
9943.000000;0.859882
9942.000000;0.859265
9941.000000;0.859066
9940.000000;0.859382
9939.000000;0.859978
9938.000000;0.860494
9937.000000;0.860821
9936.000000;0.861145
9935.000000;0.861606
9934.000000;0.862037
9933.000000;0.862164
9932.000000;0.861928
9931.000000;0.861491
9930.000000;0.860959
9929.000000;0.860261
9928.000000;0.859337
9927.000000;0.858348
9926.000000;0.857637
9925.000000;0.857509
9924.000000;0.858035
9923.000000;0.858970
9922.000000;0.859842
9921.000000;0.860219
9920.000000;0.860006
9919.000000;0.859471
9918.000000;0.858968
9917.000000;0.858696
9916.000000;0.858676
9915.000000;0.858815
9914.000000;0.858941
9913.000000;0.858913
9912.000000;0.858823
9911.000000;0.858971
9910.000000;0.859501
9909.000000;0.860121
9908.000000;0.860356
9907.000000;0.860074
9906.000000;0.859642
9905.000000;0.859527
9904.000000;0.859804
9903.000000;0.860048
9902.000000;0.859684
9901.000000;0.858526
9900.000000;0.857053
9899.000000;0.856053
9898.000000;0.855900
9897.000000;0.856247
9896.000000;0.856516
9895.000000;0.856549
9894.000000;0.856574
9893.000000;0.856683
9892.000000;0.856707
9891.000000;0.856609
9890.000000;0.856641
9889.000000;0.856939
9888.000000;0.857237
9887.000000;0.857214
9886.000000;0.856945
9885.000000;0.856743
9884.000000;0.856680
9883.000000;0.856548
9882.000000;0.856281
9881.000000;0.856143
9880.000000;0.856408
9879.000000;0.857031
9878.000000;0.857720
9877.000000;0.858227
9876.000000;0.858452
9875.000000;0.858356
9874.000000;0.857921
9873.000000;0.857248
9872.000000;0.856597
9871.000000;0.856228
9870.000000;0.856187
9869.000000;0.856281
9868.000000;0.856318
9867.000000;0.856330
9866.000000;0.856477
9865.000000;0.856752
9864.000000;0.856895
9863.000000;0.856665
9862.000000;0.856157
9861.000000;0.855748
9860.000000;0.855723
9859.000000;0.855974
9858.000000;0.856117
9857.000000;0.855895
9856.000000;0.855446
9855.000000;0.855146
9854.000000;0.855189
9853.000000;0.855373
9852.000000;0.855338
9851.000000;0.854964
9850.000000;0.854487
9849.000000;0.854267
9848.000000;0.854495
9847.000000;0.855072
9846.000000;0.855645
9845.000000;0.855797
9844.000000;0.855365
9843.000000;0.854618
9842.000000;0.854000
9841.000000;0.853679
9840.000000;0.853451
9839.000000;0.853123
9838.000000;0.852833
9837.000000;0.852855
9836.000000;0.853172
9835.000000;0.853429
9834.000000;0.853327
9833.000000;0.852952
9832.000000;0.852670
9831.000000;0.852736
9830.000000;0.853056
9829.000000;0.853306
9828.000000;0.853260
9827.000000;0.852992
9826.000000;0.852743
9825.000000;0.852657
9824.000000;0.852690
9823.000000;0.852768
9822.000000;0.852887
9821.000000;0.853036
9820.000000;0.853083
9819.000000;0.852869
9818.000000;0.852405
9817.000000;0.851903
9816.000000;0.851563
9815.000000;0.851347
9814.000000;0.851002
9813.000000;0.850347
9812.000000;0.849551
9811.000000;0.849085
9810.000000;0.849305
9809.000000;0.850093
9808.000000;0.850946
9807.000000;0.851424
9806.000000;0.851445
9805.000000;0.851183
9804.000000;0.850841
9803.000000;0.850581
9802.000000;0.850508
9801.000000;0.850592
9800.000000;0.850663
9799.000000;0.850607
9798.000000;0.850502
9797.000000;0.850484
9796.000000;0.850520
9795.000000;0.850450
9794.000000;0.850219
9793.000000;0.849979
9792.000000;0.849913
9791.000000;0.850055
9790.000000;0.850292
9789.000000;0.850465
9788.000000;0.850459
9787.000000;0.850255
9786.000000;0.849952
9785.000000;0.849728
9784.000000;0.849735
9783.000000;0.849980
9782.000000;0.850270
9781.000000;0.850272
9780.000000;0.849768
9779.000000;0.848932
9778.000000;0.848299
9777.000000;0.848301
9776.000000;0.848815
9775.000000;0.849259
9774.000000;0.849200
9773.000000;0.848756
9772.000000;0.848350
9771.000000;0.848208
9770.000000;0.848228
9769.000000;0.848251
9768.000000;0.848271
9767.000000;0.848328
9766.000000;0.848364
9765.000000;0.848297
9764.000000;0.848186
9763.000000;0.848192
9762.000000;0.848381
9761.000000;0.848631
9760.000000;0.848753
9759.000000;0.848649
9758.000000;0.848361
9757.000000;0.848001
9756.000000;0.847673
9755.000000;0.847399
9754.000000;0.847111
9753.000000;0.846737
9752.000000;0.846328
9751.000000;0.846045
9750.000000;0.846002
9749.000000;0.846163
9748.000000;0.846406
9747.000000;0.846636
9746.000000;0.846800
9745.000000;0.846856
9744.000000;0.846805
9743.000000;0.846718
9742.000000;0.846656
9741.000000;0.846591
9740.000000;0.846492
9739.000000;0.846451
9738.000000;0.846601
9737.000000;0.846881
9736.000000;0.847027
9735.000000;0.846866
9734.000000;0.846543
9733.000000;0.846364
9732.000000;0.846448
9731.000000;0.846615
9730.000000;0.846635
9729.000000;0.846472
9728.000000;0.846271
9727.000000;0.846151
9726.000000;0.846071
9725.000000;0.845911
9724.000000;0.845599
9723.000000;0.845176
9722.000000;0.844774
9721.000000;0.844587
9720.000000;0.844790
9719.000000;0.845376
9718.000000;0.846075
9717.000000;0.846522
9716.000000;0.846563
9715.000000;0.846329
9714.000000;0.845998
9713.000000;0.845613
9712.000000;0.845184
9711.000000;0.844833
9710.000000;0.844696
9709.000000;0.844766
9708.000000;0.844940
9707.000000;0.845165
9706.000000;0.845372
9705.000000;0.845353
9704.000000;0.844917
9703.000000;0.844186
9702.000000;0.843582
9701.000000;0.843440
9700.000000;0.843724
9699.000000;0.844110
9698.000000;0.844245
9697.000000;0.843964
9696.000000;0.843431
9695.000000;0.843090
9694.000000;0.843300
9693.000000;0.843915
9692.000000;0.844379
9691.000000;0.844293
9690.000000;0.843738
9689.000000;0.843018
9688.000000;0.842319
9687.000000;0.841761
9686.000000;0.841540
9685.000000;0.841734
9684.000000;0.842091
9683.000000;0.842252
9682.000000;0.842164
9681.000000;0.842080
9680.000000;0.842166
9679.000000;0.842315
9678.000000;0.842349
9677.000000;0.842233
9676.000000;0.842053
9675.000000;0.841940
9674.000000;0.842030
9673.000000;0.842356
9672.000000;0.842716
9671.000000;0.842784
9670.000000;0.842427
9669.000000;0.841829
9668.000000;0.841264
9667.000000;0.840853
9666.000000;0.840575
9665.000000;0.840398
9664.000000;0.840332
9663.000000;0.840388
9662.000000;0.840561
9661.000000;0.840796
9660.000000;0.840948
9659.000000;0.840865
9658.000000;0.840578
9657.000000;0.840336
9656.000000;0.840366
9655.000000;0.840651
9654.000000;0.841002
9653.000000;0.841286
9652.000000;0.841497
9651.000000;0.841599
9650.000000;0.841438
9649.000000;0.840880
9648.000000;0.840027
9647.000000;0.839220
9646.000000;0.838784
9645.000000;0.838767
9644.000000;0.838927
9643.000000;0.838972
9642.000000;0.838787
9641.000000;0.838455
9640.000000;0.838170
9639.000000;0.838136
9638.000000;0.838460
9637.000000;0.839029
9636.000000;0.839527
9635.000000;0.839686
9634.000000;0.839522
9633.000000;0.839241
9632.000000;0.838963
9631.000000;0.838667
9630.000000;0.838368
9629.000000;0.838174
9628.000000;0.838113
9627.000000;0.838068
9626.000000;0.837963
9625.000000;0.837886
9624.000000;0.837930
9623.000000;0.838012
9622.000000;0.838006
9621.000000;0.837958
9620.000000;0.838017
9619.000000;0.838198
9618.000000;0.838355
9617.000000;0.838397
9616.000000;0.838372
9615.000000;0.838323
9614.000000;0.838212
9613.000000;0.838043
9612.000000;0.837937
9611.000000;0.837985
9610.000000;0.838091
9609.000000;0.838056
9608.000000;0.837803
9607.000000;0.837452
9606.000000;0.837179
9605.000000;0.837048
9604.000000;0.836990
9603.000000;0.836881
9602.000000;0.836634
9601.000000;0.836260
9600.000000;0.835884
9599.000000;0.835692
9598.000000;0.835818
9597.000000;0.836220
9596.000000;0.836677
9595.000000;0.836943
9594.000000;0.836927
9593.000000;0.836729
9592.000000;0.836506
9591.000000;0.836348
9590.000000;0.836264
9589.000000;0.836209
9588.000000;0.836093
9587.000000;0.835846
9586.000000;0.835558
9585.000000;0.835492
9584.000000;0.835827
9583.000000;0.836385
9582.000000;0.836729
9581.000000;0.836586
9580.000000;0.836106
9579.000000;0.835641
9578.000000;0.835365
9577.000000;0.835196
9576.000000;0.835021
9575.000000;0.834880
9574.000000;0.834894
9573.000000;0.835102
9572.000000;0.835392
9571.000000;0.835603
9570.000000;0.835664
9569.000000;0.835662
9568.000000;0.835752
9567.000000;0.835977
9566.000000;0.836203
9565.000000;0.836230
9564.000000;0.835961
9563.000000;0.835442
9562.000000;0.834813
9561.000000;0.834280
9560.000000;0.834056
9559.000000;0.834210
9558.000000;0.834541
9557.000000;0.834711
9556.000000;0.834569
9555.000000;0.834275
9554.000000;0.834076
9553.000000;0.834024
9552.000000;0.833978
9551.000000;0.833844
9550.000000;0.833710
9549.000000;0.833746
9548.000000;0.834025
9547.000000;0.834453
9546.000000;0.834823
9545.000000;0.834932
9544.000000;0.834697
9543.000000;0.834222
9542.000000;0.833698
9541.000000;0.833237
9540.000000;0.832794
9539.000000;0.832285
9538.000000;0.831747
9537.000000;0.831330
9536.000000;0.831136
9535.000000;0.831126
9534.000000;0.831194
9533.000000;0.831271
9532.000000;0.831321
9531.000000;0.831299
9530.000000;0.831197
9529.000000;0.831103
9528.000000;0.831146
9527.000000;0.831362
9526.000000;0.831657
9525.000000;0.831903
9524.000000;0.832000
9523.000000;0.831900
9522.000000;0.831667
9521.000000;0.831517
9520.000000;0.831621
9519.000000;0.831833
9518.000000;0.831765
9517.000000;0.831278
9516.000000;0.830755
9515.000000;0.830700
9514.000000;0.831105
9513.000000;0.831427
9512.000000;0.831214
9511.000000;0.830590
9510.000000;0.830076
9509.000000;0.830077
9508.000000;0.830615
9507.000000;0.831398
9506.000000;0.832018
9505.000000;0.832172
9504.000000;0.831812
9503.000000;0.831119
9502.000000;0.830332
9501.000000;0.829634
9500.000000;0.829194
9499.000000;0.829138
9498.000000;0.829396
9497.000000;0.829665
9496.000000;0.829653
9495.000000;0.829354
9494.000000;0.829024
9493.000000;0.828923
9492.000000;0.829124
9491.000000;0.829523
9490.000000;0.829926
9489.000000;0.830176
9488.000000;0.830237
9487.000000;0.830154
9486.000000;0.829927
9485.000000;0.829525
9484.000000;0.829017
9483.000000;0.828581
9482.000000;0.828286
9481.000000;0.828007
9480.000000;0.827659
9479.000000;0.827424
9478.000000;0.827555
9477.000000;0.828041
9476.000000;0.828595
9475.000000;0.828955
9474.000000;0.829036
9473.000000;0.828838
9472.000000;0.828408
9471.000000;0.827906
9470.000000;0.827566
9469.000000;0.827517
9468.000000;0.827730
9467.000000;0.828134
9466.000000;0.828643
9465.000000;0.829056
9464.000000;0.829131
9463.000000;0.828793
9462.000000;0.828181
9461.000000;0.827453
9460.000000;0.826705
9459.000000;0.826106
9458.000000;0.825913
9457.000000;0.826218
9456.000000;0.826803
9455.000000;0.827359
9454.000000;0.827758
9453.000000;0.827999
9452.000000;0.828026
9451.000000;0.827754
9450.000000;0.827231
9449.000000;0.826634
9448.000000;0.826129
9447.000000;0.825841
9446.000000;0.825862
9445.000000;0.826154
9444.000000;0.826481
9443.000000;0.826591
9442.000000;0.826473
9441.000000;0.826316
9440.000000;0.826227
9439.000000;0.826135
9438.000000;0.825992
9437.000000;0.825909
9436.000000;0.825980
9435.000000;0.826093
9434.000000;0.826035
9433.000000;0.825781
9432.000000;0.825546
9431.000000;0.825528
9430.000000;0.825668
9429.000000;0.825719
9428.000000;0.825545
9427.000000;0.825299
9426.000000;0.825258
9425.000000;0.825494
9424.000000;0.825742
9423.000000;0.825649
9422.000000;0.825149
9421.000000;0.824578
9420.000000;0.824387
9419.000000;0.824716
9418.000000;0.825258
9417.000000;0.825567
9416.000000;0.825511
9415.000000;0.825370
9414.000000;0.825446
9413.000000;0.825673
9412.000000;0.825720
9411.000000;0.825453
9410.000000;0.825103
9409.000000;0.824913
9408.000000;0.824803
9407.000000;0.824541
9406.000000;0.824113
9405.000000;0.823739
9404.000000;0.823543
9403.000000;0.823417
9402.000000;0.823237
9401.000000;0.823054
9400.000000;0.822971
9399.000000;0.822952
9398.000000;0.822873
9397.000000;0.822715
9396.000000;0.822565
9395.000000;0.822454
9394.000000;0.822309
9393.000000;0.822109
9392.000000;0.822003
9391.000000;0.822182
9390.000000;0.822638
9389.000000;0.823099
9388.000000;0.823249
9387.000000;0.823003
9386.000000;0.822564
9385.000000;0.822229
9384.000000;0.822162
9383.000000;0.822312
9382.000000;0.822497
9381.000000;0.822547
9380.000000;0.822397
9379.000000;0.822092
9378.000000;0.821726
9377.000000;0.821377
9376.000000;0.821089
9375.000000;0.820898
9374.000000;0.820853
9373.000000;0.821001
9372.000000;0.821305
9371.000000;0.821593
9370.000000;0.821654
9369.000000;0.821450
9368.000000;0.821225
9367.000000;0.821276
9366.000000;0.821599
9365.000000;0.821848
9364.000000;0.821731
9363.000000;0.821357
9362.000000;0.821079
9361.000000;0.821056
9360.000000;0.821122
9359.000000;0.821063
9358.000000;0.820858
9357.000000;0.820629
9356.000000;0.820492
9355.000000;0.820495
9354.000000;0.820599
9353.000000;0.820662
9352.000000;0.820575
9351.000000;0.820426
9350.000000;0.820416
9349.000000;0.820564
9348.000000;0.820632
9347.000000;0.820458
9346.000000;0.820192
9345.000000;0.820075
9344.000000;0.820099
9343.000000;0.820058
9342.000000;0.819861
9341.000000;0.819649
9340.000000;0.819614
9339.000000;0.819823
9338.000000;0.820164
9337.000000;0.820361
9336.000000;0.820114
9335.000000;0.819391
9334.000000;0.818552
9333.000000;0.818062
9332.000000;0.818066
9331.000000;0.818350
9330.000000;0.818640
9329.000000;0.818782
9328.000000;0.818690
9327.000000;0.818356
9326.000000;0.817959
9325.000000;0.817792
9324.000000;0.817981
9323.000000;0.818377
9322.000000;0.818774
9321.000000;0.819092
9320.000000;0.819294
9319.000000;0.819297
9318.000000;0.819093
9317.000000;0.818852
9316.000000;0.818774
9315.000000;0.818873
9314.000000;0.818998
9313.000000;0.818997
9312.000000;0.818816
9311.000000;0.818515
9310.000000;0.818271
9309.000000;0.818285
9308.000000;0.818579
9307.000000;0.818899
9306.000000;0.818900
9305.000000;0.818452
9304.000000;0.817720
9303.000000;0.817019
9302.000000;0.816629
9301.000000;0.816671
9300.000000;0.817022
9299.000000;0.817364
9298.000000;0.817415
9297.000000;0.817157
9296.000000;0.816803
9295.000000;0.816575
9294.000000;0.816557
9293.000000;0.816712
9292.000000;0.816944
9291.000000;0.817127
9290.000000;0.817156
9289.000000;0.817037
9288.000000;0.816898
9287.000000;0.816879
9286.000000;0.817003
9285.000000;0.817134
9284.000000;0.817060
9283.000000;0.816665
9282.000000;0.816053
9281.000000;0.815508
9280.000000;0.815293
9279.000000;0.815461
9278.000000;0.815839
9277.000000;0.816151
9276.000000;0.816182
9275.000000;0.815880
9274.000000;0.815384
9273.000000;0.814932
9272.000000;0.814702
9271.000000;0.814722
9270.000000;0.814912
9269.000000;0.815154
9268.000000;0.815326
9267.000000;0.815329
9266.000000;0.815134
9265.000000;0.814785
9264.000000;0.814348
9263.000000;0.813907
9262.000000;0.813612
9261.000000;0.813645
9260.000000;0.814050
9259.000000;0.814656
9258.000000;0.815213
9257.000000;0.815580
9256.000000;0.815718
9255.000000;0.815589
9254.000000;0.815196
9253.000000;0.814701
9252.000000;0.814341
9251.000000;0.814199
9250.000000;0.814128
9249.000000;0.813937
9248.000000;0.813594
9247.000000;0.813209
9246.000000;0.812910
9245.000000;0.812780
9244.000000;0.812855
9243.000000;0.813102
9242.000000;0.813406
9241.000000;0.813650
9240.000000;0.813812
9239.000000;0.813927
9238.000000;0.813971
9237.000000;0.813828
9236.000000;0.813436
9235.000000;0.812926
9234.000000;0.812566
9233.000000;0.812509
9232.000000;0.812631
9231.000000;0.812683
9230.000000;0.812575
9229.000000;0.812440
9228.000000;0.812401
9227.000000;0.812387
9226.000000;0.812260
9225.000000;0.812057
9224.000000;0.811974
9223.000000;0.812100
9222.000000;0.812283
9221.000000;0.812304
9220.000000;0.812113
9219.000000;0.811838
9218.000000;0.811609
9217.000000;0.811447
9216.000000;0.811344
9215.000000;0.811352
9214.000000;0.811554
9213.000000;0.811914
9212.000000;0.812210
9211.000000;0.812178
9210.000000;0.811740
9209.000000;0.811071
9208.000000;0.810421
9207.000000;0.809941
9206.000000;0.809710
9205.000000;0.809825
9204.000000;0.810300
9203.000000;0.810898
9202.000000;0.811247
9201.000000;0.811195
9200.000000;0.810959
9199.000000;0.810855
9198.000000;0.810952
9197.000000;0.811076
9196.000000;0.811060
9195.000000;0.810894
9194.000000;0.810671
9193.000000;0.810496
9192.000000;0.810449
9191.000000;0.810549
9190.000000;0.810734
9189.000000;0.810915
9188.000000;0.811040
9187.000000;0.811066
9186.000000;0.810924
9185.000000;0.810596
9184.000000;0.810194
9183.000000;0.809880
9182.000000;0.809707
9181.000000;0.809629
9180.000000;0.809658
9179.000000;0.809868
9178.000000;0.810220
9177.000000;0.810512
9176.000000;0.810578
9175.000000;0.810457
9174.000000;0.810272
9173.000000;0.810023
9172.000000;0.809605
9171.000000;0.809016
9170.000000;0.808437
9169.000000;0.808100
9168.000000;0.808132
9167.000000;0.808477
9166.000000;0.808894
9165.000000;0.809078
9164.000000;0.808898
9163.000000;0.808535
9162.000000;0.808288
9161.000000;0.808261
9160.000000;0.808303
9159.000000;0.808256
9158.000000;0.808132
9157.000000;0.808025
9156.000000;0.807979
9155.000000;0.808009
9154.000000;0.808134
9153.000000;0.808292
9152.000000;0.808304
9151.000000;0.808058
9150.000000;0.807675
9149.000000;0.807395
9148.000000;0.807322
9147.000000;0.807393
9146.000000;0.807563
9145.000000;0.807861
9144.000000;0.808244
9143.000000;0.808520
9142.000000;0.808505
9141.000000;0.808169
9140.000000;0.807595
9139.000000;0.806880
9138.000000;0.806158
9137.000000;0.805664
9136.000000;0.805613
9135.000000;0.805991
9134.000000;0.806512
9133.000000;0.806829
9132.000000;0.806793
9131.000000;0.806523
9130.000000;0.806245
9129.000000;0.806097
9128.000000;0.806075
9127.000000;0.806141
9126.000000;0.806310
9125.000000;0.806579
9124.000000;0.806825
9123.000000;0.806865
9122.000000;0.806653
9121.000000;0.806341
9120.000000;0.806112
9119.000000;0.805994
9118.000000;0.805887
9117.000000;0.805724
9116.000000;0.805555
9115.000000;0.805493
9114.000000;0.805619
9113.000000;0.805920
