Criado como novo conjunto de dados;"2706_e01_daniel.spp","81906.5 Secs"
cm-1;Abs
10000.000000;0.810913
9999.000000;0.810909
9998.000000;0.810905
9997.000000;0.810901
9996.000000;0.810898
9995.000000;0.810894
9994.000000;0.810890
9993.000000;0.810887
9992.000000;0.810882
9991.000000;0.810880
9990.000000;0.810876
9989.000000;0.810839
9988.000000;0.810567
9987.000000;0.810133
9986.000000;0.809941
9985.000000;0.810027
9984.000000;0.809912
9983.000000;0.809197
9982.000000;0.808170
9981.000000;0.807524
9980.000000;0.807630
9979.000000;0.808276
9978.000000;0.809022
9977.000000;0.809602
9976.000000;0.809967
9975.000000;0.810137
9974.000000;0.810130
9973.000000;0.810006
9972.000000;0.809906
9971.000000;0.809976
9970.000000;0.810242
9969.000000;0.810558
9968.000000;0.810705
9967.000000;0.810499
9966.000000;0.809804
9965.000000;0.808560
9964.000000;0.806918
9963.000000;0.805280
9962.000000;0.804099
9961.000000;0.803657
9960.000000;0.804054
9959.000000;0.805208
9958.000000;0.806691
9957.000000;0.807746
9956.000000;0.807791
9955.000000;0.806943
9954.000000;0.805833
9953.000000;0.804989
9952.000000;0.804606
9951.000000;0.804732
9950.000000;0.805249
9949.000000;0.805671
9948.000000;0.805433
9947.000000;0.804589
9946.000000;0.803925
9945.000000;0.804161
9944.000000;0.805235
9943.000000;0.806462
9942.000000;0.807154
9941.000000;0.806997
9940.000000;0.806132
9939.000000;0.805152
9938.000000;0.804805
9937.000000;0.805376
9936.000000;0.806359
9935.000000;0.806919
9934.000000;0.806651
9933.000000;0.805813
9932.000000;0.804959
9931.000000;0.804484
9930.000000;0.804446
9929.000000;0.804615
9928.000000;0.804694
9927.000000;0.804569
9926.000000;0.804341
9925.000000;0.804135
9924.000000;0.803940
9923.000000;0.803679
9922.000000;0.803330
9921.000000;0.802937
9920.000000;0.802570
9919.000000;0.802299
9918.000000;0.802093
9917.000000;0.801764
9916.000000;0.801169
9915.000000;0.800493
9914.000000;0.800198
9913.000000;0.800597
9912.000000;0.801584
9911.000000;0.802765
