Criado como novo conjunto de dados;"2706_e01_daniel.spp","71645.8 Secs"
cm-1;Abs
10000.000000;0.815140
9999.000000;0.815090
9998.000000;0.815120
9997.000000;0.814797
9996.000000;0.814167
9995.000000;0.813731
9994.000000;0.813809
9993.000000;0.814333
9992.000000;0.814906
9991.000000;0.815116
9990.000000;0.814707
9989.000000;0.813710
9988.000000;0.812473
9987.000000;0.811585
9986.000000;0.811568
9985.000000;0.812462
9984.000000;0.813714
9983.000000;0.814636
9982.000000;0.815009
9981.000000;0.815145
9980.000000;0.815351
9979.000000;0.815558
9978.000000;0.815524
9977.000000;0.815179
9976.000000;0.814602
9975.000000;0.813810
9974.000000;0.812796
9973.000000;0.811702
9972.000000;0.810772
9971.000000;0.810172
9970.000000;0.809970
9969.000000;0.810243
9968.000000;0.810986
9967.000000;0.811932
9966.000000;0.812663
9965.000000;0.812967
9964.000000;0.812991
9963.000000;0.812992
9962.000000;0.813029
9961.000000;0.812937
9960.000000;0.812541
9959.000000;0.811873
9958.000000;0.811206
9957.000000;0.810847
9956.000000;0.810860
9955.000000;0.811005
9954.000000;0.811026
9953.000000;0.810932
9952.000000;0.810957
9951.000000;0.811291
9950.000000;0.811897
9949.000000;0.812540
9948.000000;0.812883
9947.000000;0.812661
9946.000000;0.811899
9945.000000;0.810960
9944.000000;0.810268
9943.000000;0.809981
9942.000000;0.809951
9941.000000;0.809910
9940.000000;0.809638
9939.000000;0.809075
9938.000000;0.808423
9937.000000;0.808070
9936.000000;0.808222
9935.000000;0.808641
9934.000000;0.808860
9933.000000;0.808639
9932.000000;0.808105
9931.000000;0.807517
9930.000000;0.807062
9929.000000;0.806835
9928.000000;0.806828
9927.000000;0.806915
9926.000000;0.806990
9925.000000;0.807114
9924.000000;0.807353
9923.000000;0.807522
9922.000000;0.807328
9921.000000;0.806825
9920.000000;0.806509
9919.000000;0.806791
9918.000000;0.807492
9917.000000;0.807971
9916.000000;0.807739
9915.000000;0.806901
9914.000000;0.806038
9913.000000;0.805713
9912.000000;0.806017
9911.000000;0.806531
9910.000000;0.806752
9909.000000;0.806560
9908.000000;0.806258
9907.000000;0.806213
9906.000000;0.806543
9905.000000;0.807072
9904.000000;0.807455
9903.000000;0.807361
9902.000000;0.806720
9901.000000;0.805831
9900.000000;0.805108
9899.000000;0.804701
9898.000000;0.804440
9897.000000;0.804125
9896.000000;0.803737
9895.000000;0.803373
9894.000000;0.803123
9893.000000;0.803058
9892.000000;0.803178
9891.000000;0.803305
9890.000000;0.803211
9889.000000;0.802912
9888.000000;0.802704
9887.000000;0.802821
9886.000000;0.803171
9885.000000;0.803488
9884.000000;0.803610
9883.000000;0.803559
9882.000000;0.803468
9881.000000;0.803515
9880.000000;0.803799
9879.000000;0.804161
9878.000000;0.804254
9877.000000;0.803909
9876.000000;0.803340
9875.000000;0.802849
9874.000000;0.802456
9873.000000;0.801997
9872.000000;0.801490
9871.000000;0.801157
9870.000000;0.801089
9869.000000;0.801106
9868.000000;0.801028
9867.000000;0.800908
9866.000000;0.800897
9865.000000;0.801026
9864.000000;0.801219
9863.000000;0.801429
9862.000000;0.801633
9861.000000;0.801754
9860.000000;0.801720
9859.000000;0.801564
9858.000000;0.801349
9857.000000;0.801027
9856.000000;0.800513
9855.000000;0.799938
9854.000000;0.799645
9853.000000;0.799815
9852.000000;0.800189
9851.000000;0.800295
9850.000000;0.799943
9849.000000;0.799372
9848.000000;0.798913
9847.000000;0.798686
9846.000000;0.798680
9845.000000;0.798968
9844.000000;0.799638
9843.000000;0.800515
9842.000000;0.801124
9841.000000;0.801027
9840.000000;0.800212
9839.000000;0.799084
9838.000000;0.798125
9837.000000;0.797580
9836.000000;0.797448
9835.000000;0.797639
9834.000000;0.798040
9833.000000;0.798426
9832.000000;0.798486
9831.000000;0.798075
9830.000000;0.797404
9829.000000;0.796871
9828.000000;0.796673
9827.000000;0.796679
9826.000000;0.796703
9825.000000;0.796767
9824.000000;0.796998
9823.000000;0.797345
9822.000000;0.797503
9821.000000;0.797191
9820.000000;0.796469
9819.000000;0.795778
9818.000000;0.795616
9817.000000;0.796092
9816.000000;0.796781
9815.000000;0.797090
9814.000000;0.796756
9813.000000;0.795950
9812.000000;0.794985
9811.000000;0.794139
9810.000000;0.793733
9809.000000;0.794062
9808.000000;0.795038
9807.000000;0.796041
9806.000000;0.796408
9805.000000;0.796062
9804.000000;0.795529
9803.000000;0.795351
9802.000000;0.795603
9801.000000;0.795974
9800.000000;0.796142
9799.000000;0.796045
9798.000000;0.795869
9797.000000;0.795831
9796.000000;0.795911
9795.000000;0.795833
9794.000000;0.795369
9793.000000;0.794645
9792.000000;0.794037
9791.000000;0.793764
9790.000000;0.793686
9789.000000;0.793527
9788.000000;0.793195
9787.000000;0.792837
9786.000000;0.792662
9785.000000;0.792765
9784.000000;0.793088
9783.000000;0.793476
9782.000000;0.793749
9781.000000;0.793781
9780.000000;0.793562
9779.000000;0.793245
9778.000000;0.793057
9777.000000;0.793059
9776.000000;0.793003
9775.000000;0.792551
9774.000000;0.791713
9773.000000;0.790929
9772.000000;0.790620
9771.000000;0.790774
9770.000000;0.791058
9769.000000;0.791252
9768.000000;0.791390
9767.000000;0.791564
9766.000000;0.791800
9765.000000;0.792115
9764.000000;0.792494
9763.000000;0.792762
9762.000000;0.792653
9761.000000;0.792122
9760.000000;0.791462
9759.000000;0.791013
9758.000000;0.790830
9757.000000;0.790731
9756.000000;0.790604
9755.000000;0.790518
9754.000000;0.790555
9753.000000;0.790616
9752.000000;0.790457
9751.000000;0.789892
9750.000000;0.789002
9749.000000;0.788162
9748.000000;0.787806
9747.000000;0.788084
9746.000000;0.788729
9745.000000;0.789302
9744.000000;0.789546
9743.000000;0.789473
9742.000000;0.789188
9741.000000;0.788789
9740.000000;0.788455
9739.000000;0.788427
9738.000000;0.788723
9737.000000;0.788984
9736.000000;0.788840
9735.000000;0.788394
9734.000000;0.788094
9733.000000;0.788100
9732.000000;0.788079
9731.000000;0.787735
9730.000000;0.787273
9729.000000;0.787081
9728.000000;0.787156
9727.000000;0.787175
9726.000000;0.787031
9725.000000;0.786931
9724.000000;0.786975
9723.000000;0.786979
9722.000000;0.786831
9721.000000;0.786731
9720.000000;0.786898
9719.000000;0.787236
9718.000000;0.787453
9717.000000;0.787387
9716.000000;0.787070
9715.000000;0.786624
9714.000000;0.786202
9713.000000;0.785919
9712.000000;0.785729
9711.000000;0.785488
9710.000000;0.785208
9709.000000;0.785089
9708.000000;0.785219
9707.000000;0.785422
9706.000000;0.785526
9705.000000;0.785581
9704.000000;0.785676
9703.000000;0.785741
9702.000000;0.785726
9701.000000;0.785797
9700.000000;0.786091
9699.000000;0.786390
9698.000000;0.786306
9697.000000;0.785740
9696.000000;0.784962
9695.000000;0.784278
9694.000000;0.783850
9693.000000;0.783791
9692.000000;0.784169
9691.000000;0.784834
9690.000000;0.785403
9689.000000;0.785527
9688.000000;0.785135
9687.000000;0.784424
9686.000000;0.783687
9685.000000;0.783129
9684.000000;0.782789
9683.000000;0.782630
9682.000000;0.782685
9681.000000;0.783026
9680.000000;0.783540
9679.000000;0.783925
9678.000000;0.783991
9677.000000;0.783853
9676.000000;0.783698
9675.000000;0.783521
9674.000000;0.783248
9673.000000;0.782937
9672.000000;0.782683
9671.000000;0.782465
9670.000000;0.782289
9669.000000;0.782331
9668.000000;0.782652
9667.000000;0.782915
9666.000000;0.782717
9665.000000;0.782150
9664.000000;0.781702
9663.000000;0.781591
9662.000000;0.781515
9661.000000;0.781143
9660.000000;0.780549
9659.000000;0.780073
9658.000000;0.779973
9657.000000;0.780333
9656.000000;0.781071
9655.000000;0.781909
9654.000000;0.782509
9653.000000;0.782783
9652.000000;0.782925
9651.000000;0.783066
9650.000000;0.783050
9649.000000;0.782666
9648.000000;0.781953
9647.000000;0.781172
9646.000000;0.780553
9645.000000;0.780201
