Criado como novo conjunto de dados;"2706_e01_daniel.spp","13682.8 Secs"
cm-1;Abs
10000.000000;0.826709
9999.000000;0.826848
9998.000000;0.827231
9997.000000;0.827826
9996.000000;0.828539
9995.000000;0.829283
9994.000000;0.829908
9993.000000;0.830254
9992.000000;0.830156
9991.000000;0.829550
9990.000000;0.828523
9989.000000;0.827339
9988.000000;0.826350
9987.000000;0.825818
9986.000000;0.825740
9985.000000;0.825861
9984.000000;0.825906
9983.000000;0.825841
9982.000000;0.825871
9981.000000;0.826184
9980.000000;0.826690
9979.000000;0.827073
9978.000000;0.827110
9977.000000;0.826878
9976.000000;0.826580
9975.000000;0.826285
9974.000000;0.825984
9973.000000;0.825804
9972.000000;0.825914
9971.000000;0.826162
9970.000000;0.826097
9969.000000;0.825520
9968.000000;0.824821
9967.000000;0.824541
9966.000000;0.824727
9965.000000;0.824944
9964.000000;0.824837
9963.000000;0.824458
9962.000000;0.824076
9961.000000;0.823902
9960.000000;0.823987
9959.000000;0.824179
9958.000000;0.824187
9957.000000;0.823904
9956.000000;0.823632
9955.000000;0.823770
9954.000000;0.824286
9953.000000;0.824739
9952.000000;0.824861
9951.000000;0.824837
9950.000000;0.824936
9949.000000;0.825110
9948.000000;0.825100
9947.000000;0.824739
9946.000000;0.824022
9945.000000;0.823077
9944.000000;0.822190
9943.000000;0.821667
9942.000000;0.821537
9941.000000;0.821541
9940.000000;0.821542
9939.000000;0.821736
9938.000000;0.822273
9937.000000;0.822890
9936.000000;0.823189
9935.000000;0.823160
9934.000000;0.823136
9933.000000;0.823300
9932.000000;0.823490
9931.000000;0.823512
9930.000000;0.823375
9929.000000;0.823150
9928.000000;0.822804
9927.000000;0.822307
9926.000000;0.821790
9925.000000;0.821482
9924.000000;0.821519
9923.000000;0.821828
9922.000000;0.822154
9921.000000;0.822210
9920.000000;0.821899
9919.000000;0.821392
9918.000000;0.820949
9917.000000;0.820624
9916.000000;0.820226
9915.000000;0.819588
9914.000000;0.818871
9913.000000;0.818516
9912.000000;0.818840
9911.000000;0.819651
9910.000000;0.820336
9909.000000;0.820414
9908.000000;0.819968
9907.000000;0.819416
9906.000000;0.818949
9905.000000;0.818414
9904.000000;0.817756
9903.000000;0.817311
9902.000000;0.817467
9901.000000;0.818216
9900.000000;0.819179
9899.000000;0.819983
9898.000000;0.820442
9897.000000;0.820484
9896.000000;0.820137
9895.000000;0.819600
9894.000000;0.819146
9893.000000;0.818893
9892.000000;0.818754
9891.000000;0.818583
9890.000000;0.818309
9889.000000;0.817985
9888.000000;0.817782
9887.000000;0.817894
9886.000000;0.818332
9885.000000;0.818838
9884.000000;0.819098
9883.000000;0.818997
9882.000000;0.818622
9881.000000;0.818102
9880.000000;0.817597
9879.000000;0.817352
9878.000000;0.817533
9877.000000;0.817991
9876.000000;0.818313
9875.000000;0.818179
9874.000000;0.817633
9873.000000;0.816992
9872.000000;0.816573
9871.000000;0.816476
9870.000000;0.816549
9869.000000;0.816568
9868.000000;0.816494
9867.000000;0.816495
9866.000000;0.816639
9865.000000;0.816684
9864.000000;0.816354
9863.000000;0.815767
9862.000000;0.815382
9861.000000;0.815472
9860.000000;0.815832
9859.000000;0.816057
9858.000000;0.815974
9857.000000;0.815720
9856.000000;0.815537
9855.000000;0.815606
9854.000000;0.815996
9853.000000;0.816573
9852.000000;0.816976
9851.000000;0.816817
9850.000000;0.816016
9849.000000;0.814916
9848.000000;0.814059
9847.000000;0.813809
9846.000000;0.814160
9845.000000;0.814790
9844.000000;0.815281
9843.000000;0.815366
9842.000000;0.815088
9841.000000;0.814766
9840.000000;0.814710
9839.000000;0.814903
9838.000000;0.815012
9837.000000;0.814770
9836.000000;0.814287
9835.000000;0.813866
9834.000000;0.813605
9833.000000;0.813361
9832.000000;0.813072
9831.000000;0.812912
9830.000000;0.813023
9829.000000;0.813272
9828.000000;0.813387
9827.000000;0.813227
9826.000000;0.812836
9825.000000;0.812376
9824.000000;0.812115
9823.000000;0.812319
9822.000000;0.812954
9821.000000;0.813599
9820.000000;0.813831
9819.000000;0.813653
9818.000000;0.813372
9817.000000;0.813127
9816.000000;0.812762
9815.000000;0.812134
9814.000000;0.811355
9813.000000;0.810700
9812.000000;0.810417
9811.000000;0.810649
9810.000000;0.811375
9809.000000;0.812343
