Criado como novo conjunto de dados;"2706_e01_daniel.spp","27543.1 Secs"
cm-1;Abs
10000.000000;0.780345
9999.000000;0.779852
9998.000000;0.779360
9997.000000;0.778869
9996.000000;0.778378
9995.000000;0.777888
9994.000000;0.777399
9993.000000;0.776907
9992.000000;0.776423
9991.000000;0.775928
9990.000000;0.775456
9989.000000;0.774893
9988.000000;0.774279
9987.000000;0.773902
9986.000000;0.774011
9985.000000;0.774696
9984.000000;0.775574
9983.000000;0.775930
9982.000000;0.775375
9981.000000;0.774310
9980.000000;0.773497
9979.000000;0.773334
9978.000000;0.773706
9977.000000;0.774286
9976.000000;0.774703
9975.000000;0.774649
9974.000000;0.774178
9973.000000;0.773753
9972.000000;0.773698
9971.000000;0.773795
9970.000000;0.773775
9969.000000;0.773878
9968.000000;0.774445
9967.000000;0.775142
9966.000000;0.775213
9965.000000;0.774459
9964.000000;0.773449
9963.000000;0.772734
9962.000000;0.772339
9961.000000;0.772089
9960.000000;0.771926
9959.000000;0.771796
9958.000000;0.771642
9957.000000;0.771632
9956.000000;0.772018
9955.000000;0.772664
9954.000000;0.773092
9953.000000;0.773095
9952.000000;0.772969
9951.000000;0.773013
9950.000000;0.773176
9949.000000;0.773327
9948.000000;0.773515
9947.000000;0.773770
9946.000000;0.773913
9945.000000;0.773784
9944.000000;0.773451
9943.000000;0.773036
9942.000000;0.772552
9941.000000;0.772065
9940.000000;0.771799
9939.000000;0.771889
9938.000000;0.772147
9937.000000;0.772197
9936.000000;0.771804
9935.000000;0.771059
9934.000000;0.770344
9933.000000;0.770082
9932.000000;0.770322
9931.000000;0.770579
9930.000000;0.770318
9929.000000;0.769640
9928.000000;0.769217
9927.000000;0.769481
9926.000000;0.770137
9925.000000;0.770566
9924.000000;0.770528
9923.000000;0.770274
9922.000000;0.770139
9921.000000;0.770237
9920.000000;0.770490
9919.000000;0.770761
9918.000000;0.770875
9917.000000;0.770638
9916.000000;0.769958
9915.000000;0.769033
9914.000000;0.768324
9913.000000;0.768204
9912.000000;0.768599
9911.000000;0.769103
9910.000000;0.769458
9909.000000;0.769736
9908.000000;0.770029
9907.000000;0.770216
9906.000000;0.770193
9905.000000;0.770107
9904.000000;0.770131
9903.000000;0.770178
9902.000000;0.770013
9901.000000;0.769555
9900.000000;0.768882
9899.000000;0.768115
9898.000000;0.767485
9897.000000;0.767307
9896.000000;0.767618
9895.000000;0.767979
9894.000000;0.767885
9893.000000;0.767312
9892.000000;0.766652
9891.000000;0.766224
9890.000000;0.766086
9889.000000;0.766186
9888.000000;0.766428
9887.000000;0.766636
9886.000000;0.766658
9885.000000;0.766491
9884.000000;0.766198
9883.000000;0.765860
9882.000000;0.765701
9881.000000;0.766004
9880.000000;0.766682
9879.000000;0.767181
9878.000000;0.767090
9877.000000;0.766600
9876.000000;0.766112
9875.000000;0.765656
9874.000000;0.765093
9873.000000;0.764654
9872.000000;0.764783
9871.000000;0.765487
9870.000000;0.766265
9869.000000;0.766665
9868.000000;0.766620
9867.000000;0.766294
9866.000000;0.765940
9865.000000;0.765862
9864.000000;0.766182
9863.000000;0.766585
9862.000000;0.766629
9861.000000;0.766284
9860.000000;0.765893
9859.000000;0.765672
9858.000000;0.765578
9857.000000;0.765578
9856.000000;0.765655
9855.000000;0.765525
9854.000000;0.764824
9853.000000;0.763666
9852.000000;0.762649
9851.000000;0.762164
9850.000000;0.762022
9849.000000;0.761899
9848.000000;0.761865
9847.000000;0.762238
9846.000000;0.763085
9845.000000;0.764072
9844.000000;0.764741
9843.000000;0.764884
9842.000000;0.764682
9841.000000;0.764510
9840.000000;0.764522
9839.000000;0.764492
9838.000000;0.764165
9837.000000;0.763666
9836.000000;0.763379
9835.000000;0.763471
9834.000000;0.763729
9833.000000;0.763834
9832.000000;0.763624
9831.000000;0.763162
9830.000000;0.762699
9829.000000;0.762483
9828.000000;0.762441
9827.000000;0.762173
9826.000000;0.761494
9825.000000;0.760805
9824.000000;0.760644
9823.000000;0.760989
9822.000000;0.761355
9821.000000;0.761501
9820.000000;0.761611
9819.000000;0.761793
9818.000000;0.761798
9817.000000;0.761402
9816.000000;0.760745
9815.000000;0.760166
9814.000000;0.759897
9813.000000;0.760015
9812.000000;0.760464
9811.000000;0.761002
9810.000000;0.761313
9809.000000;0.761266
9808.000000;0.760926
9807.000000;0.760330
9806.000000;0.759482
9805.000000;0.758598
9804.000000;0.758074
9803.000000;0.758070
9802.000000;0.758312
9801.000000;0.758448
9800.000000;0.758455
9799.000000;0.758598
9798.000000;0.759058
9797.000000;0.759709
9796.000000;0.760184
9795.000000;0.760160
9794.000000;0.759674
9793.000000;0.759157
9792.000000;0.759048
9791.000000;0.759358
9790.000000;0.759683
9789.000000;0.759644
9788.000000;0.759209
9787.000000;0.758621
9786.000000;0.758148
9785.000000;0.757905
9784.000000;0.757795
9783.000000;0.757620
9782.000000;0.757331
9781.000000;0.757126
9780.000000;0.757193
9779.000000;0.757425
9778.000000;0.757544
9777.000000;0.757456
9776.000000;0.757307
9775.000000;0.757242
9774.000000;0.757273
9773.000000;0.757360
9772.000000;0.757410
9771.000000;0.757211
9770.000000;0.756622
9769.000000;0.755880
9768.000000;0.755493
9767.000000;0.755726
9766.000000;0.756322
9765.000000;0.756824
9764.000000;0.757062
9763.000000;0.757220
9762.000000;0.757443
9761.000000;0.757533
9760.000000;0.757122
9759.000000;0.756144
9758.000000;0.755030
9757.000000;0.754303
9756.000000;0.754045
9755.000000;0.753933
9754.000000;0.753779
9753.000000;0.753787
9752.000000;0.754155
9751.000000;0.754661
9750.000000;0.754895
9749.000000;0.754741
9748.000000;0.754428
9747.000000;0.754182
9746.000000;0.754044
9745.000000;0.753958
9744.000000;0.753841
9743.000000;0.753619
9742.000000;0.753371
9741.000000;0.753386
9740.000000;0.753859
9739.000000;0.754547
9738.000000;0.754929
9737.000000;0.754724
9736.000000;0.754147
9735.000000;0.753633
9734.000000;0.753438
9733.000000;0.753530
9732.000000;0.753745
9731.000000;0.753973
9730.000000;0.754200
9729.000000;0.754386
9728.000000;0.754356
9727.000000;0.753965
9726.000000;0.753379
9725.000000;0.753017
9724.000000;0.753101
9723.000000;0.753412
9722.000000;0.753612
9721.000000;0.753641
9720.000000;0.753626
9719.000000;0.753554
9718.000000;0.753301
9717.000000;0.752929
9716.000000;0.752689
9715.000000;0.752708
9714.000000;0.752820
9713.000000;0.752783
9712.000000;0.752573
9711.000000;0.752412
9710.000000;0.752528
9709.000000;0.752873
9708.000000;0.753081
9707.000000;0.752804
9706.000000;0.752095
9705.000000;0.751382
9704.000000;0.751042
9703.000000;0.751109
9702.000000;0.751390
9701.000000;0.751689
9700.000000;0.751847
9699.000000;0.751794
9698.000000;0.751650
9697.000000;0.751641
9696.000000;0.751803
9695.000000;0.751921
9694.000000;0.751831
9693.000000;0.751618
9692.000000;0.751442
9691.000000;0.751365
9690.000000;0.751449
9689.000000;0.751754
9688.000000;0.752086
9687.000000;0.751998
9686.000000;0.751284
9685.000000;0.750311
9684.000000;0.749653
9683.000000;0.749528
9682.000000;0.749744
9681.000000;0.750017
9680.000000;0.750129
9679.000000;0.749964
9678.000000;0.749609
9677.000000;0.749317
9676.000000;0.749223
9675.000000;0.749228
9674.000000;0.749252
9673.000000;0.749397
9672.000000;0.749663
9671.000000;0.749776
9670.000000;0.749571
9669.000000;0.749335
9668.000000;0.749468
9667.000000;0.749903
9666.000000;0.750169
9665.000000;0.749925
9664.000000;0.749226
9663.000000;0.748358
9662.000000;0.747660
9661.000000;0.747404
9660.000000;0.747566
9659.000000;0.747787
9658.000000;0.747766
9657.000000;0.747625
9656.000000;0.747673
9655.000000;0.747939
9654.000000;0.748172
9653.000000;0.748241
9652.000000;0.748266
9651.000000;0.748348
9650.000000;0.748412
9649.000000;0.748304
9648.000000;0.747929
9647.000000;0.747327
9646.000000;0.746719
9645.000000;0.746380
9644.000000;0.746342
9643.000000;0.746363
9642.000000;0.746310
9641.000000;0.746383
9640.000000;0.746765
9639.000000;0.747266
9638.000000;0.747537
9637.000000;0.747497
9636.000000;0.747283
9635.000000;0.746945
9634.000000;0.746483
9633.000000;0.746055
9632.000000;0.745841
9631.000000;0.745750
9630.000000;0.745543
9629.000000;0.745205
9628.000000;0.744945
9627.000000;0.744896
9626.000000;0.745040
9625.000000;0.745355
9624.000000;0.745734
9623.000000;0.745849
9622.000000;0.745428
9621.000000;0.744702
9620.000000;0.744269
9619.000000;0.744437
9618.000000;0.744911
9617.000000;0.745183
9616.000000;0.745064
9615.000000;0.744790
9614.000000;0.744711
9613.000000;0.744945
9612.000000;0.745254
9611.000000;0.745283
9610.000000;0.744955
9609.000000;0.744529
9608.000000;0.744236
9607.000000;0.744038
9606.000000;0.743853
9605.000000;0.743769
9604.000000;0.743824
9603.000000;0.743805
9602.000000;0.743561
9601.000000;0.743343
9600.000000;0.743486
9599.000000;0.743904
9598.000000;0.744237
9597.000000;0.744430
9596.000000;0.744729
9595.000000;0.745109
9594.000000;0.745108
9593.000000;0.744420
9592.000000;0.743355
9591.000000;0.742540
9590.000000;0.742317
9589.000000;0.742561
9588.000000;0.742927
9587.000000;0.743164
9586.000000;0.743249
9585.000000;0.743299
9584.000000;0.743335
9583.000000;0.743204
9582.000000;0.742796
9581.000000;0.742267
9580.000000;0.741889
9579.000000;0.741742
9578.000000;0.741713
9577.000000;0.741780
9576.000000;0.742087
9575.000000;0.742715
9574.000000;0.743476
9573.000000;0.743987
9572.000000;0.743924
9571.000000;0.743253
9570.000000;0.742291
9569.000000;0.741485
9568.000000;0.741039
9567.000000;0.740844
9566.000000;0.740765
9565.000000;0.740844
9564.000000;0.741115
9563.000000;0.741402
9562.000000;0.741510
9561.000000;0.741493
9560.000000;0.741552
9559.000000;0.741738
9558.000000;0.741910
9557.000000;0.741920
9556.000000;0.741697
9555.000000;0.741259
9554.000000;0.740800
9553.000000;0.740605
9552.000000;0.740734
9551.000000;0.740903
