Criado como novo conjunto de dados;"2706_e01_daniel.spp","17282.9 Secs"
cm-1;Abs
10000.000000;0.730907
9999.000000;0.730636
9998.000000;0.730246
9997.000000;0.729842
9996.000000;0.729302
9995.000000;0.728573
9994.000000;0.727913
9993.000000;0.727656
9992.000000;0.727817
9991.000000;0.728126
9990.000000;0.728389
9989.000000;0.728614
9988.000000;0.728794
9987.000000;0.728780
9986.000000;0.728451
9985.000000;0.727887
9984.000000;0.727309
9983.000000;0.726963
9982.000000;0.727058
9981.000000;0.727619
9980.000000;0.728310
9979.000000;0.728589
9978.000000;0.728224
9977.000000;0.727557
9976.000000;0.727119
9975.000000;0.727083
9974.000000;0.727245
9973.000000;0.727445
9972.000000;0.727738
9971.000000;0.728106
9970.000000;0.728251
9969.000000;0.727872
9968.000000;0.727065
9967.000000;0.726299
9966.000000;0.725955
9965.000000;0.725974
9964.000000;0.725972
9963.000000;0.725663
9962.000000;0.725122
9961.000000;0.724663
9960.000000;0.724506
9959.000000;0.724612
9958.000000;0.724785
9957.000000;0.724888
9956.000000;0.724937
9955.000000;0.725041
9954.000000;0.725284
9953.000000;0.725624
9952.000000;0.725910
9951.000000;0.726017
9950.000000;0.725957
9949.000000;0.725794
9948.000000;0.725487
9947.000000;0.724957
9946.000000;0.724316
9945.000000;0.723860
9944.000000;0.723768
9943.000000;0.723907
9942.000000;0.724038
9941.000000;0.724092
9940.000000;0.724130
9939.000000;0.724168
9938.000000;0.724181
9937.000000;0.724191
9936.000000;0.724182
9935.000000;0.724006
9934.000000;0.723565
9933.000000;0.723046
9932.000000;0.722791
9931.000000;0.722886
9930.000000;0.723062
9929.000000;0.723029
9928.000000;0.722760
9927.000000;0.722422
9926.000000;0.722194
9925.000000;0.722254
9924.000000;0.722779
9923.000000;0.723772
9922.000000;0.724868
9921.000000;0.725469
9920.000000;0.725180
9919.000000;0.724173
9918.000000;0.723070
9917.000000;0.722429
9916.000000;0.722294
9915.000000;0.722295
9914.000000;0.722154
9913.000000;0.721958
9912.000000;0.721894
9911.000000;0.721926
9910.000000;0.721902
9909.000000;0.721843
9908.000000;0.721872
9907.000000;0.721911
