Criado como novo conjunto de dados;"e0108.spp","-4235742.4 Secs"
cm-1;Abs
10000.000000;0.983750
9999.000000;0.983281
9998.000000;0.982105
9997.000000;0.980641
9996.000000;0.979543
9995.000000;0.979121
9994.000000;0.979319
9993.000000;0.979714
9992.000000;0.979987
9991.000000;0.979985
9990.000000;0.979651
9989.000000;0.979042
9988.000000;0.978502
9987.000000;0.978466
9986.000000;0.978943
9985.000000;0.979320
9984.000000;0.978886
9983.000000;0.977591
9982.000000;0.976175
9981.000000;0.975491
9980.000000;0.975703
9979.000000;0.976130
9978.000000;0.975860
9977.000000;0.974517
9976.000000;0.972494
9975.000000;0.970600
9974.000000;0.969571
9973.000000;0.969702
9972.000000;0.970638
9971.000000;0.971499
9970.000000;0.971529
9969.000000;0.970763
9968.000000;0.969894
9967.000000;0.969440
9966.000000;0.969312
9965.000000;0.969274
9964.000000;0.969443
9963.000000;0.970078
9962.000000;0.971059
9961.000000;0.971882
9960.000000;0.972064
9959.000000;0.971330
9958.000000;0.969557
9957.000000;0.966944
9956.000000;0.964210
9955.000000;0.962325
9954.000000;0.961868
9953.000000;0.962657
9952.000000;0.963927
9951.000000;0.964857
9950.000000;0.965066
9949.000000;0.964784
9948.000000;0.964473
9947.000000;0.964232
9946.000000;0.963779
9945.000000;0.963112
9944.000000;0.962822
9943.000000;0.963388
9942.000000;0.964322
9941.000000;0.964497
9940.000000;0.963377
9939.000000;0.961617
9938.000000;0.960328
9937.000000;0.960016
9936.000000;0.960326
9935.000000;0.960571
9934.000000;0.960363
9933.000000;0.959869
9932.000000;0.959551
9931.000000;0.959516
9930.000000;0.959207
9929.000000;0.958051
9928.000000;0.956381
9927.000000;0.955249
9926.000000;0.955242
9925.000000;0.955873
9924.000000;0.956272
9923.000000;0.956137
9922.000000;0.955726
9921.000000;0.955211
9920.000000;0.954528
9919.000000;0.953768
9918.000000;0.953275
9917.000000;0.953293
9916.000000;0.953803
9915.000000;0.954656
9914.000000;0.955584
9913.000000;0.956084
9912.000000;0.955631
9911.000000;0.954223
9910.000000;0.952489
9909.000000;0.951118
9908.000000;0.950335
9907.000000;0.949972
9906.000000;0.949773
9905.000000;0.949507
9904.000000;0.948986
9903.000000;0.948223
9902.000000;0.947452
9901.000000;0.946902
9900.000000;0.946640
9899.000000;0.946655
9898.000000;0.946835
9897.000000;0.946762
9896.000000;0.945898
9895.000000;0.944297
9894.000000;0.942911
9893.000000;0.942761
9892.000000;0.943899
9891.000000;0.945430
9890.000000;0.946467
9889.000000;0.946721
9888.000000;0.946286
9887.000000;0.945439
9886.000000;0.944739
9885.000000;0.944744
9884.000000;0.945362
9883.000000;0.945878
9882.000000;0.945838
9881.000000;0.945547
9880.000000;0.945362
9879.000000;0.944921
9878.000000;0.943553
9877.000000;0.941268
9876.000000;0.938849
9875.000000;0.937084
9874.000000;0.936258
9873.000000;0.936259
9872.000000;0.936731
9871.000000;0.937172
9870.000000;0.937257
9869.000000;0.937125
9868.000000;0.937085
9867.000000;0.937115
9866.000000;0.937028
9865.000000;0.936981
9864.000000;0.937314
9863.000000;0.937910
9862.000000;0.938240
9861.000000;0.938140
9860.000000;0.937987
9859.000000;0.937927
9858.000000;0.937454
9857.000000;0.936150
9856.000000;0.934497
9855.000000;0.933479
9854.000000;0.933531
9853.000000;0.934237
9852.000000;0.934974
9851.000000;0.935511
9850.000000;0.935940
9849.000000;0.936204
9848.000000;0.935824
9847.000000;0.934210
9846.000000;0.931425
9845.000000;0.928588
9844.000000;0.927196
9843.000000;0.927800
9842.000000;0.929425
9841.000000;0.930417
9840.000000;0.929857
9839.000000;0.928151
9838.000000;0.926475
9837.000000;0.925896
9836.000000;0.926785
9835.000000;0.928641
9834.000000;0.930351
9833.000000;0.930824
9832.000000;0.929684
9831.000000;0.927589
9830.000000;0.925895
9829.000000;0.925718
9828.000000;0.926969
9827.000000;0.928287
9826.000000;0.928266
9825.000000;0.926782
9824.000000;0.924895
9823.000000;0.923523
9822.000000;0.922688
9821.000000;0.922047
9820.000000;0.921532
9819.000000;0.921197
9818.000000;0.920909
9817.000000;0.920594
9816.000000;0.920435
9815.000000;0.920447
9814.000000;0.920195
9813.000000;0.919347
9812.000000;0.918270
9811.000000;0.917619
9810.000000;0.917541
9809.000000;0.917713
9808.000000;0.917963
9807.000000;0.918360
9806.000000;0.918815
9805.000000;0.919102
9804.000000;0.919251
9803.000000;0.919492
9802.000000;0.919762
9801.000000;0.919695
9800.000000;0.919122
9799.000000;0.918235
9798.000000;0.917297
9797.000000;0.916580
9796.000000;0.916503
9795.000000;0.917249
9794.000000;0.918137
9793.000000;0.917912
9792.000000;0.915956
9791.000000;0.912932
9790.000000;0.910122
9789.000000;0.908464
9788.000000;0.908202
9787.000000;0.908975
9786.000000;0.909989
9785.000000;0.910527
9784.000000;0.910567
9783.000000;0.910657
9782.000000;0.911022
9781.000000;0.911146
9780.000000;0.910460
9779.000000;0.909139
9778.000000;0.907927
9777.000000;0.907424
9776.000000;0.907742
9775.000000;0.908548
9774.000000;0.909191
9773.000000;0.909094
9772.000000;0.908367
9771.000000;0.907802
9770.000000;0.907902
9769.000000;0.908216
9768.000000;0.908022
9767.000000;0.907411
9766.000000;0.907110
9765.000000;0.907313
9764.000000;0.907334
