Criado como novo conjunto de dados;"e0108.spp","-4261664.0 Secs"
cm-1;Abs
10000.000000;1.046016
9999.000000;1.044934
9998.000000;1.043699
9997.000000;1.042968
9996.000000;1.043681
9995.000000;1.045835
9994.000000;1.048050
9993.000000;1.048618
9992.000000;1.047332
9991.000000;1.045594
9990.000000;1.044663
9989.000000;1.044359
9988.000000;1.043798
9987.000000;1.042788
9986.000000;1.041870
9985.000000;1.041306
9984.000000;1.040748
9983.000000;1.039936
9982.000000;1.039127
9981.000000;1.038625
9980.000000;1.038294
9979.000000;1.037759
9978.000000;1.036933
9977.000000;1.036139
9976.000000;1.035814
9975.000000;1.036152
9974.000000;1.036916
9973.000000;1.037515
9972.000000;1.037432
9971.000000;1.036640
9970.000000;1.035560
9969.000000;1.034691
9968.000000;1.034346
9967.000000;1.034564
9966.000000;1.035039
9965.000000;1.035200
9964.000000;1.034701
9963.000000;1.033903
9962.000000;1.033619
9961.000000;1.034222
9960.000000;1.035199
9959.000000;1.035621
9958.000000;1.034916
9957.000000;1.033177
9956.000000;1.031031
9955.000000;1.029356
9954.000000;1.028796
9953.000000;1.029230
9952.000000;1.029795
9951.000000;1.029653
9950.000000;1.028745
9949.000000;1.027763
9948.000000;1.027493
9947.000000;1.028195
9946.000000;1.029404
9945.000000;1.030219
9944.000000;1.029983
9943.000000;1.028815
9942.000000;1.027293
9941.000000;1.025650
9940.000000;1.023649
9939.000000;1.021450
9938.000000;1.020109
9937.000000;1.020730
9936.000000;1.023225
9935.000000;1.026263
9934.000000;1.028349
9933.000000;1.028667
9932.000000;1.027175
9931.000000;1.024589
9930.000000;1.022242
9929.000000;1.021224
9928.000000;1.021393
9927.000000;1.021567
9926.000000;1.020850
9925.000000;1.019471
9924.000000;1.018232
9923.000000;1.017612
9922.000000;1.017691
9921.000000;1.018450
9920.000000;1.019608
9919.000000;1.020418
9918.000000;1.020205
9917.000000;1.019163
9916.000000;1.018218
9915.000000;1.017984
9914.000000;1.018162
9913.000000;1.018023
9912.000000;1.017237
9911.000000;1.016108
9910.000000;1.015223
9909.000000;1.014945
9908.000000;1.015177
9907.000000;1.015540
9906.000000;1.015721
9905.000000;1.015593
9904.000000;1.015105
9903.000000;1.014325
9902.000000;1.013619
9901.000000;1.013536
9900.000000;1.014251
9899.000000;1.015171
9898.000000;1.015354
9897.000000;1.014379
9896.000000;1.012634
9895.000000;1.010780
9894.000000;1.009205
9893.000000;1.008000
9892.000000;1.007129
9891.000000;1.006505
9890.000000;1.006097
9889.000000;1.006050
9888.000000;1.006524
9887.000000;1.007358
9886.000000;1.008132
9885.000000;1.008641
9884.000000;1.009010
9883.000000;1.009224
9882.000000;1.008832
9881.000000;1.007386
9880.000000;1.005074
9879.000000;1.002685
9878.000000;1.000938
9877.000000;0.999981
9876.000000;0.999534
9875.000000;0.999336
9874.000000;0.999406
9873.000000;0.999937
9872.000000;1.000934
9871.000000;1.001951
9870.000000;1.002257
9869.000000;1.001426
9868.000000;0.999797
9867.000000;0.998275
9866.000000;0.997657
9865.000000;0.998090
9864.000000;0.999039
9863.000000;0.999681
9862.000000;0.999444
9861.000000;0.998347
9860.000000;0.996934
9859.000000;0.995812
9858.000000;0.995200
9857.000000;0.994911
9856.000000;0.994703
9855.000000;0.994500
9854.000000;0.994264
9853.000000;0.993899
9852.000000;0.993535
9851.000000;0.993776
9850.000000;0.995214
9849.000000;0.997465
9848.000000;0.999013
9847.000000;0.998492
9846.000000;0.996156
9845.000000;0.993677
9844.000000;0.992420
9843.000000;0.992258
9842.000000;0.992115
9841.000000;0.991291
9840.000000;0.989967
9839.000000;0.988707
9838.000000;0.987984
9837.000000;0.988115
9836.000000;0.989146
9835.000000;0.990638
9834.000000;0.991805
9833.000000;0.992037
9832.000000;0.991265
9831.000000;0.989928
9830.000000;0.988779
9829.000000;0.988548
9828.000000;0.989362
9827.000000;0.990418
9826.000000;0.990591
9825.000000;0.989546
9824.000000;0.987987
9823.000000;0.986744
9822.000000;0.985952
9821.000000;0.985292
9820.000000;0.984640
9819.000000;0.984166
9818.000000;0.984021
9817.000000;0.984226
9816.000000;0.984669
9815.000000;0.985002
9814.000000;0.984761
9813.000000;0.983913
9812.000000;0.983092
9811.000000;0.982900
9810.000000;0.983073
9809.000000;0.982839
9808.000000;0.982081
9807.000000;0.981621
9806.000000;0.982217
9805.000000;0.983673
9804.000000;0.985078
9803.000000;0.985621
9802.000000;0.985019
9801.000000;0.983489
9800.000000;0.981650
9799.000000;0.980263
9798.000000;0.979609
9797.000000;0.979104
9796.000000;0.977849
9795.000000;0.975706
9794.000000;0.973645
9793.000000;0.972815
9792.000000;0.973359
9791.000000;0.974306
9790.000000;0.974582
9789.000000;0.973968
9788.000000;0.973032
9787.000000;0.972353
9786.000000;0.972107
9785.000000;0.972262
9784.000000;0.972752
9783.000000;0.973310
9782.000000;0.973486
9781.000000;0.973155
9780.000000;0.972787
9779.000000;0.972914
9778.000000;0.973415
9777.000000;0.973603
9776.000000;0.972981
9775.000000;0.971677
9774.000000;0.970181
9773.000000;0.968941
9772.000000;0.968221
9771.000000;0.968053
9770.000000;0.968230
9769.000000;0.968446
9768.000000;0.968462
9767.000000;0.968045
9766.000000;0.966988
9765.000000;0.965562
9764.000000;0.964836
9763.000000;0.965871
9762.000000;0.968321
9761.000000;0.970258
9760.000000;0.969925
9759.000000;0.967603
9758.000000;0.965256
9757.000000;0.964448
9756.000000;0.965020
9755.000000;0.965687
9754.000000;0.965513
9753.000000;0.964591
9752.000000;0.963525
9751.000000;0.962643
9750.000000;0.961824
9749.000000;0.960946
9748.000000;0.960269
9747.000000;0.960222
9746.000000;0.960873
9745.000000;0.961776
9744.000000;0.962418
9743.000000;0.962679
9742.000000;0.962760
9741.000000;0.962782
9740.000000;0.962673
9739.000000;0.962395
9738.000000;0.962077
9737.000000;0.961872
9736.000000;0.961761
9735.000000;0.961544
9734.000000;0.960967
9733.000000;0.959957
9732.000000;0.958816
9731.000000;0.958143
9730.000000;0.958380
9729.000000;0.959358
9728.000000;0.960335
9727.000000;0.960536
9726.000000;0.959630
9725.000000;0.957823
9724.000000;0.955712
9723.000000;0.954062
9722.000000;0.953426
9721.000000;0.953768
9720.000000;0.954496
9719.000000;0.954991
9718.000000;0.955078
9717.000000;0.954932
9716.000000;0.954628
9715.000000;0.954037
9714.000000;0.953207
9713.000000;0.952580
9712.000000;0.952567
9711.000000;0.953007
9710.000000;0.953341
9709.000000;0.953407
9708.000000;0.953748
9707.000000;0.954865
9706.000000;0.956374
9705.000000;0.957264
9704.000000;0.956915
9703.000000;0.955525
9702.000000;0.953577
9701.000000;0.951393
9700.000000;0.949358
9699.000000;0.948031
9698.000000;0.947559
9697.000000;0.947305
9696.000000;0.946631
9695.000000;0.945963
9694.000000;0.946397
9693.000000;0.948095
9692.000000;0.949670
9691.000000;0.949615
9690.000000;0.947972
9689.000000;0.946096
9688.000000;0.944986
9687.000000;0.944460
9686.000000;0.943963
9685.000000;0.943521
9684.000000;0.943551
9683.000000;0.944109
9682.000000;0.944763
9681.000000;0.945103
9680.000000;0.945014
9679.000000;0.944467
9678.000000;0.943420
9677.000000;0.942074
9676.000000;0.941004
9675.000000;0.940805
9674.000000;0.941567
9673.000000;0.942736
9672.000000;0.943464
9671.000000;0.943143
9670.000000;0.941844
9669.000000;0.940338
9668.000000;0.939539
9667.000000;0.939722
9666.000000;0.940289
9665.000000;0.940371
9664.000000;0.939692
9663.000000;0.938745
9662.000000;0.938188
9661.000000;0.938209
9660.000000;0.938473
9659.000000;0.938497
9658.000000;0.937984
9657.000000;0.936936
9656.000000;0.935603
9655.000000;0.934320
9654.000000;0.933314
9653.000000;0.932660
9652.000000;0.932395
9651.000000;0.932531
9650.000000;0.932851
9649.000000;0.932897
9648.000000;0.932434
9647.000000;0.931882
9646.000000;0.932033
9645.000000;0.933188
9644.000000;0.934727
9643.000000;0.935675
9642.000000;0.935565
9641.000000;0.934603
9640.000000;0.933180
9639.000000;0.931576
9638.000000;0.930152
9637.000000;0.929419
9636.000000;0.929636
9635.000000;0.930456
9634.000000;0.931177
9633.000000;0.931317
9632.000000;0.930864
9631.000000;0.930112
9630.000000;0.929457
9629.000000;0.929220
9628.000000;0.929375
9627.000000;0.929468
9626.000000;0.929077
9625.000000;0.928354
9624.000000;0.927833
9623.000000;0.927674
9622.000000;0.927440
9621.000000;0.926784
9620.000000;0.926071
9619.000000;0.926000
9618.000000;0.926749
9617.000000;0.927767
9616.000000;0.928323
9615.000000;0.928066
9614.000000;0.927093
9613.000000;0.925708
9612.000000;0.924193
9611.000000;0.922758
9610.000000;0.921636
9609.000000;0.921195
9608.000000;0.921741
9607.000000;0.923073
9606.000000;0.924393
9605.000000;0.924925
9604.000000;0.924564
9603.000000;0.923826
9602.000000;0.923230
9601.000000;0.922926
9600.000000;0.922754
9599.000000;0.922422
9598.000000;0.921688
9597.000000;0.920620
9596.000000;0.919595
9595.000000;0.918879
9594.000000;0.918319
9593.000000;0.917705
9592.000000;0.917253
9591.000000;0.917322
9590.000000;0.917719
9589.000000;0.917784
9588.000000;0.917236
9587.000000;0.916481
9586.000000;0.915984
9585.000000;0.915802
9584.000000;0.915880
9583.000000;0.916241
9582.000000;0.916548
9581.000000;0.916018
9580.000000;0.914362
9579.000000;0.912484
9578.000000;0.911655
9577.000000;0.912141
9576.000000;0.913098
9575.000000;0.913644
9574.000000;0.913608
9573.000000;0.913294
9572.000000;0.913053
9571.000000;0.913174
9570.000000;0.913687
9569.000000;0.914133
9568.000000;0.913891
9567.000000;0.912913
9566.000000;0.911871
9565.000000;0.911472
9564.000000;0.911840
9563.000000;0.912586
9562.000000;0.913112
9561.000000;0.912849
9560.000000;0.911665
9559.000000;0.910241
9558.000000;0.909614
9557.000000;0.910046
9556.000000;0.910641
9555.000000;0.910362
9554.000000;0.909210
9553.000000;0.908062
9552.000000;0.907605
9551.000000;0.907840
9550.000000;0.908400
9549.000000;0.908879
9548.000000;0.908896
9547.000000;0.908277
9546.000000;0.907259
9545.000000;0.906281
9544.000000;0.905519
9543.000000;0.904872
9542.000000;0.904349
9541.000000;0.904158
9540.000000;0.904317
9539.000000;0.904486
9538.000000;0.904358
9537.000000;0.904082
9536.000000;0.904135
9535.000000;0.904810
9534.000000;0.905877
9533.000000;0.906666
9532.000000;0.906516
9531.000000;0.905327
9530.000000;0.903675
9529.000000;0.902251
9528.000000;0.901223
9527.000000;0.900345
9526.000000;0.899633
9525.000000;0.899544
9524.000000;0.900306
9523.000000;0.901385
9522.000000;0.901950
9521.000000;0.901726
9520.000000;0.901096
9519.000000;0.900452
9518.000000;0.899803
9517.000000;0.899065
9516.000000;0.898398
9515.000000;0.898069
9514.000000;0.898147
9513.000000;0.898445
9512.000000;0.898676
9511.000000;0.898628
9510.000000;0.898333
9509.000000;0.898114
9508.000000;0.898309
9507.000000;0.898822
9506.000000;0.899119
9505.000000;0.898848
9504.000000;0.898294
9503.000000;0.898018
9502.000000;0.898111
9501.000000;0.898086
9500.000000;0.897522
9499.000000;0.896570
9498.000000;0.895716
9497.000000;0.895282
9496.000000;0.895293
9495.000000;0.895618
9494.000000;0.895973
9493.000000;0.895870
9492.000000;0.894913
9491.000000;0.893261
9490.000000;0.891597
9489.000000;0.890507
9488.000000;0.889995
9487.000000;0.889723
9486.000000;0.889600
9485.000000;0.889896
9484.000000;0.890784
9483.000000;0.891980
9482.000000;0.892983
9481.000000;0.893531
9480.000000;0.893648
9479.000000;0.893311
9478.000000;0.892373
9477.000000;0.890917
9476.000000;0.889514
9475.000000;0.888828
9474.000000;0.888931
9473.000000;0.889175
9472.000000;0.888844
9471.000000;0.887887
9470.000000;0.886901
9469.000000;0.886503
9468.000000;0.886843
9467.000000;0.887655
9466.000000;0.888571
9465.000000;0.889277
9464.000000;0.889478
9463.000000;0.888934
9462.000000;0.887640
9461.000000;0.885982
9460.000000;0.884645
9459.000000;0.884210
9458.000000;0.884749
9457.000000;0.885772
9456.000000;0.886645
9455.000000;0.887041
9454.000000;0.886981
9453.000000;0.886574
9452.000000;0.885892
9451.000000;0.885102
9450.000000;0.884469
