Criado como novo conjunto de dados;"e0108.spp","-4228541.8 Secs"
cm-1;Abs
10000.000000;1.909082
9999.000000;1.911764
9998.000000;1.911625
9997.000000;1.907188
9996.000000;1.900221
9995.000000;1.894335
9994.000000;1.891605
9993.000000;1.892135
9992.000000;1.894764
9991.000000;1.897001
9990.000000;1.896160
9989.000000;1.892067
9988.000000;1.887672
9987.000000;1.886068
9986.000000;1.887636
9985.000000;1.890322
9984.000000;1.891770
9983.000000;1.890259
9982.000000;1.884950
9981.000000;1.877012
9980.000000;1.870156
9979.000000;1.868017
9978.000000;1.870353
9977.000000;1.873450
9976.000000;1.874667
9975.000000;1.875003
9974.000000;1.876283
9973.000000;1.877919
9972.000000;1.878170
9971.000000;1.876893
9970.000000;1.874934
9969.000000;1.871766
9968.000000;1.865523
9967.000000;1.855658
9966.000000;1.845148
9965.000000;1.839036
9964.000000;1.840387
9963.000000;1.848206
9962.000000;1.858644
9961.000000;1.867482
9960.000000;1.872036
9959.000000;1.871727
9958.000000;1.867546
9957.000000;1.861524
9956.000000;1.856406
9955.000000;1.854275
9954.000000;1.854654
9953.000000;1.854856
9952.000000;1.853400
9951.000000;1.852296
9950.000000;1.854551
9949.000000;1.859976
9948.000000;1.865022
9947.000000;1.867255
9946.000000;1.867918
9945.000000;1.868641
9944.000000;1.868093
9943.000000;1.864219
9942.000000;1.858121
9941.000000;1.853098
9940.000000;1.850453
9939.000000;1.848723
9938.000000;1.847153
9937.000000;1.847539
9936.000000;1.851944
9935.000000;1.859677
9934.000000;1.866682
9933.000000;1.868199
9932.000000;1.863051
9931.000000;1.854729
9930.000000;1.847159
9929.000000;1.841410
9928.000000;1.837692
9927.000000;1.837678
9926.000000;1.842591
9925.000000;1.850089
9924.000000;1.854902
9923.000000;1.854352
9922.000000;1.852371
9921.000000;1.854366
9920.000000;1.859352
9919.000000;1.861210
9918.000000;1.857247
9917.000000;1.851807
9916.000000;1.850368
9915.000000;1.852867
9914.000000;1.854662
9913.000000;1.853047
9912.000000;1.850203
9911.000000;1.849297
9910.000000;1.850235
9909.000000;1.849818
9908.000000;1.845507
9907.000000;1.839239
9906.000000;1.835920
9905.000000;1.837997
9904.000000;1.842755
9903.000000;1.844815
9902.000000;1.841672
9901.000000;1.836212
9900.000000;1.833125
9899.000000;1.834241
9898.000000;1.837670
9897.000000;1.840097
9896.000000;1.839959
9895.000000;1.838825
9894.000000;1.839007
9893.000000;1.840057
9892.000000;1.838800
9891.000000;1.833493
9890.000000;1.827056
9889.000000;1.824568
9888.000000;1.827989
9887.000000;1.834422
9886.000000;1.839147
9885.000000;1.839524
9884.000000;1.835925
9883.000000;1.830581
9882.000000;1.826336
9881.000000;1.824564
9880.000000;1.824316
9879.000000;1.823969
9878.000000;1.822687
9877.000000;1.820888
9876.000000;1.819626
9875.000000;1.820164
9874.000000;1.824095
9873.000000;1.832203
9872.000000;1.842390
9871.000000;1.848975
9870.000000;1.847549
9869.000000;1.841157
9868.000000;1.837037
9867.000000;1.838048
9866.000000;1.840054
9865.000000;1.837025
9864.000000;1.827942
9863.000000;1.817904
9862.000000;1.812671
9861.000000;1.814082
9860.000000;1.820139
9859.000000;1.826953
9858.000000;1.830997
9857.000000;1.830892
9856.000000;1.827584
9855.000000;1.823769
9854.000000;1.822693
9853.000000;1.825427
9852.000000;1.829280
9851.000000;1.830167
9850.000000;1.826812
9849.000000;1.822254
9848.000000;1.819869
9847.000000;1.819120
9846.000000;1.817463
9845.000000;1.814980
9844.000000;1.814847
9843.000000;1.819169
9842.000000;1.825648
9841.000000;1.829137
9840.000000;1.826642
9839.000000;1.820419
9838.000000;1.815666
9837.000000;1.815437
9836.000000;1.817854
9835.000000;1.818274
9834.000000;1.814316
9833.000000;1.807816
9832.000000;1.801957
9831.000000;1.798410
9830.000000;1.797659
9829.000000;1.800363
9828.000000;1.806747
9827.000000;1.815028
9826.000000;1.821610
9825.000000;1.823140
9824.000000;1.818627
9823.000000;1.810348
9822.000000;1.802701
9821.000000;1.799104
9820.000000;1.799280
9819.000000;1.799943
9818.000000;1.798856
9817.000000;1.797248
9816.000000;1.797332
9815.000000;1.799481
9814.000000;1.803248
9813.000000;1.809126
9812.000000;1.816932
9811.000000;1.823428
9810.000000;1.824542
9809.000000;1.820316
9808.000000;1.815144
9807.000000;1.813022
9806.000000;1.814500
9805.000000;1.817373
9804.000000;1.818290
9803.000000;1.814585
9802.000000;1.807282
9801.000000;1.801717
9800.000000;1.802470
9799.000000;1.807760
9798.000000;1.810421
9797.000000;1.805808
9796.000000;1.797497
9795.000000;1.792889
9794.000000;1.795674
9793.000000;1.803975
9792.000000;1.813018
9791.000000;1.818184
9790.000000;1.817288
9789.000000;1.811793
9788.000000;1.805382
9787.000000;1.800980
9786.000000;1.799647
9785.000000;1.801354
9784.000000;1.805040
9783.000000;1.808153
9782.000000;1.808636
9781.000000;1.808090
9780.000000;1.810317
9779.000000;1.816101
9778.000000;1.821627
9777.000000;1.822934
9776.000000;1.820059
9775.000000;1.815101
9774.000000;1.809352
9773.000000;1.804534
9772.000000;1.803425
9771.000000;1.806577
9770.000000;1.809919
9769.000000;1.808157
9768.000000;1.800431
9767.000000;1.790469
9766.000000;1.782106
9765.000000;1.777051
9764.000000;1.775802
9763.000000;1.778160
9762.000000;1.782736
9761.000000;1.787644
9760.000000;1.792037
9759.000000;1.795971
9758.000000;1.798751
9757.000000;1.798949
9756.000000;1.796537
9755.000000;1.793295
9754.000000;1.790834
9753.000000;1.789473
9752.000000;1.788743
9751.000000;1.788437
9750.000000;1.788776
9749.000000;1.789557
9748.000000;1.789828
9747.000000;1.788689
9746.000000;1.786494
9745.000000;1.784769
9744.000000;1.784379
9743.000000;1.784269
9742.000000;1.782871
9741.000000;1.780800
9740.000000;1.780721
9739.000000;1.783936
9738.000000;1.788619
9737.000000;1.791836
9736.000000;1.791913
9735.000000;1.788863
9734.000000;1.784153
9733.000000;1.780739
9732.000000;1.781564
9731.000000;1.785861
9730.000000;1.788407
9729.000000;1.785551
9728.000000;1.780505
9727.000000;1.779125
9726.000000;1.782394
9725.000000;1.786055
9724.000000;1.786326
9723.000000;1.782990
9722.000000;1.776883
9721.000000;1.768545
9720.000000;1.760735
9719.000000;1.758489
9718.000000;1.764340
9717.000000;1.774709
9716.000000;1.782411
9715.000000;1.782817
9714.000000;1.776822
9713.000000;1.768575
9712.000000;1.762406
9711.000000;1.760881
9710.000000;1.763180
9709.000000;1.765671
9708.000000;1.765509
9707.000000;1.763123
9706.000000;1.760773
9705.000000;1.760176
9704.000000;1.761857
9703.000000;1.765577
9702.000000;1.770675
9701.000000;1.776167
9700.000000;1.781040
9699.000000;1.784125
9698.000000;1.783777
9697.000000;1.779325
9696.000000;1.773672
9695.000000;1.772009
9694.000000;1.776212
9693.000000;1.781973
9692.000000;1.782816
9691.000000;1.776725
9690.000000;1.767406
9689.000000;1.759953
9688.000000;1.757475
9687.000000;1.760446
9686.000000;1.766485
9685.000000;1.771346
9684.000000;1.772488
9683.000000;1.771501
9682.000000;1.771433
9681.000000;1.772838
9680.000000;1.774230
9679.000000;1.775279
9678.000000;1.776850
9677.000000;1.778562
9676.000000;1.778944
9675.000000;1.777959
9674.000000;1.777064
9673.000000;1.776143
9672.000000;1.773646
9671.000000;1.770257
9670.000000;1.769009
9669.000000;1.771141
9668.000000;1.773942
9667.000000;1.774145
9666.000000;1.772277
9665.000000;1.771436
9664.000000;1.772497
9663.000000;1.772506
9662.000000;1.768158
9661.000000;1.759837
9660.000000;1.751475
9659.000000;1.747267
9658.000000;1.748874
9657.000000;1.754766
9656.000000;1.761558
9655.000000;1.766324
9654.000000;1.768003
9653.000000;1.766853
9652.000000;1.763370
9651.000000;1.758516
9650.000000;1.754328
9649.000000;1.752877
9648.000000;1.754448
9647.000000;1.757234
9646.000000;1.759004
9645.000000;1.758969
9644.000000;1.757852
9643.000000;1.756375
9642.000000;1.754294
9641.000000;1.751194
9640.000000;1.747875
9639.000000;1.746088
9638.000000;1.746406
9637.000000;1.747353
9636.000000;1.747790
9635.000000;1.749088
9634.000000;1.753464
9633.000000;1.760586
9632.000000;1.766830
9631.000000;1.768440
9630.000000;1.764889
9629.000000;1.758539
9628.000000;1.752273
9627.000000;1.748495
9626.000000;1.748943
9625.000000;1.753397
9624.000000;1.758681
9623.000000;1.760642
9622.000000;1.757972
9621.000000;1.753193
9620.000000;1.749690
9619.000000;1.749009
9618.000000;1.750921
9617.000000;1.754393
9616.000000;1.757770
9615.000000;1.759183
9614.000000;1.758010
9613.000000;1.755576
9612.000000;1.753634
9611.000000;1.752942
9610.000000;1.753874
9609.000000;1.756930
9608.000000;1.761858
9607.000000;1.766951
9606.000000;1.769830
9605.000000;1.769065
9604.000000;1.764605
9603.000000;1.757308
9602.000000;1.749259
9601.000000;1.743810
9600.000000;1.743525
9599.000000;1.747435
9598.000000;1.751109
9597.000000;1.750626
9596.000000;1.746025
9595.000000;1.740314
9594.000000;1.735922
9593.000000;1.732952
9592.000000;1.730365
9591.000000;1.727296
9590.000000;1.723339
9589.000000;1.718993
9588.000000;1.715982
9587.000000;1.716101
9586.000000;1.719316
9585.000000;1.723644
9584.000000;1.727410
9583.000000;1.731201
9582.000000;1.736854
9581.000000;1.744536
9580.000000;1.751480
9579.000000;1.754228
9578.000000;1.752293
9577.000000;1.748768
9576.000000;1.746846
9575.000000;1.746382
9574.000000;1.744688
9573.000000;1.740626
9572.000000;1.736543
9571.000000;1.735317
9570.000000;1.736947
9569.000000;1.739065
9568.000000;1.740017
9567.000000;1.740118
9566.000000;1.739718
9565.000000;1.737889
9564.000000;1.734083
9563.000000;1.729689
9562.000000;1.726706
9561.000000;1.725712
9560.000000;1.725866
9559.000000;1.726303
9558.000000;1.726617
9557.000000;1.726240
9556.000000;1.724555
9555.000000;1.721919
9554.000000;1.719764
9553.000000;1.719143
9552.000000;1.719358
9551.000000;1.718601
9550.000000;1.716278
9549.000000;1.714160
9548.000000;1.714615
9547.000000;1.717875
9546.000000;1.721651
9545.000000;1.723897
9544.000000;1.725325
9543.000000;1.727720
9542.000000;1.730428
9541.000000;1.730906
9540.000000;1.728918
9539.000000;1.727552
9538.000000;1.728946
9537.000000;1.731469
9536.000000;1.732646
9535.000000;1.732881
9534.000000;1.733849
9533.000000;1.734680
9532.000000;1.732897
9531.000000;1.728734
9530.000000;1.725317
9529.000000;1.724225
9528.000000;1.723776
9527.000000;1.722455
9526.000000;1.721335
9525.000000;1.721518
9524.000000;1.721504
9523.000000;1.719174
9522.000000;1.715160
9521.000000;1.712293
9520.000000;1.712394
9519.000000;1.715023
9518.000000;1.718518
9517.000000;1.720878
9516.000000;1.720169
9515.000000;1.715664
9514.000000;1.709045
9513.000000;1.703532
9512.000000;1.701530
9511.000000;1.703436
9510.000000;1.708117
9509.000000;1.713510
9508.000000;1.717251
9507.000000;1.718301
9506.000000;1.717949
9505.000000;1.718063
9504.000000;1.718657
9503.000000;1.718043
9502.000000;1.715269
9501.000000;1.711425
9500.000000;1.708250
9499.000000;1.706460
9498.000000;1.705920
9497.000000;1.706614
9496.000000;1.708576
9495.000000;1.711407
9494.000000;1.714223
9493.000000;1.715799
9492.000000;1.715191
9491.000000;1.712798
9490.000000;1.710631
9489.000000;1.710800
9488.000000;1.713534
9487.000000;1.716998
9486.000000;1.719338
9485.000000;1.720465
9484.000000;1.721268
9483.000000;1.721812
9482.000000;1.721273
9481.000000;1.719593
9480.000000;1.718037
9479.000000;1.717580
9478.000000;1.717723
9477.000000;1.717517
9476.000000;1.716894
9475.000000;1.716103
9474.000000;1.714545
9473.000000;1.711381
9472.000000;1.707237
9471.000000;1.704321
9470.000000;1.704305
9469.000000;1.706697
9468.000000;1.709828
9467.000000;1.712972
9466.000000;1.716620
9465.000000;1.720740
9464.000000;1.723874
9463.000000;1.724402
9462.000000;1.722085
9461.000000;1.717790
9460.000000;1.712437
9459.000000;1.706963
9458.000000;1.702710
9457.000000;1.700953
9456.000000;1.701780
9455.000000;1.703744
9454.000000;1.704963
9453.000000;1.704695
9452.000000;1.703807
9451.000000;1.703754
9450.000000;1.705089
9449.000000;1.706849
9448.000000;1.707257
9447.000000;1.705219
9446.000000;1.701469
9445.000000;1.698497
9444.000000;1.698928
9443.000000;1.703154
9442.000000;1.708209
9441.000000;1.709773
9440.000000;1.706256
9439.000000;1.700500
9438.000000;1.696642
9437.000000;1.696047
9436.000000;1.696979
9435.000000;1.697509
9434.000000;1.697512
9433.000000;1.697610
9432.000000;1.697268
9431.000000;1.694936
9430.000000;1.690177
9429.000000;1.684895
9428.000000;1.681995
9427.000000;1.682964
9426.000000;1.686439
9425.000000;1.689417
9424.000000;1.690648
9423.000000;1.692135
9422.000000;1.696015
9421.000000;1.700928
9420.000000;1.703368
9419.000000;1.702680
9418.000000;1.702181
9417.000000;1.704454
9416.000000;1.708067
9415.000000;1.709996
9414.000000;1.709014
9413.000000;1.705410
9412.000000;1.699355
9411.000000;1.691464
9410.000000;1.684170
9409.000000;1.680464
9408.000000;1.681029
9407.000000;1.683746
9406.000000;1.685834
9405.000000;1.685669
9404.000000;1.683215
9403.000000;1.680294
9402.000000;1.680257
9401.000000;1.685241
9400.000000;1.692743
9399.000000;1.696630
9398.000000;1.693439
9397.000000;1.686363
9396.000000;1.681360
9395.000000;1.681204
9394.000000;1.684348
9393.000000;1.687716
9392.000000;1.689102
9391.000000;1.687627
9390.000000;1.684097
9389.000000;1.681173
9388.000000;1.681614
9387.000000;1.685745
9386.000000;1.691172
9385.000000;1.695351
9384.000000;1.697902
9383.000000;1.699839
9382.000000;1.701129
9381.000000;1.700178
9380.000000;1.696075
9379.000000;1.690562
9378.000000;1.686750
9377.000000;1.685966
9376.000000;1.686621
9375.000000;1.686539
9374.000000;1.685808
9373.000000;1.686404
9372.000000;1.689224
9371.000000;1.692696
9370.000000;1.694706
9369.000000;1.695005
9368.000000;1.694789
9367.000000;1.694492
9366.000000;1.693120
9365.000000;1.689816
9364.000000;1.685307
9363.000000;1.681316
9362.000000;1.678872
9361.000000;1.677444
9360.000000;1.675621
9359.000000;1.672682
9358.000000;1.669486
9357.000000;1.667630
9356.000000;1.667976
9355.000000;1.670268
9354.000000;1.673756
9353.000000;1.677674
9352.000000;1.681244
9351.000000;1.683664
9350.000000;1.684163
9349.000000;1.682006
9348.000000;1.676809
9347.000000;1.669390
9346.000000;1.662088
9345.000000;1.657637
9344.000000;1.657837
9343.000000;1.663096
9342.000000;1.672116
9341.000000;1.681567
9340.000000;1.686955
9339.000000;1.685478
9338.000000;1.678750
9337.000000;1.671600
9336.000000;1.667739
9335.000000;1.667224
9334.000000;1.667910
9333.000000;1.668474
9332.000000;1.669395
9331.000000;1.671277
9330.000000;1.673322
9329.000000;1.673950
9328.000000;1.672638
9327.000000;1.670859
9326.000000;1.671058
9325.000000;1.674472
9324.000000;1.679541
9323.000000;1.682444
9322.000000;1.680211
9321.000000;1.673827
9320.000000;1.667451
9319.000000;1.664508
9318.000000;1.665112
9317.000000;1.667106
9316.000000;1.668920
9315.000000;1.670860
9314.000000;1.673651
9313.000000;1.676635
9312.000000;1.678038
9311.000000;1.676750
9310.000000;1.673269
9309.000000;1.669101
9308.000000;1.665848
9307.000000;1.664655
9306.000000;1.665643
9305.000000;1.667699
9304.000000;1.669402
9303.000000;1.670272
9302.000000;1.670747
9301.000000;1.671086
9300.000000;1.670879
9299.000000;1.669896
9298.000000;1.669192
9297.000000;1.670781
9296.000000;1.675763
9295.000000;1.682737
9294.000000;1.688081
9293.000000;1.688097
9292.000000;1.681831
9291.000000;1.672341
9290.000000;1.664639
9289.000000;1.661848
9288.000000;1.663265
9287.000000;1.665946
9286.000000;1.667689
9285.000000;1.668140
9284.000000;1.667892
9283.000000;1.667800
9282.000000;1.668251
9281.000000;1.668115
9280.000000;1.665868
9279.000000;1.661857
9278.000000;1.658185
9277.000000;1.656457
9276.000000;1.656056
9275.000000;1.655317
9274.000000;1.654195
9273.000000;1.654245
9272.000000;1.655826
9271.000000;1.657029
9270.000000;1.656274
9269.000000;1.654513
9268.000000;1.653723
9267.000000;1.654222
9266.000000;1.654519
9265.000000;1.653630
9264.000000;1.652547
9263.000000;1.652916
9262.000000;1.655003
9261.000000;1.657423
9260.000000;1.658555
9259.000000;1.658200
9258.000000;1.657722
9257.000000;1.658256
9256.000000;1.659287
9255.000000;1.659736
9254.000000;1.659932
9253.000000;1.661058
9252.000000;1.662789
9251.000000;1.663185
9250.000000;1.661556
9249.000000;1.659854
9248.000000;1.659967
9247.000000;1.660807
9246.000000;1.659682
9245.000000;1.656137
9244.000000;1.652474
9243.000000;1.650525
9242.000000;1.649923
9241.000000;1.649851
9240.000000;1.650894
9239.000000;1.654042
9238.000000;1.658700
9237.000000;1.662835
9236.000000;1.664620
9235.000000;1.663610
9234.000000;1.661079
9233.000000;1.659006
9232.000000;1.658325
9231.000000;1.658036
9230.000000;1.656089
9229.000000;1.651650
9228.000000;1.646409
9227.000000;1.643165
9226.000000;1.643205
9225.000000;1.645180
9224.000000;1.646555
9223.000000;1.646154
9222.000000;1.645011
9221.000000;1.644667
9220.000000;1.645255
9219.000000;1.645741
9218.000000;1.645684
9217.000000;1.645900
9216.000000;1.647201
9215.000000;1.649207
9214.000000;1.650996
9213.000000;1.652517
9212.000000;1.654268
9211.000000;1.655821
9210.000000;1.655957
9209.000000;1.654364
9208.000000;1.652353
9207.000000;1.651540
9206.000000;1.652305
9205.000000;1.653951
9204.000000;1.655889
9203.000000;1.657986
9202.000000;1.659634
9201.000000;1.659278
9200.000000;1.656013
9199.000000;1.651707
9198.000000;1.650178
9197.000000;1.653272
9196.000000;1.658247
9195.000000;1.660154
9194.000000;1.657130
9193.000000;1.651943
9192.000000;1.647978
9191.000000;1.645715
9190.000000;1.643946
9189.000000;1.642644
9188.000000;1.642774
9187.000000;1.644185
9186.000000;1.645477
9185.000000;1.645732
9184.000000;1.645153
9183.000000;1.644198
9182.000000;1.643297
9181.000000;1.643341
9180.000000;1.645032
9179.000000;1.647395
9178.000000;1.648366
9177.000000;1.647518
9176.000000;1.646957
9175.000000;1.648521
9174.000000;1.650903
9173.000000;1.650983
9172.000000;1.647867
9171.000000;1.644042
9170.000000;1.642186
9169.000000;1.642325
9168.000000;1.642602
9167.000000;1.641867
9166.000000;1.640638
9165.000000;1.639680
9164.000000;1.638801
9163.000000;1.637761
9162.000000;1.637634
9161.000000;1.640060
9160.000000;1.644985
9159.000000;1.650056
9158.000000;1.652809
9157.000000;1.652881
9156.000000;1.651313
9155.000000;1.648346
9154.000000;1.643308
9153.000000;1.636726
9152.000000;1.631347
9151.000000;1.630252
9150.000000;1.634049
9149.000000;1.640179
9148.000000;1.645010
9147.000000;1.646737
9146.000000;1.646271
9145.000000;1.645372
9144.000000;1.644557
9143.000000;1.643346
9142.000000;1.641895
9141.000000;1.641208
9140.000000;1.641443
9139.000000;1.641129
9138.000000;1.639234
9137.000000;1.637303
9136.000000;1.637989
9135.000000;1.641581
9134.000000;1.645037
9133.000000;1.644897
9132.000000;1.640665
9131.000000;1.634829
9130.000000;1.630309
9129.000000;1.628595
9128.000000;1.629608
9127.000000;1.632387
9126.000000;1.635863
9125.000000;1.639376
9124.000000;1.642591
9123.000000;1.644954
9122.000000;1.645569
9121.000000;1.643899
9120.000000;1.640470
9119.000000;1.636614
9118.000000;1.633497
9117.000000;1.631542
9116.000000;1.630747
9115.000000;1.631233
9114.000000;1.633050
9113.000000;1.635489
9112.000000;1.637043
9111.000000;1.636496
9110.000000;1.634255
9109.000000;1.632340
9108.000000;1.632561
9107.000000;1.634563
9106.000000;1.635992
9105.000000;1.634676
9104.000000;1.630617
9103.000000;1.626179
9102.000000;1.624210
9101.000000;1.625582
9100.000000;1.628447
9099.000000;1.630053
9098.000000;1.629520
9097.000000;1.628453
9096.000000;1.628764
9095.000000;1.630832
9094.000000;1.634125
9093.000000;1.638408
9092.000000;1.643151
9091.000000;1.646424
9090.000000;1.646015
9089.000000;1.641818
9088.000000;1.636005
9087.000000;1.630953
9086.000000;1.627979
9085.000000;1.627671
9084.000000;1.629939
9083.000000;1.633260
9082.000000;1.635134
9081.000000;1.634367
9080.000000;1.632174
9079.000000;1.630242
9078.000000;1.628825
